dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.778031176966,0.718544776364,0.590921764637,0.605402394267
dstc2,next,7-d2v,LinearSVC.pen=l2.C=0.125000,0.767384027782,0.668455332118,0.599277816154,0.615315144913
dstc2,next,7-d2v,LR.pen=l1.C=0.125000,0.775947532322,0.713507028219,0.579437047944,0.589200709288
dstc2,next,7-d2v,LR.pen=l2.C=0.125000,0.773500176327,0.686281270925,0.612745352468,0.630962590095
dstc2,next,7-d2v,RBF SVC with C=0.125000,0.757410506685,0.566922671886,0.539134097966,0.535967260507
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.751752185354,0.718219575475,0.577321247826,0.599460974409
dstc3,next,7-d2v,LinearSVC.pen=l2.C=0.125000,0.735955757738,0.632012497246,0.588552435346,0.602055297169
dstc3,next,7-d2v,LR.pen=l1.C=0.125000,0.749387320489,0.733087472194,0.566752048307,0.587220346997
dstc3,next,7-d2v,LR.pen=l2.C=0.125000,0.739640754616,0.646899285116,0.597845781668,0.612655200754
dstc3,next,7-d2v,RBF SVC with C=0.125000,0.730715368834,0.569901412366,0.492790985687,0.460931187684
family,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.806538799598,0.619296659865,0.555288195497,0.573815256528
family,next,7-d2v,LinearSVC.pen=l2.C=0.125000,0.780473066298,0.567299639328,0.554671307088,0.558200893223
family,next,7-d2v,LR.pen=l1.C=0.125000,0.812765256153,0.628749258232,0.537704985708,0.558564093948
family,next,7-d2v,LR.pen=l2.C=0.125000,0.798899736313,0.601327615956,0.571390829179,0.58219219516
family,next,7-d2v,RBF SVC with C=0.125000,0.746799660974,0.581682727193,0.35417153485,0.36606661484
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.849907918969,0.605659561536,0.51809676416,0.545163903083
ghome,next,7-d2v,LinearSVC.pen=l2.C=0.125000,0.838421074914,0.559297967691,0.536749145277,0.545210569234
ghome,next,7-d2v,LR.pen=l1.C=0.125000,0.848773311319,0.604715131931,0.49432023856,0.520586832735
ghome,next,7-d2v,LR.pen=l2.C=0.125000,0.841670371076,0.567604586336,0.53013180752,0.544314694975
ghome,next,7-d2v,RBF SVC with C=0.125000,0.809045109121,0.510545526398,0.368152222513,0.392563955495
