,1,2.1,2.2,2.3.1,3,5,6,7,9.1,9.2.1,9.3.1
,1-utterance length,2.1-user action words,2.2-number of user action words,2.3.1-action_jaccard_similarity.next_user_utterance_pairs,3-time features,5-noun phrase,6-entity,7-syntactic features,9.1-w2v_features,9.2.1-w2v_similarity.next_user_utterance_pairs,9.3.1-wmd_similarity.next_user_utterance_pairs
dstc2,3,50,2,1,5,2184,245,910,900,1,1
dstc2,3,50,2,1,5,2184,245,910,900,1,1
dstc2,3,50,2,1,5,2184,245,910,900,1,1
dstc3,3,46,2,1,5,2624,487,1130,900,1,1
dstc3,3,46,2,1,5,2624,487,1130,900,1,1
dstc3,3,46,2,1,5,2624,487,1130,900,1,1
family,3,52,2,1,5,14903,2978,4659,900,1,1
family,3,52,2,1,5,14903,2978,4659,900,1,1
ghome,3,82,2,1,5,14947,3530,4335,900,1,1
ghome,3,82,2,1,5,14947,3530,4335,900,1,1
family,3,52,2,1,5,14903,2978,4659,900,1,1
ghome,3,82,2,1,5,14947,3530,4335,900,1,1
