id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0144,461
48,3,b'3-time_feature__turns_to_end',1142.1987,2,0.0015,1683
2949,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,6,0.0000,4282
5024,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.0401,131
5833,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.0068,847
8559,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,0.4038,3
8564,4.1,b'4.1-ngram.next_system_utterance__sorry don',323.0077,12,0.0025,1411
8590,4.1,b'4.1-ngram.next_system_utterance__sorry sure',369.8694,10,0.0045,1084
8592,4.1,b'4.1-ngram.next_system_utterance__sorry sure help',370.7657,8,0.0029,1316
8858,4.1,b'4.1-ngram.next_system_utterance__sure help',370.7657,9,0.0021,1470
9912,1,b'1-utterance_length.next_user_utterance__utterance_length',386.2874,7,0.0000,4284
17889,5,b'5-phrase_feature__noun_phrases__next_system_utterance__device',289.4626,15,0.0549,75
31381,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,13,0.0511,85
32967,7,b'7-syntactic_feature__root_word__next_system_utterance__know',726.7511,3,0.0012,1772
33274,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.0170,376
34433,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.2509,6
43,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3071,0.0000,4288
2947,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3070,0.0041,1139
2948,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3069,1.0000,0
12165,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3068,0.0013,1730
12166,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,3067,0.2539,5
12167,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3066,0.6369,2
17987,5,b'5-phrase_feature__noun_phrases__next_system_utterance__distance',0.0000,3064,0.0000,4291
30639,6,b'6-entity_feature__next_entity__#overlap',0.0000,3057,0.0000,4292
30640,6,b'6-entity_feature__next_entity__have_overlap',0.0000,3063,0.0000,4293
30641,6,b'6-entity_feature__next_entity__jaccard_similarity',0.0000,3062,0.0000,4294
30642,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,3061,0.0113,585
30643,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3060,0.0020,1498
30644,7,b'7-syntactic_feature__next_subj_words_overlap',0.0000,3059,0.0197,316
34977,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,3058,0.0171,368
34978,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,3072,0.0184,345
