id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
34,3,b'3-time_feature__turns_to_end',671.9179,10,0.0375,212
2792,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0000,4349
24480,4.1,b'4.1-ngram.next_user_utterance__yes',315.2330,24,0.0145,532
28947,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor',1040.3301,2,0.0045,996
28948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor_example',1040.3301,3,0.0065,852
28962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry',365.0066,14,0.1647,19
28967,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nyou',935.3846,7,0.0000,4354
30962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.0000,4355
31559,5,b'5-phrase_feature__noun_phrases__next_system_utterance__halloween_party',351.7964,17,0.0016,1345
32366,5,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',388.6406,12,0.0083,767
33052,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.0000,4358
33129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nyou',935.3846,6,0.0000,4359
33196,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor',1040.3301,5,0.0055,924
33197,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',1040.3301,4,0.0042,1024
33281,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry',365.0066,13,0.1189,33
33309,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.0402,197
33607,5,b'5-phrase_feature__noun_phrases__next_system_utterance__party',299.1515,27,0.0039,1048
34550,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.0000,4365
35120,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry',355.6549,15,0.0763,70
36155,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.0004,1680
41007,6,b'6-entity_feature__entity__next_system_utterance__halloween_DATE',351.7964,16,0.0022,1242
43627,7,b'7-syntactic_feature__obj_word__next_system_utterance__remind',297.2295,29,0.0099,676
43632,7,b'7-syntactic_feature__obj_word__next_system_utterance__request',314.5180,25,0.0766,68
44739,7,b"7-syntactic_feature__root_word__next_system_utterance__''",339.6939,21,0.0000,4371
44931,7,b'7-syntactic_feature__root_word__next_system_utterance__call',349.5698,19,0.0613,97
45074,7,b'7-syntactic_feature__root_word__next_system_utterance__did',297.2825,28,0.0000,4361
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,1.0000,0
45349,7,b'7-syntactic_feature__root_word__next_system_utterance__lunch',327.9754,22,0.0000,4333
45909,7,b'7-syntactic_feature__root_word__next_system_utterance__what',303.6067,26,0.0076,796
46250,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',315.2330,23,0.0283,280
