id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',255.2932,60,0.0000,9678
1,2.1,b'2.1-user_action_words.current_user_utterance__address',518.1937,17,0.0035,1955
2,2.1,b'2.1-user_action_words.current_user_utterance__ani',47.9175,356,0.0000,3821
3,2.1,b'2.1-user_action_words.current_user_utterance__area',35.5846,503,0.0000,4109
14,2.1,b'2.1-user_action_words.current_user_utterance__number',432.7138,31,0.0000,4104
16,2.1,b'2.1-user_action_words.current_user_utterance__phone',432.1026,33,0.0000,4100
17,2.1,b'2.1-user_action_words.current_user_utterance__post',52.3529,324,0.0000,4117
18,2.1,b'2.1-user_action_words.current_user_utterance__price',63.5241,247,0.0000,4131
24,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',543.3024,14,0.0000,4129
26,3,b'3-time_feature__end_of_session',220.2308,74,0.0006,3029
28,3,b'3-time_feature__time_ratio',170.5127,93,0.2581,7
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.1624,24
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.2209,13
40,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,47,0.0000,4127
154,4.1,b'4.1-ngram.current_user_utterance__castle',37.2826,467,0.0000,4118
156,4.1,b'4.1-ngram.current_user_utterance__castle hill',37.6696,461,0.0312,438
273,4.1,b'4.1-ngram.current_user_utterance__does television',72.9991,203,0.0194,719
327,4.1,b'4.1-ngram.current_user_utterance__fen',35.4373,506,0.0029,2093
331,4.1,b'4.1-ngram.current_user_utterance__fenditton',44.5957,387,0.0018,2420
412,4.1,b'4.1-ngram.current_user_utterance__hill',35.8438,499,0.0000,4122
792,4.1,b'4.1-ngram.current_user_utterance__number',182.4017,88,0.0000,4099
848,4.1,b'4.1-ngram.current_user_utterance__phone',185.5460,86,0.0000,3932
850,4.1,b'4.1-ngram.current_user_utterance__phone number',187.0974,85,0.0000,3727
867,4.1,b'4.1-ngram.current_user_utterance__postcode',65.6016,232,0.0036,1931
871,4.1,b'4.1-ngram.current_user_utterance__price',47.9495,355,0.0000,4077
949,4.1,b'4.1-ngram.current_user_utterance__restaurant',154.6493,98,0.0000,4075
1097,4.1,b'4.1-ngram.current_user_utterance__television',98.8662,138,0.0071,1437
1281,4.1,b'4.1-ngram.current_user_utterance__whats',117.0458,115,0.0000,4072
1282,4.1,b'4.1-ngram.current_user_utterance__whats address',65.4413,233,0.0055,1623
1289,4.1,b'4.1-ngram.current_user_utterance__whats phone',37.7408,457,0.0016,2502
1290,4.1,b'4.1-ngram.current_user_utterance__whats phone number',37.5825,463,0.0001,3493
1325,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,57,0.0000,4068
2608,4.1,b'4.1-ngram.next_system_utterance__care',56.0228,291,0.0000,4067
2819,4.1,b'4.1-ngram.next_system_utterance__cheap expensive',36.1208,492,0.0010,2761
3070,4.1,b'4.1-ngram.next_system_utterance__college',53.7292,310,0.0000,4064
3140,4.1,b'4.1-ngram.next_system_utterance__confirm',53.8629,308,0.0025,2190
3300,4.1,b'4.1-ngram.next_system_utterance__don',56.0228,290,0.0000,4063
3301,4.1,b'4.1-ngram.next_system_utterance__don care',56.0228,292,0.0000,4078
3431,4.1,b'4.1-ngram.next_system_utterance__example',187.8127,84,0.0044,1766
3503,4.1,b'4.1-ngram.next_system_utterance__example cheap',64.6833,237,0.0000,4089
3504,4.1,b'4.1-ngram.next_system_utterance__example cheap expensive',35.9016,498,0.0000,4093
3752,4.1,b'4.1-ngram.next_system_utterance__food like',78.2133,188,0.0000,4088
3753,4.1,b'4.1-ngram.next_system_utterance__food like example',78.2133,186,0.0000,4081
