id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,129,0.0000,17730
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.0043,678
2,2.1,b'2.1-user_action_words.current_user_utterance__ani',15.1786,887,0.0068,460
3,2.1,b'2.1-user_action_words.current_user_utterance__area',28.9252,501,0.0000,5548
4,2.1,b'2.1-user_action_words.current_user_utterance__centr',3.6445,3273,0.0000,5555
5,2.1,b'2.1-user_action_words.current_user_utterance__cheap',40.4641,348,0.0000,5557
6,2.1,b'2.1-user_action_words.current_user_utterance__els',29.4043,493,0.0000,5564
7,2.1,b'2.1-user_action_words.current_user_utterance__expens',98.0038,157,0.0000,5565
8,2.1,b'2.1-user_action_words.current_user_utterance__food',130.6582,119,0.0000,5566
9,2.1,b'2.1-user_action_words.current_user_utterance__help',3.5618,3396,0.0000,5558
10,2.1,b'2.1-user_action_words.current_user_utterance__list',3.5618,3394,0.0003,2673
11,2.1,b'2.1-user_action_words.current_user_utterance__matter',10.2801,1278,0.0000,5543
12,2.1,b'2.1-user_action_words.current_user_utterance__moder',137.8490,111,0.0000,5521
13,2.1,b'2.1-user_action_words.current_user_utterance__next',1.1541,6515,0.0102,301
14,2.1,b'2.1-user_action_words.current_user_utterance__north',78.9246,190,0.0000,5522
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.0000,5538
16,2.1,b'2.1-user_action_words.current_user_utterance__part',234.8438,71,0.0000,5541
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,35,0.0000,5603
18,2.1,b'2.1-user_action_words.current_user_utterance__post',116.0051,131,0.0000,5608
19,2.1,b'2.1-user_action_words.current_user_utterance__price',33.2105,442,0.0000,5611
20,2.1,b'2.1-user_action_words.current_user_utterance__show',0.8070,7503,0.0000,5614
21,2.1,b'2.1-user_action_words.current_user_utterance__south',107.6069,138,0.0000,5616
22,2.1,b'2.1-user_action_words.current_user_utterance__start',6.0630,2152,0.0000,5618
23,2.1,b'2.1-user_action_words.current_user_utterance__stop',4.9605,2525,0.0005,2326
24,2.1,b'2.1-user_action_words.current_user_utterance__telephon',20.3487,683,0.0000,4248
25,2.1,b'2.1-user_action_words.current_user_utterance__tell',7.1867,1816,0.0000,5596
