id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',255.2932,58,0.0013,578
1,2.1,b'2.1-user_action_words.current_user_utterance__address',518.1937,17,0.0060,135
2,2.1,b'2.1-user_action_words.current_user_utterance__ani',47.9175,271,0.0001,1541
3,2.1,b'2.1-user_action_words.current_user_utterance__area',35.5846,396,0.0170,27
4,2.1,b'2.1-user_action_words.current_user_utterance__centr',2.6680,2764,0.0000,2667
5,2.1,b'2.1-user_action_words.current_user_utterance__cheap',18.3551,908,0.0006,871
6,2.1,b'2.1-user_action_words.current_user_utterance__els',5.1980,1933,0.0012,584
7,2.1,b'2.1-user_action_words.current_user_utterance__expens',15.9817,995,0.0053,162
8,2.1,b'2.1-user_action_words.current_user_utterance__food',19.4793,852,0.0001,1673
9,2.1,b'2.1-user_action_words.current_user_utterance__help',2.5050,3155,0.0004,1047
10,2.1,b'2.1-user_action_words.current_user_utterance__list',1.1102,3708,0.0000,3543
11,2.1,b'2.1-user_action_words.current_user_utterance__matter',32.0861,479,0.0011,649
12,2.1,b'2.1-user_action_words.current_user_utterance__moder',15.7807,999,0.0000,2063
13,2.1,b'2.1-user_action_words.current_user_utterance__north',7.5151,1640,0.0004,1013
14,2.1,b'2.1-user_action_words.current_user_utterance__number',432.7138,32,0.0010,663
15,2.1,b'2.1-user_action_words.current_user_utterance__part',5.9355,1817,0.0016,479
16,2.1,b'2.1-user_action_words.current_user_utterance__phone',432.1026,33,0.0003,1202
17,2.1,b'2.1-user_action_words.current_user_utterance__post',52.3529,244,0.0000,3549
18,2.1,b'2.1-user_action_words.current_user_utterance__price',63.5241,189,0.0004,1039
19,2.1,b'2.1-user_action_words.current_user_utterance__show',2.5050,3130,0.0000,2634
20,2.1,b'2.1-user_action_words.current_user_utterance__start',7.5151,1649,0.0001,1750
21,2.1,b'2.1-user_action_words.current_user_utterance__telephon',9.6833,1416,0.0000,2081
22,2.1,b'2.1-user_action_words.current_user_utterance__tell',4.7141,2032,0.0000,3530
23,2.1,b'2.1-user_action_words.current_user_utterance__time',8.8330,1474,0.0000,3512
24,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',543.3024,14,0.0054,154
26,3,b'3-time_feature__end_of_session',220.2308,65,0.0062,126
27,3,b'3-time_feature__start_of_session',0.0000,4361,0.0000,3515
28,3,b'3-time_feature__time_ratio',170.5127,76,0.0239,18
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.0111,56
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0112,55
31,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,55,0.0492,7
32,1,b'1-utterance_length.next_user_utterance__utterance_length',665.9143,9,0.0145,38
33,2.1,b'2.1-user_action_words.next_user_utterance__add',1.1102,3720,0.0000,3520
34,2.1,b'2.1-user_action_words.next_user_utterance__address',421.5448,36,0.0000,2252
35,2.1,b'2.1-user_action_words.next_user_utterance__ani',91.9102,118,0.0063,125
36,2.1,b'2.1-user_action_words.next_user_utterance__area',97.9754,111,0.0001,1839
37,2.1,b'2.1-user_action_words.next_user_utterance__centr',2.7031,2757,0.0000,2791
38,2.1,b'2.1-user_action_words.next_user_utterance__cheap',48.0773,270,0.0011,629
39,2.1,b'2.1-user_action_words.next_user_utterance__clear',2.2205,3393,0.0000,3527
40,2.1,b'2.1-user_action_words.next_user_utterance__els',2.9972,2714,0.0011,639
41,2.1,b'2.1-user_action_words.next_user_utterance__expens',50.4886,250,0.0018,447
42,2.1,b'2.1-user_action_words.next_user_utterance__food',18.5488,901,0.0019,437
43,2.1,b'2.1-user_action_words.next_user_utterance__help',3.8600,2366,0.0000,3521
44,2.1,b'2.1-user_action_words.next_user_utterance__list',1.1102,3731,0.0000,3552
45,2.1,b'2.1-user_action_words.next_user_utterance__matter',147.3281,79,0.0769,3
46,2.1,b'2.1-user_action_words.next_user_utterance__moder',62.8438,193,0.0015,499
47,2.1,b'2.1-user_action_words.next_user_utterance__number',449.7773,25,0.0000,3578
48,2.1,b'2.1-user_action_words.next_user_utterance__part',10.3993,1352,0.0000,3579
49,2.1,b'2.1-user_action_words.next_user_utterance__phone',443.1393,27,0.0000,3580
50,2.1,b'2.1-user_action_words.next_user_utterance__post',46.6268,285,0.0000,2715
51,2.1,b'2.1-user_action_words.next_user_utterance__price',42.6444,323,0.0004,1087
52,2.1,b'2.1-user_action_words.next_user_utterance__start',36.2068,385,0.0002,1418
53,2.1,b'2.1-user_action_words.next_user_utterance__telephon',11.1024,1307,0.0000,3584
54,2.1,b'2.1-user_action_words.next_user_utterance__tell',9.1760,1450,0.0008,761
55,2.1,b'2.1-user_action_words.next_user_utterance__time',4.1833,2150,0.0000,3586
56,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',358.3450,44,0.0000,3587
60,5,b'5-phrase_feature__noun_phrases__current_user_utterance__actual_price',1.1102,3719,0.0000,2453
61,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ad',1.1102,3704,0.0000,3589
62,5,b'5-phrase_feature__noun_phrases__current_user_utterance__adddress',1.1102,3691,0.0000,2705
63,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrooke',22.0696,792,0.0016,493
64,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrookes',13.8848,1128,0.0014,544
65,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrookes_area',3.3543,2601,0.0153,36
66,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrookes_restaurant',1.1102,3684,0.0000,2742
67,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrooks',1.1102,3687,0.0000,2547
68,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrooks_area',1.1102,3683,0.0000,2877
69,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addensbrookes',3.8600,2393,0.0000,3573
70,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addensbrookes_area',3.8600,2392,0.0000,3555
71,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addess',1.1102,3688,0.0000,3556
72,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbookes',2.5050,3028,0.0002,1476
73,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbrooke_area',1.4851,3578,0.0002,1478
74,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbrookes',18.9240,866,0.0114,53
75,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbrookes_area',4.8710,2018,0.0020,407
76,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addonsbookes',1.4851,3582,0.0001,1862
77,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addonsbookes_area',1.4851,3585,0.0000,2211
78,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addrees',1.1102,3734,0.0000,3554
79,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addrees_phone',1.1102,3767,0.0000,3563
80,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addrees_phone_number',1.1102,3768,0.0000,3565
81,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,18,0.0051,169
82,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_area',1.1102,3770,0.0004,1008
83,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_fuck',1.1102,3772,0.0000,2108
84,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_pho',1.1102,3773,0.0000,3569
85,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_pho_number',1.1102,3774,0.0000,3570
86,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone',36.8614,378,0.0005,921
87,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone_number',36.8614,379,0.0003,1137
88,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_post',1.1102,3776,0.0000,2015
89,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_price',2.2205,3456,0.0000,2670
90,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_price_range',1.1102,3778,0.0000,3467
91,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_system',1.1102,3783,0.0000,3508
92,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_type',3.8600,2490,0.0000,3448
93,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addresses',1.1102,3785,0.0000,3449
94,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addresses_phone',1.1102,3786,0.0000,3450
95,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addresses_phone_number',1.1102,3789,0.0000,3451
96,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addresss',2.2205,3421,0.0000,3452
97,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addresss_phone',1.1102,3793,0.0000,3453
98,5,b'5-phrase_feature__noun_phrases__current_user_utterance__addresss_phone_number',1.1102,3735,0.0000,3454
99,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ah',2.5394,2773,0.0007,842
100,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ah_address',1.1102,3736,0.0000,3456
101,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ah_address_phone',1.1102,3738,0.0000,3457
102,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ah_international_food',5.0100,1987,0.0006,902
103,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ah_international_restaurant',1.4851,3581,0.0000,2617
104,5,b'5-phrase_feature__noun_phrases__current_user_utterance__allo',1.1102,3740,0.0001,1685
105,5,b'5-phrase_feature__noun_phrases__current_user_utterance__alright',2.2205,3387,0.0000,3461
106,5,b'5-phrase_feature__noun_phrases__current_user_utterance__american',5.6455,1832,0.0000,2624
107,5,b'5-phrase_feature__noun_phrases__current_user_utterance__american_cafe',2.5050,3259,0.0000,2733
108,5,b'5-phrase_feature__noun_phrases__current_user_utterance__american_fast_food',3.8600,2407,0.0000,3464
109,5,b'5-phrase_feature__noun_phrases__current_user_utterance__american_food',4.4139,2129,0.0000,3447
110,5,b'5-phrase_feature__noun_phrases__current_user_utterance__american_restaurant',10.4279,1350,0.0007,819
111,5,b'5-phrase_feature__noun_phrases__current_user_utterance__anything',3.0707,2707,0.0004,1088
112,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ar',3.8600,2437,0.0000,3444
113,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ar_fen',3.8600,2405,0.0000,3426
114,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ar_fen_ditton',3.8600,2406,0.0000,3427
115,5,b'5-phrase_feature__noun_phrases__current_user_utterance__archaelogy',2.5050,2785,0.0000,3428
116,5,b'5-phrase_feature__noun_phrases__current_user_utterance__archeology',2.5050,2819,0.0000,2512
117,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area',35.9772,390,0.0264,17
118,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_breathing',27.5288,662,0.0000,2303
119,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_city',2.5050,2951,0.0000,3432
120,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_city_center',2.5050,2911,0.0000,3433
121,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_code',35.7419,394,0.0034,272
122,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_doesnt',5.0100,1974,0.0000,2501
123,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_doesnt_matter',5.0100,1984,0.0000,2413
124,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_phone',1.1102,3760,0.0000,3436
125,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_phone_number',1.1102,3703,0.0000,3437
126,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area_price',2.5050,2932,0.0000,2210
