id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,48,0.0000,29803
1,2.1,b'2.1-user_action_words.current_user_utterance__add',11.6792,2289,0.0002,1452
2,2.1,b'2.1-user_action_words.current_user_utterance__alarm',0.4114,18631,0.0000,11555
3,2.1,b'2.1-user_action_words.current_user_utterance__clear',2.0549,8305,0.0029,350
4,2.1,b'2.1-user_action_words.current_user_utterance__discard',31.9095,302,0.0197,60
5,2.1,b'2.1-user_action_words.current_user_utterance__els',0.4114,18632,0.0000,11558
6,2.1,b'2.1-user_action_words.current_user_utterance__food',15.3344,644,0.0000,11559
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,94,0.0018,484
8,2.1,b'2.1-user_action_words.current_user_utterance__light',7.9998,2884,0.0000,11561
9,2.1,b'2.1-user_action_words.current_user_utterance__list',9.5019,2652,0.0169,79
10,2.1,b'2.1-user_action_words.current_user_utterance__member',6.0320,3546,0.0000,2766
11,2.1,b'2.1-user_action_words.current_user_utterance__next',2.9901,6485,0.0000,11563
12,2.1,b'2.1-user_action_words.current_user_utterance__number',23.8840,464,0.0000,11564
13,2.1,b'2.1-user_action_words.current_user_utterance__part',5.6983,4294,0.0000,2145
14,2.1,b'2.1-user_action_words.current_user_utterance__phone',13.2308,1358,0.0000,11565
15,2.1,b'2.1-user_action_words.current_user_utterance__play',1.1147,10309,0.0000,11566
16,2.1,b'2.1-user_action_words.current_user_utterance__post',0.8229,11137,0.0000,11567
17,2.1,b'2.1-user_action_words.current_user_utterance__remind',70.4358,143,0.0000,11568
18,2.1,b'2.1-user_action_words.current_user_utterance__remov',17.8201,543,0.0034,307
19,2.1,b'2.1-user_action_words.current_user_utterance__share',0.4114,18633,0.0000,11570
20,2.1,b'2.1-user_action_words.current_user_utterance__show',6.7354,3161,0.0000,11571
21,2.1,b'2.1-user_action_words.current_user_utterance__start',2.8992,6577,0.0000,11572
22,2.1,b'2.1-user_action_words.current_user_utterance__stop',12.0741,1928,0.0000,11573
23,2.1,b'2.1-user_action_words.current_user_utterance__tell',13.7466,1311,0.0000,11574
24,2.1,b'2.1-user_action_words.current_user_utterance__time',22.0294,482,0.0000,11575
25,2.1,b'2.1-user_action_words.current_user_utterance__timer',2.0549,8386,0.0000,11576
26,2.1,b'2.1-user_action_words.current_user_utterance__turn',4.1097,5771,0.0000,11553
27,2.1,b'2.1-user_action_words.current_user_utterance__watch',2.4788,6935,0.0000,11551
28,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',12.4563,1400,0.0000,11526
30,3,b'3-time_feature__end_of_session',272.2220,35,0.0000,11550
31,3,b'3-time_feature__start_of_session',94.2762,110,0.1409,11
32,3,b'3-time_feature__time_ratio',44.2502,199,0.0097,141
33,3,b'3-time_feature__turns_from_start',229.2487,46,0.0000,11529
34,3,b'3-time_feature__turns_to_end',671.9179,10,0.0002,1388
35,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0000,11531
36,1,b'1-utterance_length.next_user_utterance__utterance_length',285.2474,32,0.0000,11532
37,2.1,b'2.1-user_action_words.next_user_utterance__add',1.7441,8555,0.0000,11533
38,2.1,b'2.1-user_action_words.next_user_utterance__alarm',0.4114,18634,0.0000,11534
39,2.1,b'2.1-user_action_words.next_user_utterance__clear',0.4114,18635,0.0000,11535
40,2.1,b'2.1-user_action_words.next_user_utterance__discard',2.3545,7338,0.0054,222
41,2.1,b'2.1-user_action_words.next_user_utterance__els',0.4114,18636,0.0000,11537
42,2.1,b'2.1-user_action_words.next_user_utterance__food',12.6270,1385,0.0000,11538
43,2.1,b'2.1-user_action_words.next_user_utterance__item',43.2109,200,0.0000,11539
44,2.1,b'2.1-user_action_words.next_user_utterance__light',1.6457,8978,0.0000,11540
45,2.1,b'2.1-user_action_words.next_user_utterance__list',7.2910,3050,0.0000,11541
46,2.1,b'2.1-user_action_words.next_user_utterance__member',6.2563,3481,0.0000,11542
47,2.1,b'2.1-user_action_words.next_user_utterance__next',6.4015,3213,0.0000,11543
48,2.1,b'2.1-user_action_words.next_user_utterance__number',7.1079,3061,0.0000,11544
49,2.1,b'2.1-user_action_words.next_user_utterance__part',5.6983,4293,0.0000,11545
50,2.1,b'2.1-user_action_words.next_user_utterance__phone',5.6983,4292,0.0002,1539
51,2.1,b'2.1-user_action_words.next_user_utterance__play',2.0549,8177,0.0000,11547
52,2.1,b'2.1-user_action_words.next_user_utterance__remind',29.7041,326,0.0010,710
53,2.1,b'2.1-user_action_words.next_user_utterance__remov',1.6714,8598,0.0000,11548
54,2.1,b'2.1-user_action_words.next_user_utterance__share',5.2428,5253,0.0000,11549
55,2.1,b'2.1-user_action_words.next_user_utterance__show',1.0592,10529,0.0000,11577
56,2.1,b'2.1-user_action_words.next_user_utterance__start',2.0549,8198,0.0000,3267
57,2.1,b'2.1-user_action_words.next_user_utterance__tell',10.2891,2548,0.0000,11552
58,2.1,b'2.1-user_action_words.next_user_utterance__time',3.3096,6166,0.0000,11578
59,2.1,b'2.1-user_action_words.next_user_utterance__timer',5.6983,4291,0.0004,1131
60,2.1,b'2.1-user_action_words.next_user_utterance__turn',11.0029,2498,0.0000,11608
61,2.1,b'2.1-user_action_words.next_user_utterance__watch',17.9138,541,0.0000,11609
62,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',50.0471,185,0.0000,11610
66,5,b'5-phrase_feature__noun_phrases__current_user_utterance__%',2.9796,6499,0.0000,11611
67,5,b'5-phrase_feature__noun_phrases__current_user_utterance__%_milk',6.3135,3415,0.0000,11612
68,5,b"5-phrase_feature__noun_phrases__current_user_utterance__'till",5.6983,4290,0.0000,2264
69,5,b"5-phrase_feature__noun_phrases__current_user_utterance__'till_june",5.6983,4289,0.0007,876
70,5,b'5-phrase_feature__noun_phrases__current_user_utterance__11am',3.9538,5913,0.0000,11614
71,5,b'5-phrase_feature__noun_phrases__current_user_utterance__11pm',0.4114,18637,0.0000,11615
72,5,b'5-phrase_feature__noun_phrases__current_user_utterance__12-10pm',14.2155,896,0.0001,1640
73,5,b'5-phrase_feature__noun_phrases__current_user_utterance__12pm',0.4114,18638,0.0000,11616
74,5,b'5-phrase_feature__noun_phrases__current_user_utterance__130pm',0.4114,18639,0.0000,11617
75,5,b'5-phrase_feature__noun_phrases__current_user_utterance__19th_make',5.6983,4288,0.0000,11618
76,5,b'5-phrase_feature__noun_phrases__current_user_utterance__19th_make_list',5.6983,4287,0.0000,11619
77,5,b'5-phrase_feature__noun_phrases__current_user_utterance__1pm_today',5.6983,4286,0.0151,89
78,5,b'5-phrase_feature__noun_phrases__current_user_utterance__1pm_tomorrow',12.0741,2126,0.0000,11621
79,5,b'5-phrase_feature__noun_phrases__current_user_utterance__1x4',0.4114,18640,0.0000,11622
80,5,b'5-phrase_feature__noun_phrases__current_user_utterance__1x4_lumber',0.4114,18630,0.0000,11623
81,5,b'5-phrase_feature__noun_phrases__current_user_utterance__21st_blood',12.0741,2127,0.0001,1871
82,5,b'5-phrase_feature__noun_phrases__current_user_utterance__2273care',0.8229,11081,0.0000,11624
83,5,b'5-phrase_feature__noun_phrases__current_user_utterance__22nd_take',0.4114,18641,0.0000,11625
84,5,b'5-phrase_feature__noun_phrases__current_user_utterance__22nd_take_mom',0.4114,18643,0.0000,11626
85,5,b'5-phrase_feature__noun_phrases__current_user_utterance__27th_check',0.4114,18644,0.0000,11627
86,5,b'5-phrase_feature__noun_phrases__current_user_utterance__27th_check_car',0.4114,18645,0.0000,11628
87,5,b'5-phrase_feature__noun_phrases__current_user_utterance__28th_blood',5.6983,4285,0.0000,2235
88,5,b'5-phrase_feature__noun_phrases__current_user_utterance__2pm_tomorrow',12.0741,2117,0.0000,11629
89,5,b'5-phrase_feature__noun_phrases__current_user_utterance__3,4',5.6983,4284,0.0008,837
90,5,b'5-phrase_feature__noun_phrases__current_user_utterance__32g',3.2399,6379,0.0000,2295
91,5,b'5-phrase_feature__noun_phrases__current_user_utterance__32g_x',0.4114,18646,0.0000,11607
92,5,b'5-phrase_feature__noun_phrases__current_user_utterance__3pm_today',0.4114,18647,0.0000,11605
93,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4am_tomorrow',0.4114,18648,0.0000,11580
94,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4pm',4.5309,5545,0.0000,11604
95,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4pm_reminder',14.2155,859,0.0181,71
96,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4th_thursday',0.4114,18649,0.0000,11582
97,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4th_tuesday',1.2343,9282,0.0000,11583
98,5,b'5-phrase_feature__noun_phrases__current_user_utterance__5p',0.4114,18650,0.0000,11584
99,5,b'5-phrase_feature__noun_phrases__current_user_utterance__5pm',3.2399,6393,0.0000,11585
100,5,b'5-phrase_feature__noun_phrases__current_user_utterance__5pm_today',5.6983,4283,0.0000,11586
101,5,b'5-phrase_feature__noun_phrases__current_user_utterance__5th',1.2343,9281,0.0000,11587
102,5,b'5-phrase_feature__noun_phrases__current_user_utterance__621amfriday17',0.4114,18651,0.0000,11588
103,5,b'5-phrase_feature__noun_phrases__current_user_utterance__630pm',0.4114,18652,0.0000,11589
104,5,b'5-phrase_feature__noun_phrases__current_user_utterance__630pm_jackie',0.4114,18642,0.0000,11590
105,5,b'5-phrase_feature__noun_phrases__current_user_utterance__630pm_jackie_ph',0.4114,18628,0.0000,11591
106,5,b'5-phrase_feature__noun_phrases__current_user_utterance__6pm',0.4114,18616,0.0000,11592
107,5,b'5-phrase_feature__noun_phrases__current_user_utterance__6pm_abt',12.0741,2079,0.0000,11593
108,5,b'5-phrase_feature__noun_phrases__current_user_utterance__6pm_saturday',14.2155,797,0.0000,2106
109,5,b'5-phrase_feature__noun_phrases__current_user_utterance__6pm_today',1.2343,9231,0.0000,11594
110,5,b'5-phrase_feature__noun_phrases__current_user_utterance__6pm_tomorrow',0.4114,18627,0.0000,11595
111,5,b'5-phrase_feature__noun_phrases__current_user_utterance__7am',0.4114,18605,0.0000,11596
112,5,b'5-phrase_feature__noun_phrases__current_user_utterance__7pm',0.4114,18606,0.0000,11597
113,5,b'5-phrase_feature__noun_phrases__current_user_utterance__7pm_est',0.4114,18607,0.0000,11598
114,5,b'5-phrase_feature__noun_phrases__current_user_utterance__7pm_tomorrow',2.0549,7897,0.0000,3043
115,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8am',1.2157,10161,0.0000,11599
116,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8am_\\',5.6983,4282,0.0002,1630
117,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8am_\\_nto',5.6983,4281,0.0001,1914
118,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8am_regarding',0.4114,18608,0.0000,11600
119,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8am_regarding_letter',0.4114,18609,0.0000,11601
120,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8p',14.2155,728,0.0011,687
121,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8pm',6.3135,3355,0.0000,11603
122,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8pm_today',1.1147,10291,0.0000,3336
123,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8pm_tomorrow',0.4114,18610,0.0000,11579
124,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8pm_tonight',0.4114,18611,0.0000,11524
125,5,b'5-phrase_feature__noun_phrases__current_user_utterance__900am',0.8229,11248,0.0000,11471
126,5,b'5-phrase_feature__noun_phrases__current_user_utterance__900am_today',0.4114,18612,0.0000,11523
127,5,b'5-phrase_feature__noun_phrases__current_user_utterance__945pm',0.4114,18613,0.0000,11446
128,5,b'5-phrase_feature__noun_phrases__current_user_utterance__9am',1.3941,9203,0.0000,11447
129,5,b'5-phrase_feature__noun_phrases__current_user_utterance__9am_thursday',14.2155,730,0.0028,352
130,5,b'5-phrase_feature__noun_phrases__current_user_utterance__9am_tomorrow',0.8229,11295,0.0000,11449
131,5,b'5-phrase_feature__noun_phrases__current_user_utterance__9pm',3.9538,5921,0.0000,11450
132,5,b'5-phrase_feature__noun_phrases__current_user_utterance__:)',0.4114,18614,0.0000,11451
133,5,b'5-phrase_feature__noun_phrases__current_user_utterance__<babydoll>',0.4114,18604,0.0000,11452
134,5,b'5-phrase_feature__noun_phrases__current_user_utterance__<must update the time>',0.4114,18615,0.0000,11453
135,5,b'5-phrase_feature__noun_phrases__current_user_utterance__<nasalcrom>',0.4114,18617,0.0000,11454
136,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@ben',0.4114,18618,0.0000,11455
137,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@blake',0.4114,18619,0.0000,11456
138,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@buck',0.4114,18620,0.0000,11457
139,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@buck_hi',0.4114,18621,0.0000,11458
140,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@budnik',0.8229,11275,0.0000,11459
141,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@heritage',14.2155,734,0.0000,2566
142,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@heritage_health',14.2155,736,0.0004,1212
143,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@kathleen',0.8229,11274,0.0000,11461
144,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@kathleen_hi',0.4114,18622,0.0000,11462
145,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@kathleen_love',0.4114,18623,0.0000,11463
