id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',50.3879,156,0.0118,485
5,2.1,b'2.1-user_action_words.current_user_utterance__cast',32.1630,706,0.0086,577
7,2.1,b'2.1-user_action_words.current_user_utterance__els',23.8837,900,0.0019,926
13,2.1,b'2.1-user_action_words.current_user_utterance__next',23.9017,879,0.0239,311
17,2.1,b'2.1-user_action_words.current_user_utterance__play',20.9308,989,0.0072,629
20,2.1,b'2.1-user_action_words.current_user_utterance__remind',63.9066,114,0.0000,1677
21,2.1,b'2.1-user_action_words.current_user_utterance__remov',92.9882,57,0.0012,1035
24,2.1,b'2.1-user_action_words.current_user_utterance__show',26.8577,781,0.0024,882
26,2.1,b'2.1-user_action_words.current_user_utterance__skip',21.3254,978,0.0037,793
31,2.1,b'2.1-user_action_words.current_user_utterance__stop',25.5875,815,0.0088,572
33,2.1,b'2.1-user_action_words.current_user_utterance__tell',23.8287,913,0.0005,1195
34,2.1,b'2.1-user_action_words.current_user_utterance__temperatur',20.2873,1006,0.0082,588
35,2.1,b'2.1-user_action_words.current_user_utterance__time',23.5232,917,0.0283,270
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,63,0.0147,422
37,2.1,b'2.1-user_action_words.current_user_utterance__turn',36.9148,671,0.0011,1049
38,2.1,b'2.1-user_action_words.current_user_utterance__video',22.7218,954,0.0056,691
39,2.1,b'2.1-user_action_words.current_user_utterance__volum',39.1637,658,0.0020,918
40,2.1,b'2.1-user_action_words.current_user_utterance__watch',59.7330,121,0.0019,932
41,2.1,b'2.1-user_action_words.current_user_utterance__weather',27.4735,772,0.0088,570
42,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',37.5981,668,0.0018,938
44,3,b'3-time_feature__end_of_session',110.1752,41,1.0000,0
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0185,373
48,3,b'3-time_feature__turns_to_end',1142.1987,2,0.0743,74
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,4,0.2418,11
50,1,b'1-utterance_length.next_user_utterance__utterance_length',386.2874,5,0.0013,1000
55,2.1,b'2.1-user_action_words.next_user_utterance__cast',25.8681,813,0.0000,1707
67,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,44,0.0649,103
73,2.1,b'2.1-user_action_words.next_user_utterance__share',41.9590,514,0.0000,1579
81,2.1,b'2.1-user_action_words.next_user_utterance__stop',35.0396,679,0.0000,1744
86,2.1,b'2.1-user_action_words.next_user_utterance__timer',28.4570,758,0.0419,180
88,2.1,b'2.1-user_action_words.next_user_utterance__video',27.7802,768,0.0080,592
90,2.1,b'2.1-user_action_words.next_user_utterance__watch',80.9961,90,0.0179,381
92,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',34.3773,689,0.0039,781
115,5,b'5-phrase_feature__noun_phrases__current_user_utterance__abc',24.1757,869,0.0049,728
122,5,b'5-phrase_feature__noun_phrases__current_user_utterance__account',41.9590,515,0.0000,1496
145,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',20.1402,1013,0.0009,1096
175,5,b'5-phrase_feature__noun_phrases__current_user_utterance__alexa',23.4252,942,0.0027,861
176,5,b'5-phrase_feature__noun_phrases__current_user_utterance__alternative',25.1774,836,0.0025,873
218,5,b'5-phrase_feature__noun_phrases__current_user_utterance__appointment',23.4252,943,0.0004,1244
249,5,b'5-phrase_feature__noun_phrases__current_user_utterance__athena',41.9590,516,0.0000,1694
285,5,b'5-phrase_feature__noun_phrases__current_user_utterance__baltimore',41.9590,517,0.0002,1299
301,5,b'5-phrase_feature__noun_phrases__current_user_utterance__bartender',41.9590,518,0.0001,1414
320,5,b'5-phrase_feature__noun_phrases__current_user_utterance__baymax',41.9590,519,0.0135,453
332,5,b'5-phrase_feature__noun_phrases__current_user_utterance__beatnuts',23.4252,944,0.0008,1111
411,5,b'5-phrase_feature__noun_phrases__current_user_utterance__block',41.9590,513,0.0002,1307
412,5,b'5-phrase_feature__noun_phrases__current_user_utterance__block_tour',41.9590,520,0.0021,910
419,5,b'5-phrase_feature__noun_phrases__current_user_utterance__blu-ray_region',25.1774,837,0.0000,1687
432,5,b'5-phrase_feature__noun_phrases__current_user_utterance__blx',41.9590,522,0.0001,1439
437,5,b'5-phrase_feature__noun_phrases__current_user_utterance__bobby',41.9590,523,0.0000,1520
438,5,b'5-phrase_feature__noun_phrases__current_user_utterance__bobby_flay',41.9590,524,0.0127,470
550,5,b'5-phrase_feature__noun_phrases__current_user_utterance__calendar',55.9770,134,0.0018,944
551,5,b'5-phrase_feature__noun_phrases__current_user_utterance__calendar_event',41.9590,525,0.0342,234
585,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cast',34.5228,688,0.0000,1691
590,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cast_joe',25.9209,804,0.0000,1696
591,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cast_joe_rogan',25.9209,805,0.1418,27
609,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cavs_game',21.9373,967,0.0279,274
633,5,b'5-phrase_feature__noun_phrases__current_user_utterance__championship',24.9189,859,0.0007,1131
634,5,b'5-phrase_feature__noun_phrases__current_user_utterance__championship_game',25.1774,844,0.0002,1354
683,5,b'5-phrase_feature__noun_phrases__current_user_utterance__chirp',41.9590,526,0.0387,201
709,5,b'5-phrase_feature__noun_phrases__current_user_utterance__chromecast',47.8848,165,0.0016,967
803,5,b'5-phrase_feature__noun_phrases__current_user_utterance__congressman',41.9590,527,0.0000,1673
830,5,b'5-phrase_feature__noun_phrases__current_user_utterance__costco',41.9590,521,0.0000,1670
831,5,b'5-phrase_feature__noun_phrases__current_user_utterance__costco_chicken',41.9590,512,0.0002,1345
842,5,b'5-phrase_feature__noun_phrases__current_user_utterance__country_day',41.9590,511,0.0000,1481
843,5,b'5-phrase_feature__noun_phrases__current_user_utterance__country_day_school',41.9590,510,0.0131,464
856,5,b'5-phrase_feature__noun_phrases__current_user_utterance__crown',22.7424,953,0.0013,1004
862,5,b'5-phrase_feature__noun_phrases__current_user_utterance__crying',41.9590,495,0.0022,902
863,5,b'5-phrase_feature__noun_phrases__current_user_utterance__crying_panda',41.9590,496,0.0020,917
864,5,b'5-phrase_feature__noun_phrases__current_user_utterance__crying_panda_video',41.9590,497,0.0069,635
