id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,48,0.0320,66
4,2.1,b'2.1-user_action_words.current_user_utterance__discard',31.9095,302,0.0144,129
6,2.1,b'2.1-user_action_words.current_user_utterance__food',15.3344,644,0.0003,849
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,94,0.0008,600
12,2.1,b'2.1-user_action_words.current_user_utterance__number',23.8840,464,0.0013,497
14,2.1,b'2.1-user_action_words.current_user_utterance__phone',13.2308,1357,0.0000,1797
17,2.1,b'2.1-user_action_words.current_user_utterance__remind',70.4358,143,0.0115,150
18,2.1,b'2.1-user_action_words.current_user_utterance__remov',17.8201,543,0.0034,320
23,2.1,b'2.1-user_action_words.current_user_utterance__tell',13.7466,1311,0.0029,340
24,2.1,b'2.1-user_action_words.current_user_utterance__time',22.0294,482,0.0001,1062
28,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',12.4563,1400,0.0055,259
30,3,b'3-time_feature__end_of_session',272.2220,35,1.0000,0
31,3,b'3-time_feature__start_of_session',94.2762,110,0.0177,109
32,3,b'3-time_feature__time_ratio',44.2502,199,0.0182,106
33,3,b'3-time_feature__turns_from_start',229.2487,46,0.0145,126
34,3,b'3-time_feature__turns_to_end',671.9179,10,0.0062,244
35,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0823,24
36,1,b'1-utterance_length.next_user_utterance__utterance_length',285.2474,32,0.0077,205
42,2.1,b'2.1-user_action_words.next_user_utterance__food',12.6270,1385,0.0009,573
43,2.1,b'2.1-user_action_words.next_user_utterance__item',43.2109,200,0.0047,280
52,2.1,b'2.1-user_action_words.next_user_utterance__remind',29.7041,326,0.0022,386
61,2.1,b'2.1-user_action_words.next_user_utterance__watch',17.9138,541,0.0000,1812
62,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',50.0471,185,0.0065,238
72,5,b'5-phrase_feature__noun_phrases__current_user_utterance__12-10pm',14.2155,868,0.0000,1395
88,5,b'5-phrase_feature__noun_phrases__current_user_utterance__2pm_tomorrow',12.0741,1504,0.0045,291
95,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4pm_reminder',14.2155,867,0.0010,539
108,5,b'5-phrase_feature__noun_phrases__current_user_utterance__6pm_saturday',14.2155,866,0.0005,712
120,5,b'5-phrase_feature__noun_phrases__current_user_utterance__8p',14.2155,865,0.0000,1439
129,5,b'5-phrase_feature__noun_phrases__current_user_utterance__9am_thursday',14.2155,864,0.0000,1467
141,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@heritage',14.2155,863,0.0000,1396
142,5,b'5-phrase_feature__noun_phrases__current_user_utterance__@heritage_health',14.2155,862,0.0069,228
159,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\',32.2621,297,0.0010,538
160,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\_n',12.5534,1394,0.0000,1253
162,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\_n7',14.2155,861,0.0003,886
167,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\_ndrank',14.2155,860,0.0000,1598
173,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\_nlist',14.2155,859,0.0002,985
176,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\_npaper',19.5201,509,0.0002,931
177,5,b'5-phrase_feature__noun_phrases__current_user_utterance__\\_npaper_towels',19.5201,512,0.0013,500
206,5,b'5-phrase_feature__noun_phrases__current_user_utterance__acid_gel',12.0741,1498,0.0000,1334
210,5,b'5-phrase_feature__noun_phrases__current_user_utterance__active_meals',17.7578,548,0.0000,1316
215,5,b'5-phrase_feature__noun_phrases__current_user_utterance__adhiambo',14.2155,858,0.0005,701
216,5,b'5-phrase_feature__noun_phrases__current_user_utterance__adoring',14.2155,856,0.0086,193
217,5,b'5-phrase_feature__noun_phrases__current_user_utterance__adriano',14.2155,844,0.0013,499
