id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
3348,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,1.0000,0
3175,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',938.0234,4,0.5340,1
30,3,b'3-time_feature__time_ratio',251.2757,52,0.4630,2
63,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,1028,0.3775,3
61,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,1026,0.3160,4
1068,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,49,0.2400,5
1424,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,55,0.2229,6
2950,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.1896,7
1777,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.1895,8
2965,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.1660,9
190,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,108,0.1517,10
1288,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,132,0.1380,11
1584,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,59,0.1354,12
65,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.1278,13
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,103,0.1267,14
1637,5,b'5-phrase_feature__noun_phrases__next_system_utterance__town',10.5878,869,0.0950,15
1208,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',367.7857,42,0.0941,16
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.0912,17
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,1025,0.0907,18
3198,7,b'7-syntactic_feature__root_word__next_user_utterance__what',380.8588,40,0.0810,19
1724,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.0787,20
2274,6,b'6-entity_feature__entity__next_system_utterance__1_NUMBER',78.7023,148,0.0762,21
479,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,35,0.0685,22
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,34,0.0676,23
1028,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,107,0.0674,24
2960,7,b'7-syntactic_feature__root_word__next_system_utterance__rang',19.3197,544,0.0633,25
1567,5,b'5-phrase_feature__noun_phrases__next_system_utterance__something',335.0703,45,0.0625,26
1069,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant_serving',12.0939,766,0.0592,27
1741,5,b'5-phrase_feature__noun_phrases__next_user_utterance__anything',35.1544,324,0.0578,28
1783,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',434.4164,25,0.0576,29
749,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whats',253.6909,51,0.0543,30
3302,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',397.4483,36,0.0507,31
2533,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',80.4661,144,0.0498,32
376,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',197.0900,64,0.0496,33
3113,7,b'7-syntactic_feature__root_word__next_user_utterance__number',165.5871,71,0.0493,34
1297,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,10,0.0485,35
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.0466,36
1330,5,b'5-phrase_feature__noun_phrases__next_system_utterance__part',383.2503,39,0.0436,37
1638,5,b'5-phrase_feature__noun_phrases__next_system_utterance__town_serving',108.2744,111,0.0433,38
2573,7,b'7-syntactic_feature__root_word__current_user_utterance__address',139.3320,84,0.0433,39
1340,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,11,0.0430,40
1341,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,12,0.0420,41
2531,7,b'7-syntactic_feature__obj_word__next_system_utterance__someth',349.5679,43,0.0411,42
325,5,b'5-phrase_feature__noun_phrases__current_user_utterance__im_looking',162.2314,77,0.0407,43
62,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,1027,0.0405,44
2933,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,141,0.0364,45
2957,7,b'7-syntactic_feature__root_word__next_system_utterance__place',136.9965,87,0.0352,46
3325,7,b'7-syntactic_feature__subj_word__next_system_utterance__rang',35.8336,320,0.0339,47
1393,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant_serving',203.3834,62,0.0327,48
3377,7,b'7-syntactic_feature__subj_word__next_user_utterance__number',92.8786,124,0.0322,49
2664,7,b'7-syntactic_feature__root_word__current_user_utterance__im',162.3414,76,0.0318,50
878,5,b'5-phrase_feature__noun_phrases__next_system_utterance__centre',157.4047,78,0.0316,51
1819,5,b'5-phrase_feature__noun_phrases__next_user_utterance__code',132.3345,93,0.0313,52
2491,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,1024,0.0296,53
674,5,b'5-phrase_feature__noun_phrases__current_user_utterance__thai_food',80.5602,143,0.0294,54
438,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,31,0.0289,55
3019,7,b'7-syntactic_feature__root_word__next_user_utterance__code',55.4890,188,0.0284,56
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,32,0.0281,57
85,5,b'5-phrase_feature__noun_phrases__current_user_utterance__anything',20.6988,497,0.0278,58
3208,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',103.4077,115,0.0269,59
