id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
11147,5,b'5-phrase_feature__noun_phrases__next_system_utterance__top_genius',41.9590,322,1.0000,0
22301,7,b'7-syntactic_feature__subj_word__next_system_utterance__eastern',41.9590,495,0.9766,1
18844,7,b'7-syntactic_feature__obj_word__current_user_utterance__me',26.8299,782,0.3326,2
44,3,b'3-time_feature__end_of_session',110.1752,41,0.3194,3
9900,5,b'5-phrase_feature__noun_phrases__next_system_utterance__rim',41.9590,332,0.3192,4
8637,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_station',23.8557,907,0.2929,5
20751,7,b'7-syntactic_feature__root_word__next_system_utterance__fill',20.1402,1019,0.2884,6
7828,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kings!do',41.9590,366,0.2703,7
10089,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sandwich',41.9590,328,0.2666,8
8212,5,b'5-phrase_feature__noun_phrases__next_system_utterance__majestic',41.9590,391,0.2501,9
2962,5,b'5-phrase_feature__noun_phrases__current_user_utterance__samsung',41.9624,186,0.2483,10
9918,5,b'5-phrase_feature__noun_phrases__next_system_utterance__roar',41.9590,329,0.2187,11
7767,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kangchenjunga',25.3202,831,0.1861,12
3994,5,b'5-phrase_feature__noun_phrases__next_system_utterance__account',28.4132,759,0.1808,13
9763,5,b'5-phrase_feature__noun_phrases__next_system_utterance__recipes',31.6762,715,0.1795,14
19037,7,b'7-syntactic_feature__obj_word__current_user_utterance__timer',76.8242,95,0.1711,15
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,1033,0.1645,16
20964,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,20,0.1628,17
10498,5,b'5-phrase_feature__noun_phrases__next_system_utterance__soundtrack_justin',41.9590,299,0.1534,18
0,1,b'1-utterance_length.current_user_utterance__utterance_length',50.3879,156,0.1401,19
4394,5,b'5-phrase_feature__noun_phrases__next_system_utterance__asian_slaw',41.9590,289,0.1386,20
21192,7,b'7-syntactic_feature__root_word__next_system_utterance__sure',50.8077,154,0.1298,21
