id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
58,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,2410,1.0000,0
4223,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,0.8205,1
6983,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1254',0.0000,913,0.4433,2
1318,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.3927,3
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.2630,4
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,2408,0.2157,5
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.2035,6
8006,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2175',0.0000,5910,0.1903,7
59,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2411,0.1887,8
3169,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,2416,0.1803,9
7214,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1462',0.0000,1735,0.1645,10
7805,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1995',0.0000,1145,0.1630,11
5509,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2088',0.0000,3571,0.1476,12
7847,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2031',0.0000,1243,0.1413,13
7498,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1718',0.0000,1119,0.1343,14
5162,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1776',0.0000,2101,0.1338,15
5580,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2151',0.0000,3474,0.1310,16
8091,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2251',0.0000,5938,0.1309,17
7593,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1803',0.0000,933,0.1273,18
5512,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2090',0.0000,3575,0.1250,19
7554,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1769',0.0000,951,0.1233,20
10029,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1836',0.0000,4406,0.1225,21
8212,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2360',0.0000,6285,0.1208,22
10053,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1858',0.0000,4343,0.1174,23
7318,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1556',0.0000,1783,0.1124,24
9332,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1208',0.0000,6502,0.1115,25
8176,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2328',0.0000,6305,0.1113,26
7342,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1578',0.0000,1639,0.1082,27
7991,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2161',0.0000,6064,0.1048,28
57,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,2409,0.1028,29
8372,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=345',0.0000,5541,0.1025,30
8217,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2365',0.0000,6290,0.0981,31
8392,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=363',0.0000,5589,0.0958,32
7085,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1346',0.0000,1550,0.0948,33
