dstc2100,dstc2,100,62,38,62.0000,38.0000
dstc2200,dstc2,200,111,89,55.5000,44.5000
dstc2300,dstc2,300,149,151,49.6667,50.3333
dstc2500,dstc2,500,237,263,47.4000,52.6000
dstc2600,dstc2,600,256,344,42.6667,57.3333
dstc2700,dstc2,700,256,444,36.5714,63.4286
dstc2800,dstc2,800,256,544,32.0000,68.0000
dstc2900,dstc2,900,256,644,28.4444,71.5556
dstc21000,dstc2,1000,256,744,25.6000,74.4000
dstc3100,dstc3,100,60,40,60.0000,40.0000
dstc3200,dstc3,200,105,95,52.5000,47.5000
dstc3300,dstc3,300,144,156,48.0000,52.0000
dstc3500,dstc3,500,238,262,47.6000,52.4000
dstc3600,dstc3,600,256,344,42.6667,57.3333
dstc3700,dstc3,700,256,444,36.5714,63.4286
dstc3800,dstc3,800,256,544,32.0000,68.0000
dstc3900,dstc3,900,256,644,28.4444,71.5556
dstc31000,dstc3,1000,256,744,25.6000,74.4000
family100,family,100,70,30,70.0000,30.0000
family200,family,200,118,82,59.0000,41.0000
family300,family,300,142,158,47.3333,52.6667
family500,family,500,236,264,47.2000,52.8000
family600,family,600,256,344,42.6667,57.3333
family700,family,700,256,444,36.5714,63.4286
family800,family,800,256,544,32.0000,68.0000
family900,family,900,256,644,28.4444,71.5556
family1000,family,1000,256,744,25.6000,74.4000
ghome100,ghome,100,43,57,43.0000,57.0000
ghome200,ghome,200,79,121,39.5000,60.5000
ghome300,ghome,300,112,188,37.3333,62.6667
ghome500,ghome,500,236,264,47.2000,52.8000
ghome600,ghome,600,256,344,42.6667,57.3333
ghome700,ghome,700,256,444,36.5714,63.4286
ghome800,ghome,800,256,544,32.0000,68.0000
ghome900,ghome,900,256,644,28.4444,71.5556
ghome1000,ghome,1000,256,744,25.6000,74.4000
