id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
95,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2572,1.0000,0
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.6908,1
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,2571,0.4940,2
30105,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,3734,0.4839,3
9096,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange',41.9590,203,0.3729,4
9656,5,b'5-phrase_feature__noun_phrases__next_system_utterance__provider',41.9590,192,0.2972,5
7958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,21,0.2273,6
25728,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1922,0.1718,7
18600,7,b'7-syntactic_feature__obj_word__current_user_utterance__athena',41.9590,221,0.1599,8
43,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,2569,0.1535,9
19332,7,b'7-syntactic_feature__obj_word__next_system_utterance__name',147.9556,25,0.1408,10
25687,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1663,0.1359,11
23978,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,3516,0.1284,12
44,3,b'3-time_feature__end_of_session',110.1752,41,0.1223,13
25984,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1609',0.0000,1254,0.1149,14
24435,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,3239,0.1096,15
18571,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,2578,0.1043,16
19469,7,b'7-syntactic_feature__obj_word__next_system_utterance__tri',48.4269,164,0.1032,17
27337,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=668',0.0000,7122,0.1030,18
26755,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2302',0.0000,6307,0.1019,19
28860,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,3743,0.1015,20
19361,7,b'7-syntactic_feature__obj_word__next_system_utterance__pizza',83.9180,77,0.1013,21
25689,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1343',0.0000,1665,0.0981,22
23147,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,2767,0.0980,23
26182,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,1453,0.0978,24
26831,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6383,0.0964,25
26098,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,1150,0.0926,26
27983,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1248',0.0000,6601,0.0916,27
25882,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1517',0.0000,1832,0.0903,28
67,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,44,0.0895,29
25802,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1445',0.0000,1966,0.0855,30
28435,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1655',0.0000,4310,0.0848,31
21246,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',263.0493,9,0.0806,32
25948,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1577',0.0000,1273,0.0780,33
26399,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1983',0.0000,6217,0.0777,34
28115,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,6967,0.0775,35
18307,6,b'6-entity_feature__entity__next_user_utterance__katy perry roar_PERSON',41.9590,226,0.0762,36
27049,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5666,0.0761,37
27526,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=838',0.0000,7078,0.0740,38
10498,5,b'5-phrase_feature__noun_phrases__next_system_utterance__soundtrack_justin',41.9590,236,0.0724,39
18723,7,b'7-syntactic_feature__obj_word__current_user_utterance__event',41.9590,219,0.0714,40
19381,7,b'7-syntactic_feature__obj_word__next_system_utterance__question',57.4095,130,0.0702,41
23219,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,2755,0.0698,42
26789,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2333',0.0000,6399,0.0697,43
23704,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,2237,0.0695,44
550,5,b'5-phrase_feature__noun_phrases__current_user_utterance__calendar',55.9770,134,0.0694,45
24072,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2048',0.0000,3692,0.0694,46
7114,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home',58.7082,123,0.0671,47
29095,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2249',0.0000,3979,0.0668,48
18944,7,b'7-syntactic_feature__obj_word__current_user_utterance__remind',54.5186,147,0.0667,49
18573,7,b'7-syntactic_feature__obj_word__current_user_utterance__%',41.9590,223,0.0655,50
26859,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2397',0.0000,5769,0.0654,51
25897,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1530',0.0000,1874,0.0638,52
26531,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2100',0.0000,6082,0.0631,53
17517,6,b'6-entity_feature__entity__next_system_utterance__right now_DATE',44.4310,176,0.0620,54
27156,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=504',0.0000,6065,0.0619,55
1515,5,b'5-phrase_feature__noun_phrases__current_user_utterance__happy_holidays',41.9590,210,0.0615,56
29189,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2333',0.0000,5298,0.0605,57
26270,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,1378,0.0600,58
29023,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2184',0.0000,4198,0.0585,59
23792,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1797',0.0000,3412,0.0574,60
25724,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1375',0.0000,1918,0.0569,61
27320,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=652',0.0000,7163,0.0566,62
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0564,63
23763,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1770',0.0000,3300,0.0563,64
25701,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1354',0.0000,1623,0.0562,65
25412,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1094',0.0000,472,0.0562,66
18367,6,b'6-entity_feature__entity__next_user_utterance__minix_PERSON',49.7911,159,0.0553,67
28442,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1661',0.0000,4291,0.0548,68
29033,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2193',0.0000,4150,0.0539,69
25611,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1273',0.0000,1574,0.0539,70
26225,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1826',0.0000,1549,0.0538,71
26275,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1871',0.0000,1383,0.0537,72
27230,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=571',0.0000,5848,0.0535,73
9019,5,b'5-phrase_feature__noun_phrases__next_system_utterance__orange_vodka',41.9590,207,0.0534,74
26253,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1851',0.0000,1523,0.0532,75
26396,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1980',0.0000,6240,0.0530,76
26108,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1720',0.0000,1214,0.0529,77
13838,5,b'5-phrase_feature__noun_phrases__next_user_utterance__nexus_player',44.7194,174,0.0520,78
11148,5,b'5-phrase_feature__noun_phrases__next_system_utterance__top_genius_scholar',41.9590,255,0.0507,79
26145,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1754',0.0000,1197,0.0506,80
24420,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2361',0.0000,3224,0.0501,81
