dstc2100,dstc2,100,14,86,14.0000,86.0000
dstc2200,dstc2,200,24,176,12.0000,88.0000
dstc2300,dstc2,300,30,270,10.0000,90.0000
dstc2500,dstc2,500,34,466,6.8000,93.2000
dstc2600,dstc2,600,35,565,5.8333,94.1667
dstc2700,dstc2,700,39,661,5.5714,94.4286
dstc2800,dstc2,800,48,752,6.0000,94.0000
dstc2900,dstc2,900,58,842,6.4444,93.5556
dstc21000,dstc2,1000,64,936,6.4000,93.6000
dstc21500,dstc2,1500,81,1419,5.4000,94.6000
dstc22000,dstc2,2000,103,1897,5.1500,94.8500
dstc23000,dstc2,3000,137,2863,4.5667,95.4333
dstc24000,dstc2,4000,176,3824,4.4000,95.6000
dstc25000,dstc2,5000,212,4788,4.2400,95.7600
dstc3100,dstc3,100,14,86,14.0000,86.0000
dstc3200,dstc3,200,24,176,12.0000,88.0000
dstc3300,dstc3,300,36,264,12.0000,88.0000
dstc3500,dstc3,500,55,445,11.0000,89.0000
dstc3600,dstc3,600,62,538,10.3333,89.6667
dstc3700,dstc3,700,70,630,10.0000,90.0000
dstc3800,dstc3,800,79,721,9.8750,90.1250
dstc3900,dstc3,900,85,815,9.4444,90.5556
dstc31000,dstc3,1000,90,910,9.0000,91.0000
dstc31500,dstc3,1500,116,1384,7.7333,92.2667
dstc32000,dstc3,2000,134,1866,6.7000,93.3000
dstc33000,dstc3,3000,176,2824,5.8667,94.1333
dstc34000,dstc3,4000,210,3790,5.2500,94.7500
dstc35000,dstc3,5000,229,4771,4.5800,95.4200
family100,family,100,51,49,51.0000,49.0000
family200,family,200,84,116,42.0000,58.0000
family300,family,300,105,195,35.0000,65.0000
family500,family,500,127,373,25.4000,74.6000
family600,family,600,137,463,22.8333,77.1667
family700,family,700,143,557,20.4286,79.5714
family800,family,800,147,653,18.3750,81.6250
family900,family,900,155,745,17.2222,82.7778
family1000,family,1000,162,838,16.2000,83.8000
family1500,family,1500,183,1317,12.2000,87.8000
family2000,family,2000,197,1803,9.8500,90.1500
family3000,family,3000,236,2764,7.8667,92.1333
family4000,family,4000,244,3756,6.1000,93.9000
family5000,family,5000,253,4747,5.0600,94.9400
ghome100,ghome,100,30,70,30.0000,70.0000
ghome200,ghome,200,35,165,17.5000,82.5000
ghome300,ghome,300,46,254,15.3333,84.6667
ghome500,ghome,500,63,437,12.6000,87.4000
ghome600,ghome,600,69,531,11.5000,88.5000
ghome700,ghome,700,74,626,10.5714,89.4286
ghome800,ghome,800,78,722,9.7500,90.2500
ghome900,ghome,900,85,815,9.4444,90.5556
ghome1000,ghome,1000,93,907,9.3000,90.7000
ghome1500,ghome,1500,128,1372,8.5333,91.4667
ghome2000,ghome,2000,146,1854,7.3000,92.7000
ghome3000,ghome,3000,177,2823,5.9000,94.1000
ghome4000,ghome,4000,213,3787,5.3250,94.6750
ghome5000,ghome,5000,246,4754,4.9200,95.0800
