id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
2948,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3230,1.0000,0
8559,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,0.4227,1
35127,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,3103,0.3492,2
12167,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3227,0.3232,3
35046,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,3301,0.3173,4
12166,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,3228,0.2398,5
35732,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=101',0.0000,2602,0.0983,6
39754,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,8116,0.0743,7
35617,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=269',0.0000,2757,0.0717,8
35545,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,2685,0.0687,9
34433,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.0668,10
36326,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=96',0.0000,4238,0.0665,11
44,3,b'3-time_feature__end_of_session',110.1752,60,0.0655,12
35657,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=35',0.0000,2624,0.0654,13
33342,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0652,14
38004,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,331,0.0631,15
32826,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0599,16
37245,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,972,0.0588,17
41346,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=652',0.0000,8290,0.0575,18
35454,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=121',0.0000,3430,0.0572,19
42141,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,5766,0.0552,20
35980,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=56',0.0000,2771,0.0550,21
5024,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.0548,22
38461,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,1978,0.0546,23
32996,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.0535,24
39715,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1343',0.0000,7953,0.0533,25
38290,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2220',0.0000,623,0.0529,26
35148,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,3047,0.0529,27
35599,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=252',0.0000,2739,0.0524,28
40837,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2353',0.0000,8965,0.0508,29
35439,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=108',0.0000,3345,0.0508,30
9325,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.0503,31
35051,8.1,b'8.1-lda_feature.next_system_utterance__topic_30',0.0000,3306,0.0485,32
35987,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=62',0.0000,2765,0.0470,33
37474,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,1279,0.0455,34
36669,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,3748,0.0451,35
36568,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=43',0.0000,4543,0.0441,36
39713,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,7951,0.0434,37
35557,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=214',0.0000,2638,0.0434,38
22237,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.0432,39
43215,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2333',0.0000,6569,0.0429,40
36592,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=65',0.0000,4567,0.0424,41
42886,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,5131,0.0417,42
35469,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=135',0.0000,3445,0.0415,43
30439,6,b'6-entity_feature__entity__next_user_utterance__minix_PERSON',49.7911,212,0.0413,44
40766,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=229',0.0000,8907,0.0411,45
35309,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=261',0.0000,3528,0.0402,46
35128,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,3104,0.0388,47
35506,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=169',0.0000,3413,0.0382,48
36591,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=64',0.0000,4566,0.0377,49
37730,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,1179,0.0372,50
35503,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=166',0.0000,3410,0.0368,51
35101,8.1,b'8.1-lda_feature.next_user_utterance__topic_30',0.0000,3181,0.0364,52
35711,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=84',0.0000,2502,0.0364,53
35440,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=109',0.0000,3346,0.0362,54
35664,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=41',0.0000,2530,0.0361,55
35533,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=193',0.0000,2662,0.0358,56
38316,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2244',0.0000,2109,0.0344,57
42158,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1382',0.0000,5859,0.0341,58
35361,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=39',0.0000,3546,0.0338,59
39182,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=865',0.0000,1800,0.0333,60
26954,5,b'5-phrase_feature__noun_phrases__next_user_utterance__watch',68.8235,137,0.0331,61
35282,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=237',0.0000,3471,0.0329,62
40124,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,7304,0.0322,63
39733,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=136',0.0000,8155,0.0322,64
36028,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,2889,0.0322,65
33274,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.0321,66
35076,8.1,b'8.1-lda_feature.next_system_utterance__topic_9',0.0000,3259,0.0313,67
12165,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3229,0.0312,68
40590,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,7464,0.0311,69
40208,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,7072,0.0310,70
40411,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1970',0.0000,7642,0.0309,71
37217,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1255',0.0000,1014,0.0305,72
37683,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1675',0.0000,1201,0.0304,73
37453,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1468',0.0000,901,0.0304,74
37173,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,3965,0.0304,75
25742,5,b'5-phrase_feature__noun_phrases__next_user_utterance__minix',50.7815,205,0.0301,76
36331,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=1',0.0000,4233,0.0298,77
40887,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2399',0.0000,8934,0.0296,78
40691,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2221',0.0000,9122,0.0294,79
35994,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=69',0.0000,2785,0.0292,80
35458,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=125',0.0000,3434,0.0290,81
35086,8.1,b'8.1-lda_feature.next_user_utterance__topic_17',0.0000,3272,0.0289,82
35715,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=88',0.0000,2506,0.0288,83
38235,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2171',0.0000,569,0.0286,84
38095,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2045',0.0000,742,0.0285,85
43107,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2236',0.0000,6529,0.0285,86
35023,8.1,b'8.1-lda_feature.current_user_utterance__topic_6',0.0000,3208,0.0285,87
33821,7,b'7-syntactic_feature__root_word__next_user_utterance__tv',41.9624,255,0.0283,88
42461,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1655',0.0000,5003,0.0282,89
42085,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1316',0.0000,5785,0.0281,90
35633,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=283',0.0000,2701,0.0280,91
40251,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1826',0.0000,7214,0.0278,92
40537,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2083',0.0000,7480,0.0277,93
37795,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1776',0.0000,400,0.0272,94
42575,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1758',0.0000,4742,0.0270,95
37325,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1352',0.0000,1053,0.0269,96
32101,7,b'7-syntactic_feature__root_word__current_user_utterance__creat',65.8762,143,0.0267,97
35015,8.1,b'8.1-lda_feature.current_user_utterance__topic_43',0.0000,3200,0.0267,98
35183,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=148',0.0000,3152,0.0265,99
35712,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=85',0.0000,2503,0.0265,100
44131,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,4712,0.0260,101
36574,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=49',0.0000,4549,0.0259,102
37197,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1237',0.0000,999,0.0259,103
38011,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1970',0.0000,343,0.0258,104
41512,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=801',0.0000,8751,0.0257,105
35792,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=156',0.0000,2583,0.0251,106
8247,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0250,107
36477,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=230',0.0000,4661,0.0248,108
33036,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0247,109
38183,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2124',0.0000,586,0.0247,110
31381,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,13,0.0245,111
35283,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=238',0.0000,3470,0.0244,112
35191,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=155',0.0000,3167,0.0244,113
38713,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=442',0.0000,2439,0.0243,114
