id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7912,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,3227,1.0000,0
12302,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,3101,0.8370,1
28,3,b'3-time_feature__time_ratio',170.5127,93,0.4394,2
16791,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1254',0.0000,7663,0.3466,3
17362,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1769',0.0000,7129,0.3438,4
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3231,0.2648,5
17799,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2161',0.0000,9049,0.2196,6
17554,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1941',0.0000,7585,0.2134,7
13902,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=186',0.0000,3866,0.2107,8
11023,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3221,0.2004,9
15317,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2088',0.0000,750,0.1958,10
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.1951,11
16879,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1333',0.0000,7760,0.1917,12
13423,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=295',0.0000,4222,0.1878,13
17984,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2328',0.0000,8862,0.1859,14
19861,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1858',0.0000,5220,0.1844,15
14515,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1366',0.0000,855,0.1837,16
17490,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1884',0.0000,7554,0.1818,17
1323,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3230,0.1747,18
7913,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3226,0.1740,19
17814,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2175',0.0000,8997,0.1703,20
16995,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1438',0.0000,8232,0.1656,21
14105,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,4068,0.1609,22
14040,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=40',0.0000,3725,0.1539,23
17306,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1718',0.0000,7296,0.1524,24
17690,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2063',0.0000,7390,0.1519,25
13969,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=246',0.0000,3654,0.1509,26
