dstc2100,dstc2,100,8,92,8.0000,92.0000
dstc2200,dstc2,200,16,184,8.0000,92.0000
dstc2300,dstc2,300,20,280,6.6667,93.3333
dstc2500,dstc2,500,30,470,6.0000,94.0000
dstc2600,dstc2,600,31,569,5.1667,94.8333
dstc2700,dstc2,700,36,664,5.1429,94.8571
dstc2800,dstc2,800,40,760,5.0000,95.0000
dstc2900,dstc2,900,43,857,4.7778,95.2222
dstc21000,dstc2,1000,45,955,4.5000,95.5000
dstc21500,dstc2,1500,59,1441,3.9333,96.0667
dstc22000,dstc2,2000,69,1931,3.4500,96.5500
dstc23000,dstc2,3000,90,2910,3.0000,97.0000
dstc24000,dstc2,4000,112,3888,2.8000,97.2000
dstc25000,dstc2,5000,141,4859,2.8200,97.1800
dstc3100,dstc3,100,11,89,11.0000,89.0000
dstc3200,dstc3,200,18,182,9.0000,91.0000
dstc3300,dstc3,300,22,278,7.3333,92.6667
dstc3500,dstc3,500,37,463,7.4000,92.6000
dstc3600,dstc3,600,43,557,7.1667,92.8333
dstc3700,dstc3,700,50,650,7.1429,92.8571
dstc3800,dstc3,800,52,748,6.5000,93.5000
dstc3900,dstc3,900,55,845,6.1111,93.8889
dstc31000,dstc3,1000,55,945,5.5000,94.5000
dstc31500,dstc3,1500,71,1429,4.7333,95.2667
dstc32000,dstc3,2000,83,1917,4.1500,95.8500
dstc33000,dstc3,3000,116,2884,3.8667,96.1333
dstc34000,dstc3,4000,146,3854,3.6500,96.3500
dstc35000,dstc3,5000,167,4833,3.3400,96.6600
family100,family,100,22,78,22.0000,78.0000
family200,family,200,35,165,17.5000,82.5000
family300,family,300,52,248,17.3333,82.6667
family500,family,500,67,433,13.4000,86.6000
family600,family,600,72,528,12.0000,88.0000
family700,family,700,79,621,11.2857,88.7143
family800,family,800,84,716,10.5000,89.5000
family900,family,900,89,811,9.8889,90.1111
family1000,family,1000,95,905,9.5000,90.5000
family1500,family,1500,115,1385,7.6667,92.3333
family2000,family,2000,140,1860,7.0000,93.0000
family3000,family,3000,171,2829,5.7000,94.3000
family4000,family,4000,193,3807,4.8250,95.1750
family5000,family,5000,217,4783,4.3400,95.6600
