id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
3972,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=74',0.0000,1058,1.0000,0
3947,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=51',0.0000,1052,0.9269,1
3797,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=186',0.0000,902,0.8457,2
4058,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=150',0.0000,724,0.7302,3
3959,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=62',0.0000,1027,0.6955,4
3916,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=293',0.0000,1159,0.6259,5
3984,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=85',0.0000,1088,0.5987,6
3923,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=3',0.0000,1137,0.5500,7
4039,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,669,0.5490,8
3965,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=68',0.0000,1033,0.5411,9
3874,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=255',0.0000,1125,0.5272,10
4255,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=59',0.0000,739,0.5137,11
4195,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=274',0.0000,861,0.5082,12
3786,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=176',0.0000,1000,0.5033,13
3716,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=112',0.0000,486,0.4904,14
4080,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=170',0.0000,658,0.4835,15
4265,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=68',0.0000,767,0.4781,16
3908,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=286',0.0000,1151,0.4721,17
3850,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=233',0.0000,918,0.4718,18
3425,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=120',0.0000,485,0.4651,19
3486,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=176',0.0000,547,0.4251,20
3825,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=210',0.0000,911,0.4218,21
4100,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=189',0.0000,602,0.4163,22
3910,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=288',0.0000,1160,0.4135,23
3993,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=93',0.0000,1061,0.3816,24
3455,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=148',0.0000,455,0.3683,25
3889,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=269',0.0000,1103,0.3561,26
3968,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=70',0.0000,1036,0.3548,27
3918,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=295',0.0000,1141,0.3466,28
4045,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=139',0.0000,693,0.3389,29
4189,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=269',0.0000,819,0.3378,30
3992,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=92',0.0000,1075,0.3317,31
3427,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=122',0.0000,462,0.3247,32
3973,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=75',0.0000,1059,0.3207,33
4065,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=157',0.0000,710,0.3178,34
3760,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=152',0.0000,1010,0.3159,35
4221,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=298',0.0000,851,0.3116,36
3746,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=14',0.0000,960,0.3094,37
3904,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=282',0.0000,1154,0.3083,38
4027,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=122',0.0000,675,0.3061,39
3812,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=2',0.0000,880,0.3056,40
4126,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=211',0.0000,646,0.2994,41
3512,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=2',0.0000,541,0.2989,42
4235,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=40',0.0000,756,0.2983,43
3727,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=122',0.0000,978,0.2973,44
3828,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=213',0.0000,931,0.2906,45
4299,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=99',0.0000,584,0.2860,46
4260,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=63',0.0000,744,0.2838,47
3762,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=154',0.0000,1005,0.2820,48
3533,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=218',0.0000,533,0.2814,49
3739,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=133',0.0000,953,0.2813,50
3969,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=71',0.0000,1037,0.2807,51
3675,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=77',0.0000,378,0.2793,52
4157,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=24',0.0000,824,0.2700,53
3869,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=250',0.0000,1120,0.2660,54
4283,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=84',0.0000,776,0.2643,55
3945,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=5',0.0000,1049,0.2632,56
3702,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=10',0.0000,373,0.2623,57
3706,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=103',0.0000,368,0.2622,58
3802,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=190',0.0000,907,0.2601,59
4270,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=72',0.0000,790,0.2593,60
3658,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=61',0.0000,417,0.2584,61
3728,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=123',0.0000,979,0.2581,62
3753,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=146',0.0000,985,0.2554,63
3931,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=37',0.0000,1145,0.2522,64
3623,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=3',0.0000,287,0.2499,65
3543,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=227',0.0000,531,0.2496,66
3868,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=25',0.0000,1119,0.2466,67
4215,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=292',0.0000,845,0.2456,68
3458,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=150',0.0000,452,0.2440,69
3985,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=86',0.0000,1089,0.2440,70
3572,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=253',0.0000,318,0.2438,71
4258,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=61',0.0000,742,0.2428,72
3845,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=229',0.0000,922,0.2407,73
4252,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=56',0.0000,736,0.2393,74
3506,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=194',0.0000,568,0.2390,75
3879,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=26',0.0000,1123,0.2389,76
4041,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=135',0.0000,671,0.2337,77
3348,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.2334,78
3890,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=27',0.0000,1104,0.2325,79
4124,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=21',0.0000,644,0.2312,80
3713,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=11',0.0000,363,0.2279,81
4134,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=219',0.0000,654,0.2270,82
3711,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=108',0.0000,365,0.2262,83
4197,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=276',0.0000,863,0.2261,84
3770,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=161',0.0000,1013,0.2256,85
3963,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=66',0.0000,1031,0.2242,86
3792,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=181',0.0000,897,0.2237,87
3773,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=164',0.0000,1002,0.2229,88
