id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7246,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,1.0000,0
29097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.8035,1
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.6680,2
44785,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.6127,3
42366,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,4993,0.5902,4
7333,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.5012,5
2791,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4977,0.4735,6
2790,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,4976,0.4489,7
33732,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.4476,8
44426,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.4177,9
24486,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,4986,0.3507,10
35566,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.3483,11
31497,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.3149,12
51275,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=504',0.0000,6057,0.3109,13
54163,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=944',0.0000,4914,0.2965,14
43543,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,220,0.2928,15
32339,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,70,0.2707,16
43714,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.2654,17
24484,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,4984,0.2630,18
49973,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1492',0.0000,1820,0.2519,19
45392,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.2179,20
44639,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.2167,21
51540,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=743',0.0000,7198,0.2133,22
33097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n5',185.8872,80,0.2116,23
33120,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.2107,24
