id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7912,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,771,1.0000,0
12077,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,0.9399,1
13052,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,487,0.4824,2
12626,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=255',0.0000,952,0.4075,3
11023,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,784,0.3527,4
28,3,b'3-time_feature__time_ratio',170.5127,93,0.3231,5
12992,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=45',0.0000,805,0.2939,6
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.2704,7
12174,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=118',0.0000,500,0.2623,8
40,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,47,0.2563,9
12748,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=96',0.0000,1091,0.2464,10
13049,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=97',0.0000,786,0.2414,11
12044,7,b'7-syntactic_feature__subj_word__next_system_utterance__price',310.9899,56,0.2345,12
850,4.1,b'4.1-ngram.current_user_utterance__phone number',187.0974,85,0.2278,13
12171,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=115',0.0000,484,0.2223,14
12590,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=222',0.0000,915,0.2163,15
12304,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=235',0.0000,534,0.2131,16
7935,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,18,0.2099,17
12404,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=56',0.0000,394,0.2087,18
13001,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=53',0.0000,753,0.2078,19
6984,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',358.3450,44,0.2008,20
12497,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=139',0.0000,980,0.2000,21
11901,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',192.6696,81,0.1967,22
13038,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=87',0.0000,789,0.1876,23
9989,5,b'5-phrase_feature__noun_phrases__next_user_utterance__doesnt_matter',128.3749,113,0.1847,24
7913,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,778,0.1824,25
9564,5,b'5-phrase_feature__noun_phrases__next_system_utterance__romsey_area',65.7068,229,0.1813,26
11208,7,b'7-syntactic_feature__root_word__current_user_utterance__ditton',66.1584,224,0.1776,27
7178,4.1,b'4.1-ngram.next_user_utterance__doesnt matter',73.5668,202,0.1760,28
12923,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=252',0.0000,828,0.1751,29
12227,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=166',0.0000,447,0.1747,30
13025,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=75',0.0000,747,0.1727,31
12162,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=107',0.0000,471,0.1702,32
11304,7,b'7-syntactic_feature__root_word__current_user_utterance__number',90.6671,155,0.1700,33
12464,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=109',0.0000,375,0.1691,34
13029,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=79',0.0000,769,0.1665,35
12733,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=82',0.0000,1040,0.1657,36
12269,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=203',0.0000,570,0.1653,37
12650,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=277',0.0000,1103,0.1623,38
12536,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=174',0.0000,998,0.1620,39
12615,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=245',0.0000,922,0.1619,40
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,774,0.1609,41
12526,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=165',0.0000,1008,0.1606,42
