id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
4480,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntype',35.8628,178,1.0000,0
6652,5,b'5-phrase_feature__noun_phrases__next_system_utterance__fluorescent_light_bulbs',12.0338,1709,0.8533,1
8796,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nto_search',30.0496,207,0.3364,2
11600,5,b'5-phrase_feature__noun_phrases__next_system_utterance__wie',10.1251,1932,0.1743,3
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2052,0.1192,4
8707,5,b'5-phrase_feature__noun_phrases__next_system_utterance__new_time',40.0635,143,0.0963,5
9658,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder_name',39.0402,148,0.0910,6
8584,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n24',11.8533,1714,0.0854,7
4405,5,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'at",12.0741,1191,0.0827,8
3603,5,b'5-phrase_feature__noun_phrases__current_user_utterance__shilpa',24.1481,300,0.0782,9
9091,5,b'5-phrase_feature__noun_phrases__next_system_utterance__paper',32.4117,189,0.0768,10
6168,5,b'5-phrase_feature__noun_phrases__next_system_utterance__detergent_\\_n',14.2155,642,0.0702,11
10454,5,b'5-phrase_feature__noun_phrases__next_system_utterance__show',19.3234,361,0.0634,12
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,2053,0.0605,13
16877,6,b'6-entity_feature__entity__next_system_utterance__now_DATE',20.0011,338,0.0482,14
10391,5,b'5-phrase_feature__noun_phrases__next_system_utterance__settings',10.1066,1936,0.0421,15
3592,5,b'5-phrase_feature__noun_phrases__current_user_utterance__share_shopping',28.4310,235,0.0414,16
4458,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nalright',14.2155,597,0.0397,17
8757,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nor',214.5455,32,0.0386,18
8713,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',1040.3301,2,0.0386,19
16415,6,b'6-entity_feature__entity__next_system_utterance__current_DATE',11.9880,1711,0.0366,20
4305,5,b'5-phrase_feature__noun_phrases__current_user_utterance__zeke',12.0741,1161,0.0354,21
8263,5,b'5-phrase_feature__noun_phrases__next_system_utterance__member_jack',12.0741,1598,0.0349,22
7298,5,b'5-phrase_feature__noun_phrases__next_system_utterance__hours',56.8834,97,0.0335,23
9182,5,b'5-phrase_feature__noun_phrases__next_system_utterance__peanut',14.3674,484,0.0335,24
6767,5,b'5-phrase_feature__noun_phrases__next_system_utterance__fruit',22.4564,320,0.0322,25
4521,5,b'5-phrase_feature__noun_phrases__next_system_utterance__activity',14.2155,590,0.0305,26
9929,5,b'5-phrase_feature__noun_phrases__next_system_utterance__removed_patties',14.2155,609,0.0294,27
8554,5,b"5-phrase_feature__noun_phrases__next_system_utterance__n'show_list",88.4664,62,0.0281,28
4871,5,b'5-phrase_feature__noun_phrases__next_system_utterance__basket_\\',12.0741,1100,0.0259,29
7884,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lettuce',9.7913,1953,0.0242,30
6437,5,b'5-phrase_feature__noun_phrases__next_system_utterance__english',9.5419,1986,0.0225,31
3350,5,b'5-phrase_feature__noun_phrases__current_user_utterance__reiki',14.2155,509,0.0224,32
6088,5,b'5-phrase_feature__noun_phrases__next_system_utterance__date',26.4859,256,0.0219,33
9465,5,b'5-phrase_feature__noun_phrases__next_system_utterance__property_taxes',27.7220,242,0.0217,34
7629,5,b'5-phrase_feature__noun_phrases__next_system_utterance__john',10.4376,1907,0.0212,35
8573,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n14',42.3540,134,0.0208,36
10715,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry_yookyung',14.2155,622,0.0208,37
14379,5,b'5-phrase_feature__noun_phrases__next_user_utterance__shaver',11.3966,1801,0.0191,38
13054,5,b'5-phrase_feature__noun_phrases__next_user_utterance__italian_beef_rolls',12.0741,1408,0.0191,39
3588,5,b'5-phrase_feature__noun_phrases__current_user_utterance__shana',14.2155,548,0.0187,40
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,2054,0.0181,41
8148,5,b'5-phrase_feature__noun_phrases__next_system_utterance__marcus',12.9032,984,0.0177,42
8643,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nwhat',11.5007,1720,0.0176,43
16496,6,b'6-entity_feature__entity__next_system_utterance__friday_DATE',224.7304,25,0.0174,44
6256,5,b'5-phrase_feature__noun_phrases__next_system_utterance__dog_food_grapefruit',14.2155,638,0.0166,45
5430,5,b'5-phrase_feature__noun_phrases__next_system_utterance__cat_food',10.2859,1921,0.0160,46
6017,5,b'5-phrase_feature__noun_phrases__next_system_utterance__cultural_\\',11.3966,1779,0.0156,47
15981,6,b'6-entity_feature__entity__next_system_utterance__1,4_NUMBER',38.0987,161,0.0155,48
7554,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,45,0.0154,49
11181,5,b'5-phrase_feature__noun_phrases__next_system_utterance__towels',9.9072,1949,0.0152,50
14073,5,b'5-phrase_feature__noun_phrases__next_user_utterance__pickup',13.2308,973,0.0147,51
16098,6,b'6-entity_feature__entity__next_system_utterance__7_NUMBER',211.4428,40,0.0135,52
10104,5,b'5-phrase_feature__noun_phrases__next_system_utterance__rice',12.8238,986,0.0129,53
6461,5,b'5-phrase_feature__noun_phrases__next_system_utterance__essential_oil',14.2155,579,0.0127,54
10993,5,b'5-phrase_feature__noun_phrases__next_system_utterance__tater_tots',11.3966,1856,0.0119,55
4410,5,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'oct",29.1051,212,0.0115,56
8873,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,48,0.0109,57
13474,5,b'5-phrase_feature__noun_phrases__next_user_utterance__lawn_service',14.2155,865,0.0108,58
14621,5,b'5-phrase_feature__noun_phrases__next_user_utterance__thigh',12.0741,1333,0.0107,59
3291,5,b'5-phrase_feature__noun_phrases__current_user_utterance__raffle_prizes',12.0741,1047,0.0105,60
14219,5,b'5-phrase_feature__noun_phrases__next_user_utterance__reminder',42.0250,137,0.0100,61
4271,5,b'5-phrase_feature__noun_phrases__current_user_utterance__writing',14.2155,575,0.0098,62
14194,5,b'5-phrase_feature__noun_phrases__next_user_utterance__recycling',12.0741,1386,0.0098,63
13618,5,b'5-phrase_feature__noun_phrases__next_user_utterance__maintenance_request',12.0741,1422,0.0088,64
15798,6,b'6-entity_feature__entity__current_user_utterance__three_NUMBER',37.8701,164,0.0081,65
8852,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oil',17.2337,388,0.0078,66
11202,5,b'5-phrase_feature__noun_phrases__next_system_utterance__trash',9.0548,2008,0.0077,67
5344,5,b'5-phrase_feature__noun_phrases__next_system_utterance__callender',11.3966,1752,0.0073,68
4460,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nclick',10.1066,1935,0.0073,69
10301,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sausage',9.1811,2005,0.0073,70
3365,5,b'5-phrase_feature__noun_phrases__current_user_utterance__reminder_glasses',12.0741,1112,0.0072,71
10415,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shared_shopping',42.6466,133,0.0071,72
4705,5,b'5-phrase_feature__noun_phrases__next_system_utterance__arianna',14.2155,558,0.0071,73
8823,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nwhat',12.2907,1011,0.0069,74
4620,5,b'5-phrase_feature__noun_phrases__next_system_utterance__am',40.9256,138,0.0067,75
4956,5,b'5-phrase_feature__noun_phrases__next_system_utterance__benefit_dog_food',14.2155,641,0.0067,76
16738,6,b'6-entity_feature__entity__next_system_utterance__mar 28_DATE',9.0516,2012,0.0067,77
4403,5,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'add_item",88.4664,69,0.0067,78
16695,6,b'6-entity_feature__entity__next_system_utterance__laura_PERSON',74.9901,83,0.0067,79
3580,5,b'5-phrase_feature__noun_phrases__current_user_utterance__setup_paypal',12.0741,1085,0.0066,80
9413,5,b'5-phrase_feature__noun_phrases__next_system_utterance__practice',14.6738,475,0.0066,81
10285,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sarah_tomorrow_evening',27.1749,252,0.0065,82
13672,5,b'5-phrase_feature__noun_phrases__next_user_utterance__med',12.0741,1453,0.0064,83
14635,5,b'5-phrase_feature__noun_phrases__next_user_utterance__tim',12.0741,1327,0.0064,84
8575,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n16',33.3118,184,0.0064,85
10369,5,b'5-phrase_feature__noun_phrases__next_system_utterance__semisweet_\\',14.2155,553,0.0063,86
11045,5,b'5-phrase_feature__noun_phrases__next_system_utterance__text_messages',42.6466,132,0.0063,87
15048,6,b'6-entity_feature__entity__current_user_utterance__2020_DATE',14.2155,755,0.0061,88
16729,6,b'6-entity_feature__entity__next_system_utterance__mar 19_DATE',82.6971,72,0.0060,89
2561,5,b'5-phrase_feature__noun_phrases__current_user_utterance__mats',14.2155,733,0.0060,90
4455,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n9',11.7679,1716,0.0059,91
3581,5,b'5-phrase_feature__noun_phrases__current_user_utterance__sex',12.0741,1072,0.0059,92
8564,5,b"5-phrase_feature__noun_phrases__next_system_utterance__n'tomorrow",42.8237,123,0.0058,93
7263,5,b'5-phrase_feature__noun_phrases__next_system_utterance__honey',15.0294,448,0.0057,94
4422,5,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'title",55.0302,102,0.0057,95
10974,5,b'5-phrase_feature__noun_phrases__next_system_utterance__talking',14.2155,625,0.0057,96
6258,5,b'5-phrase_feature__noun_phrases__next_system_utterance__dogs',13.8373,940,0.0056,97
5281,5,b'5-phrase_feature__noun_phrases__next_system_utterance__butter',40.1215,142,0.0056,98
16988,6,b'6-entity_feature__entity__next_system_utterance__simon_PERSON',24.0697,307,0.0056,99
7788,5,b'5-phrase_feature__noun_phrases__next_system_utterance__knowing',14.2155,595,0.0055,100
10412,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shared_grocery_list',11.3966,1744,0.0055,101
4240,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whiting_@heritage_health',14.2155,576,0.0055,102
14400,5,b'5-phrase_feature__noun_phrases__next_user_utterance__shots',12.0741,1336,0.0054,103
14528,5,b'5-phrase_feature__noun_phrases__next_user_utterance__stickers',14.2155,697,0.0053,104
9654,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,56,0.0053,105
10422,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shawnee',14.2155,650,0.0053,106
9129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__past',11.3966,1757,0.0052,107
4446,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n3',27.6573,246,0.0051,108
8055,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lulu',14.2155,588,0.0051,109
7633,5,b'5-phrase_feature__noun_phrases__next_system_utterance__johnny',11.3966,1751,0.0050,110
11090,5,b'5-phrase_feature__noun_phrases__next_system_utterance__times',38.8193,150,0.0050,111
2824,5,b'5-phrase_feature__noun_phrases__current_user_utterance__nautomatic_insurance',12.0741,1308,0.0050,112
8547,5,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item_<name>",88.4664,67,0.0050,113
