id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
6958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,18,1.0000,0
4613,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,47,0.8678,1
8873,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,48,0.5742,2
10066,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.2230,3
11671,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,15,0.2188,4
9654,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,56,0.1859,5
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,17877,0.1687,6
8825,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.1214,7
16877,6,b'6-entity_feature__entity__next_system_utterance__now_DATE',20.0011,338,0.1187,8
7990,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,46,0.0963,9
4400,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\',20.6109,333,0.0895,10
4478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry',365.0066,11,0.0700,11
8797,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry',365.0066,10,0.0671,12
3625,5,b'5-phrase_feature__noun_phrases__current_user_utterance__show',34.7655,180,0.0649,13
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,17878,0.0473,14
14219,5,b'5-phrase_feature__noun_phrases__next_user_utterance__reminder',42.0250,137,0.0447,15
8720,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ni',24.2295,270,0.0351,16
16415,6,b'6-entity_feature__entity__next_system_utterance__current_DATE',11.9880,1711,0.0302,17
6528,5,b'5-phrase_feature__noun_phrases__next_system_utterance__family_schedule',6.4943,2377,0.0271,18
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,17876,0.0263,19
10991,5,b'5-phrase_feature__noun_phrases__next_system_utterance__task',87.7669,70,0.0258,20
7537,5,b'5-phrase_feature__noun_phrases__next_system_utterance__issues',21.8774,324,0.0246,21
2383,5,b'5-phrase_feature__noun_phrases__current_user_utterance__list',8.7754,2081,0.0226,22
6548,5,b'5-phrase_feature__noun_phrases__next_system_utterance__feedback',31.7279,194,0.0206,23
10636,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry',355.6549,12,0.0204,24
3613,5,b'5-phrase_feature__noun_phrases__current_user_utterance__shopping',14.2938,488,0.0180,25
16121,6,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',197.4073,43,0.0178,26
7013,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,85,0.0171,27
13519,5,b'5-phrase_feature__noun_phrases__next_user_utterance__list',13.8893,939,0.0169,28
3635,5,b'5-phrase_feature__noun_phrases__current_user_utterance__show_list',38.1007,160,0.0168,29
8766,5,b'5-phrase_feature__noun_phrases__next_system_utterance__notified',4.1144,4313,0.0160,30
14408,5,b'5-phrase_feature__noun_phrases__next_user_utterance__show_list',13.2637,955,0.0138,31
10317,5,b'5-phrase_feature__noun_phrases__next_system_utterance__schedule',6.7774,2351,0.0135,32
3400,5,b'5-phrase_feature__noun_phrases__current_user_utterance__request',22.8183,316,0.0127,33
17225,6,b'6-entity_feature__entity__next_user_utterance__1_NUMBER',3.4341,4658,0.0119,34
6521,5,b'5-phrase_feature__noun_phrases__next_system_utterance__family',3.7177,4570,0.0107,35
7855,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,39,0.0102,36
8802,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',0.8159,10241,0.0101,37
8491,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n',28.2983,237,0.0099,38
3614,5,b'5-phrase_feature__noun_phrases__current_user_utterance__shopping_list',16.6058,427,0.0094,39
15112,6,b'6-entity_feature__entity__current_user_utterance__3_NUMBER',6.2537,2602,0.0091,40
3379,5,b'5-phrase_feature__noun_phrases__current_user_utterance__reminders',16.2458,431,0.0089,41
8823,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nwhat',12.2907,1011,0.0089,42
11082,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,23,0.0087,43
6400,5,b'5-phrase_feature__noun_phrases__next_system_utterance__eggs',31.0066,199,0.0085,44
7010,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group',2.3871,5568,0.0085,45
15300,6,b'6-entity_feature__entity__current_user_utterance__9_NUMBER',3.1901,4889,0.0085,46
7555,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items_milk',70.4734,87,0.0080,47
31,5,b'5-phrase_feature__noun_phrases__current_user_utterance__4pm',4.5309,4203,0.0080,48
7587,5,b'5-phrase_feature__noun_phrases__next_system_utterance__jasmine',12.6270,999,0.0078,49
14649,5,b'5-phrase_feature__noun_phrases__next_user_utterance__title',115.6314,54,0.0077,50
14964,6,b'6-entity_feature__entity__current_user_utterance__10am_TIME',4.6601,4189,0.0077,51
4208,5,b'5-phrase_feature__noun_phrases__current_user_utterance__wednesday_night',9.6412,1978,0.0073,52
8971,5,b'5-phrase_feature__noun_phrases__next_system_utterance__only_member',1.6457,6779,0.0073,53
8579,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n2',260.7042,19,0.0068,54
3357,5,b'5-phrase_feature__noun_phrases__current_user_utterance__reminder',139.6321,51,0.0067,55
10496,5,b'5-phrase_feature__noun_phrases__next_system_utterance__single_reminder',31.9095,193,0.0067,56
10714,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry_vilas',24.1481,290,0.0067,57
8937,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok_tony',17.5162,383,0.0066,58
9248,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,92,0.0066,59
12724,5,b'5-phrase_feature__noun_phrases__next_user_utterance__family_members',19.0493,362,0.0064,60
1334,5,b'5-phrase_feature__noun_phrases__current_user_utterance__fan',17.7578,372,0.0063,61
15798,6,b'6-entity_feature__entity__current_user_utterance__three_NUMBER',37.8701,164,0.0063,62
