id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
3791,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,1.0000,0
1935,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',18.0032,271,0.1158,1
2622,7,b'7-syntactic_feature__root_word__next_system_utterance__sure',50.8077,54,0.0797,2
1965,7,b'7-syntactic_feature__root_word__next_system_utterance__apolog',254.6443,5,0.0735,3
2601,7,b'7-syntactic_feature__root_word__next_system_utterance__start',66.5469,41,0.0679,4
3178,7,b'7-syntactic_feature__root_word__next_user_utterance__turn',17.7496,275,0.0677,5
3046,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,21,0.0673,6
3104,7,b'7-syntactic_feature__root_word__next_user_utterance__set',16.0812,315,0.0548,7
1,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,4333,0.0541,8
560,7,b'7-syntactic_feature__obj_word__next_system_utterance__app',146.2038,12,0.0534,9
1767,7,b'7-syntactic_feature__root_word__current_user_utterance__turn',41.8437,158,0.0503,10
2220,7,b'7-syntactic_feature__root_word__next_system_utterance__got',142.9711,13,0.0476,11
2354,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,8,0.0390,12
1311,7,b'7-syntactic_feature__obj_word__next_user_utterance__timer',19.3911,258,0.0382,13
2445,7,b'7-syntactic_feature__root_word__next_system_utterance__play',60.3412,45,0.0346,14
2632,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,3,0.0310,15
3863,7,b'7-syntactic_feature__subj_word__next_system_utterance__ok',74.8827,34,0.0297,16
3628,7,b'7-syntactic_feature__subj_word__next_system_utterance__alright',44.0578,60,0.0247,17
3190,7,b'7-syntactic_feature__root_word__next_user_utterance__volum',21.4269,231,0.0235,18
4019,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',105.0528,22,0.0223,19
2670,7,b'7-syntactic_feature__root_word__next_system_utterance__turn',68.4163,40,0.0211,20
2408,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',31.6110,178,0.0202,21
3199,7,b'7-syntactic_feature__root_word__next_user_utterance__watch',72.6963,37,0.0202,22
1786,7,b'7-syntactic_feature__root_word__current_user_utterance__watch',37.2146,164,0.0201,23
2038,7,b'7-syntactic_feature__root_word__next_system_utterance__cancel',2.8546,1480,0.0199,24
1955,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',68.7046,39,0.0194,25
699,7,b'7-syntactic_feature__obj_word__next_system_utterance__it',107.4299,20,0.0176,26
2379,7,b'7-syntactic_feature__root_word__next_system_utterance__mix',74.6007,35,0.0164,27
431,7,b'7-syntactic_feature__obj_word__current_user_utterance__stair',6.6217,1179,0.0163,28
2215,7,b'7-syntactic_feature__root_word__next_system_utterance__go',20.4085,237,0.0162,29
2700,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,23,0.0159,30
2185,7,b'7-syntactic_feature__root_word__next_system_utterance__fire',7.7156,1110,0.0155,31
2967,7,b'7-syntactic_feature__root_word__next_user_utterance__light',2.4427,1511,0.0144,32
284,7,b'7-syntactic_feature__obj_word__current_user_utterance__minix',4.5209,1248,0.0138,33
1794,7,b'7-syntactic_feature__root_word__current_user_utterance__what',34.1003,169,0.0137,34
2621,7,b'7-syntactic_feature__root_word__next_system_utterance__support',88.1407,28,0.0134,35
1477,7,b'7-syntactic_feature__root_word__current_user_utterance__do',17.9329,272,0.0115,36
1397,7,b'7-syntactic_feature__root_word__current_user_utterance__aurora',6.0780,1195,0.0114,37
1563,7,b'7-syntactic_feature__root_word__current_user_utterance__light',4.8755,1243,0.0113,38
739,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,2,0.0098,39
1558,7,b'7-syntactic_feature__root_word__current_user_utterance__left',10.0756,414,0.0098,40
2344,7,b'7-syntactic_feature__root_word__next_system_utterance__like',88.2918,27,0.0097,41
1697,7,b'7-syntactic_feature__root_word__current_user_utterance__set',53.4387,53,0.0092,42
0,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,4332,0.0091,43
224,7,b'7-syntactic_feature__obj_word__current_user_utterance__it',4.2130,1262,0.0090,44
1727,7,b'7-syntactic_feature__root_word__current_user_utterance__stop',14.6740,355,0.0088,45
2,7,b'7-syntactic_feature__next_subj_words_overlap',0.0000,4334,0.0087,46
1814,7,b"7-syntactic_feature__root_word__next_system_utterance__'s",19.9945,256,0.0085,47
467,7,b'7-syntactic_feature__obj_word__current_user_utterance__timer',76.8242,33,0.0080,48
419,7,b'7-syntactic_feature__obj_word__current_user_utterance__song',2.4879,1510,0.0079,49
2394,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,9,0.0078,50
1440,7,b'7-syntactic_feature__root_word__current_user_utterance__clap',1.9808,1551,0.0076,51
3017,7,b'7-syntactic_feature__root_word__next_user_utterance__next',7.7938,1109,0.0075,52
2558,7,b'7-syntactic_feature__root_word__next_system_utterance__set',8.5470,452,0.0074,53
422,7,b'7-syntactic_feature__obj_word__current_user_utterance__soundtrack',2.8263,1483,0.0073,54
3468,7,b'7-syntactic_feature__subj_word__current_user_utterance__play',2.8543,1482,0.0073,55
1546,7,b'7-syntactic_feature__root_word__current_user_utterance__is',31.8311,174,0.0072,56
1428,7,b'7-syntactic_feature__root_word__current_user_utterance__cast',29.1620,188,0.0071,57
2510,7,b'7-syntactic_feature__root_word__next_system_utterance__rememb',1.2859,1756,0.0069,58
2912,7,b'7-syntactic_feature__root_word__next_user_utterance__googl',12.3511,386,0.0069,59
2863,7,b'7-syntactic_feature__root_word__next_user_utterance__do',16.1753,313,0.0069,60
2706,7,b'7-syntactic_feature__root_word__next_system_utterance__welcom',2.8933,1478,0.0066,61
203,7,b'7-syntactic_feature__obj_word__current_user_utterance__hallway',14.7173,353,0.0066,62
1424,7,b'7-syntactic_feature__root_word__current_user_utterance__cancel',6.9255,1162,0.0066,63
2996,7,b'7-syntactic_feature__root_word__next_user_utterance__minut',16.4224,309,0.0066,64
933,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',5.3395,1214,0.0064,65
2948,7,b'7-syntactic_feature__root_word__next_user_utterance__is',4.4910,1253,0.0064,66
3496,7,b'7-syntactic_feature__subj_word__current_user_utterance__rule',21.3013,233,0.0064,67
1136,7,b'7-syntactic_feature__obj_word__next_user_utterance__lamp',6.7110,1174,0.0064,68
3552,7,b'7-syntactic_feature__subj_word__current_user_utterance__time',13.2495,363,0.0061,69
3799,7,b'7-syntactic_feature__subj_word__next_system_utterance__it',29.4659,186,0.0061,70
2626,7,b'7-syntactic_feature__root_word__next_system_utterance__t',9.8399,429,0.0060,71
792,7,b'7-syntactic_feature__obj_word__next_system_utterance__place',1.7271,1616,0.0059,72
1347,7,b'7-syntactic_feature__obj_word__next_user_utterance__what',1.9276,1577,0.0058,73
1805,7,b'7-syntactic_feature__root_word__current_user_utterance__ye',57.6923,46,0.0057,74
3864,7,b'7-syntactic_feature__subj_word__next_system_utterance__one',1.5971,1695,0.0057,75
298,7,b'7-syntactic_feature__obj_word__current_user_utterance__music',3.3972,1313,0.0057,76
3557,7,b'7-syntactic_feature__subj_word__current_user_utterance__tomorrow',2.9206,1471,0.0056,77
3971,7,b'7-syntactic_feature__subj_word__next_system_utterance__time',26.4095,191,0.0055,78
2546,7,b'7-syntactic_feature__root_word__next_system_utterance__say',7.4223,1118,0.0053,79
