id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
10014,5,b'5-phrase_feature__noun_phrases__next_system_utterance__saying',230.8416,4,1.0000,0
8864,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',118.6848,16,0.7575,1
7865,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,7,0.4708,2
3361,5,b'5-phrase_feature__noun_phrases__current_user_utterance__timer',89.1305,27,0.3171,3
8387,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,22,0.2187,4
7025,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home_control',151.7848,8,0.1642,5
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,34,0.1477,6
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,35,0.0979,7
3441,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein_station',125.8770,13,0.0932,8
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,33,0.0582,9
5724,5,b'5-phrase_feature__noun_phrases__next_system_utterance__device',289.4626,0,0.0535,10
2371,5,b'5-phrase_feature__noun_phrases__current_user_utterance__open_netflix',125.8770,11,0.0479,11
4320,5,b'5-phrase_feature__noun_phrases__next_system_utterance__assistant_settings',95.0059,25,0.0303,12
5552,5,b'5-phrase_feature__noun_phrases__next_system_utterance__current_time',83.9180,30,0.0291,13
4241,5,b'5-phrase_feature__noun_phrases__next_system_utterance__apologies',254.6443,2,0.0284,14
11185,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,3,0.0250,15
992,5,b'5-phrase_feature__noun_phrases__current_user_utterance__eastern',83.9180,29,0.0234,16
11298,5,b'5-phrase_feature__noun_phrases__next_system_utterance__use_assistant',125.8770,10,0.0210,17
8558,5,b'5-phrase_feature__noun_phrases__next_system_utterance__name',201.1263,5,0.0187,18
7948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lights',91.3558,26,0.0138,19
2747,5,b'5-phrase_feature__noun_phrases__current_user_utterance__red_light',83.9180,28,0.0122,20
5393,5,b'5-phrase_feature__noun_phrases__next_system_utterance__control',151.7848,9,0.0096,21
12461,5,b'5-phrase_feature__noun_phrases__next_user_utterance__computer',83.9180,31,0.0087,22
1912,5,b'5-phrase_feature__noun_phrases__current_user_utterance__love',110.0250,19,0.0071,23
11385,5,b'5-phrase_feature__noun_phrases__next_system_utterance__video',259.9380,1,0.0070,24
9554,5,b'5-phrase_feature__noun_phrases__next_system_utterance__program',110.3430,18,0.0055,25
7922,5,b'5-phrase_feature__noun_phrases__next_system_utterance__library',100.3802,23,0.0052,26
8538,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_library',105.0964,21,0.0044,27
10116,5,b'5-phrase_feature__noun_phrases__next_system_utterance__setting',98.0135,24,0.0042,28
10212,5,b'5-phrase_feature__noun_phrases__next_system_utterance__similar_mix',105.0964,20,0.0041,29
16874,6,b'6-entity_feature__entity__next_system_utterance__eastern_MISC',125.8770,12,0.0041,30
13434,5,b'5-phrase_feature__noun_phrases__next_user_utterance__love',120.6679,15,0.0029,31
4116,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',111.9174,17,0.0013,32
6146,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',178.1834,6,0.0010,33
11299,5,b'5-phrase_feature__noun_phrases__next_system_utterance__use_assistant_settings',125.8770,14,0.0008,34
5822,5,b'5-phrase_feature__noun_phrases__next_system_utterance__distance',0.0000,36,0.0007,35
18475,6,b'6-entity_feature__next_entity__have_overlap',0.0000,32,0.0000,36
18474,6,b'6-entity_feature__next_entity__#overlap',0.0000,37,0.0000,37
18476,6,b'6-entity_feature__next_entity__jaccard_similarity',0.0000,38,0.0000,38
