id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
44,3,b'3-time_feature__end_of_session',110.1752,4,1.0000,0
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,7,0.2554,1
41,2.1,b'2.1-user_action_words.current_user_utterance__weather',27.4735,21,0.2372,2
43,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,32,0.1922,3
92,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',34.3773,17,0.0884,4
0,1,b'1-utterance_length.current_user_utterance__utterance_length',50.3879,11,0.0782,5
37,2.1,b'2.1-user_action_words.current_user_utterance__turn',36.9148,15,0.0686,6
33,2.1,b'2.1-user_action_words.current_user_utterance__tell',23.8287,27,0.0652,7
42,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',37.5981,14,0.0646,8
67,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,5,0.0601,9
50,1,b'1-utterance_length.next_user_utterance__utterance_length',386.2874,3,0.0441,10
35,2.1,b'2.1-user_action_words.current_user_utterance__time',23.5232,28,0.0412,11
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,2,0.0395,12
17,2.1,b'2.1-user_action_words.current_user_utterance__play',20.9308,31,0.0385,13
20,2.1,b'2.1-user_action_words.current_user_utterance__remind',63.9066,9,0.0299,14
88,2.1,b'2.1-user_action_words.next_user_utterance__video',27.7802,20,0.0283,15
31,2.1,b'2.1-user_action_words.current_user_utterance__stop',25.5875,24,0.0278,16
13,2.1,b'2.1-user_action_words.current_user_utterance__next',23.9017,25,0.0242,17
39,2.1,b'2.1-user_action_words.current_user_utterance__volum',39.1637,13,0.0223,18
40,2.1,b'2.1-user_action_words.current_user_utterance__watch',59.7330,10,0.0203,19
90,2.1,b'2.1-user_action_words.next_user_utterance__watch',80.9961,8,0.0193,20
21,2.1,b'2.1-user_action_words.current_user_utterance__remov',92.9882,6,0.0193,21
26,2.1,b'2.1-user_action_words.current_user_utterance__skip',21.3254,30,0.0185,22
86,2.1,b'2.1-user_action_words.next_user_utterance__timer',28.4570,19,0.0165,23
47,3,b'3-time_feature__turns_from_start',1855.8406,0,0.0118,24
24,2.1,b'2.1-user_action_words.current_user_utterance__show',26.8577,22,0.0110,25
5,2.1,b'2.1-user_action_words.current_user_utterance__cast',32.1630,18,0.0102,26
81,2.1,b'2.1-user_action_words.next_user_utterance__stop',35.0396,16,0.0093,27
38,2.1,b'2.1-user_action_words.current_user_utterance__video',22.7218,29,0.0093,28
48,3,b'3-time_feature__turns_to_end',1142.1987,1,0.0087,29
7,2.1,b'2.1-user_action_words.current_user_utterance__els',23.8837,26,0.0074,30
73,2.1,b'2.1-user_action_words.next_user_utterance__share',41.9590,12,0.0054,31
55,2.1,b'2.1-user_action_words.next_user_utterance__cast',25.8681,23,0.0034,32
