id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
129,8.1,b'8.1-lda_feature.next_user_utterance__topic_35',0.0000,78,1.0000,0
76,8.1,b'8.1-lda_feature.next_system_utterance__topic_32',0.0000,114,0.6739,1
80,8.1,b'8.1-lda_feature.next_system_utterance__topic_36',0.0000,127,0.4044,2
93,8.1,b'8.1-lda_feature.next_system_utterance__topic_48',0.0000,115,0.3231,3
95,8.1,b'8.1-lda_feature.next_system_utterance__topic_5',0.0000,134,0.2570,4
150,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.2037,5
65,8.1,b'8.1-lda_feature.next_system_utterance__topic_22',0.0000,28,0.1831,6
58,8.1,b'8.1-lda_feature.next_system_utterance__topic_16',0.0000,35,0.1777,7
86,8.1,b'8.1-lda_feature.next_system_utterance__topic_41',0.0000,121,0.1527,8
40,8.1,b'8.1-lda_feature.current_user_utterance__topic_45',0.0000,15,0.1303,9
78,8.1,b'8.1-lda_feature.next_system_utterance__topic_34',0.0000,129,0.1234,10
96,8.1,b'8.1-lda_feature.next_system_utterance__topic_6',0.0000,149,0.1064,11
71,8.1,b'8.1-lda_feature.next_system_utterance__topic_28',0.0000,22,0.1025,12
79,8.1,b'8.1-lda_feature.next_system_utterance__topic_35',0.0000,128,0.0896,13
92,8.1,b'8.1-lda_feature.next_system_utterance__topic_47',0.0000,131,0.0708,14
3,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,52,0.0703,15
64,8.1,b'8.1-lda_feature.next_system_utterance__topic_21',0.0000,29,0.0700,16
4,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,51,0.0647,17
44,8.1,b'8.1-lda_feature.current_user_utterance__topic_49',0.0000,11,0.0642,18
118,8.1,b'8.1-lda_feature.next_user_utterance__topic_25',0.0000,89,0.0615,19
59,8.1,b'8.1-lda_feature.next_system_utterance__topic_17',0.0000,34,0.0558,20
56,8.1,b'8.1-lda_feature.next_system_utterance__topic_14',0.0000,18,0.0521,21
5,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,50,0.0515,22
12,8.1,b'8.1-lda_feature.current_user_utterance__topic_2',0.0000,43,0.0477,23
103,8.1,b'8.1-lda_feature.next_user_utterance__topic_11',0.0000,142,0.0475,24
112,8.1,b'8.1-lda_feature.next_user_utterance__topic_2',0.0000,113,0.0460,25
94,8.1,b'8.1-lda_feature.next_system_utterance__topic_49',0.0000,132,0.0449,26
32,8.1,b'8.1-lda_feature.current_user_utterance__topic_38',0.0000,61,0.0444,27
111,8.1,b'8.1-lda_feature.next_user_utterance__topic_19',0.0000,133,0.0443,28
35,8.1,b'8.1-lda_feature.current_user_utterance__topic_40',0.0000,57,0.0418,29
83,8.1,b'8.1-lda_feature.next_system_utterance__topic_39',0.0000,124,0.0361,30
72,8.1,b'8.1-lda_feature.next_system_utterance__topic_29',0.0000,21,0.0319,31
39,8.1,b'8.1-lda_feature.current_user_utterance__topic_44',0.0000,16,0.0317,32
60,8.1,b'8.1-lda_feature.next_system_utterance__topic_18',0.0000,33,0.0303,33
23,8.1,b'8.1-lda_feature.current_user_utterance__topic_3',0.0000,70,0.0300,34
85,8.1,b'8.1-lda_feature.next_system_utterance__topic_40',0.0000,122,0.0295,35
57,8.1,b'8.1-lda_feature.next_system_utterance__topic_15',0.0000,20,0.0293,36
123,8.1,b'8.1-lda_feature.next_user_utterance__topic_3',0.0000,84,0.0288,37
66,8.1,b'8.1-lda_feature.next_system_utterance__topic_23',0.0000,27,0.0286,38
99,8.1,b'8.1-lda_feature.next_system_utterance__topic_9',0.0000,146,0.0267,39
13,8.1,b'8.1-lda_feature.current_user_utterance__topic_20',0.0000,42,0.0254,40
87,8.1,b'8.1-lda_feature.next_system_utterance__topic_42',0.0000,120,0.0248,41
74,8.1,b'8.1-lda_feature.next_system_utterance__topic_30',0.0000,38,0.0247,42
10,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,45,0.0241,43
15,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,40,0.0241,44
141,8.1,b'8.1-lda_feature.next_user_utterance__topic_46',0.0000,104,0.0226,45
148,8.1,b'8.1-lda_feature.next_user_utterance__topic_8',0.0000,97,0.0212,46
136,8.1,b'8.1-lda_feature.next_user_utterance__topic_41',0.0000,109,0.0212,47
117,8.1,b'8.1-lda_feature.next_user_utterance__topic_24',0.0000,90,0.0198,48
20,8.1,b'8.1-lda_feature.current_user_utterance__topic_27',0.0000,73,0.0196,49
75,8.1,b'8.1-lda_feature.next_system_utterance__topic_31',0.0000,75,0.0190,50
38,8.1,b'8.1-lda_feature.current_user_utterance__topic_43',0.0000,36,0.0188,51
82,8.1,b'8.1-lda_feature.next_system_utterance__topic_38',0.0000,125,0.0187,52
120,8.1,b'8.1-lda_feature.next_user_utterance__topic_27',0.0000,87,0.0179,53
19,8.1,b'8.1-lda_feature.current_user_utterance__topic_26',0.0000,58,0.0173,54
51,8.1,b'8.1-lda_feature.next_system_utterance__topic_1',0.0000,4,0.0171,55
90,8.1,b'8.1-lda_feature.next_system_utterance__topic_45',0.0000,117,0.0164,56
70,8.1,b'8.1-lda_feature.next_system_utterance__topic_27',0.0000,23,0.0163,57
139,8.1,b'8.1-lda_feature.next_user_utterance__topic_44',0.0000,106,0.0162,58
105,8.1,b'8.1-lda_feature.next_user_utterance__topic_13',0.0000,140,0.0156,59
46,8.1,b'8.1-lda_feature.current_user_utterance__topic_6',0.0000,9,0.0152,60
97,8.1,b'8.1-lda_feature.next_system_utterance__topic_7',0.0000,148,0.0152,61
41,8.1,b'8.1-lda_feature.current_user_utterance__topic_46',0.0000,14,0.0146,62
63,8.1,b'8.1-lda_feature.next_system_utterance__topic_20',0.0000,30,0.0142,63
121,8.1,b'8.1-lda_feature.next_user_utterance__topic_28',0.0000,86,0.0135,64
0,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,150,0.0131,65
48,8.1,b'8.1-lda_feature.current_user_utterance__topic_8',0.0000,7,0.0128,66
110,8.1,b'8.1-lda_feature.next_user_utterance__topic_18',0.0000,135,0.0124,67
104,8.1,b'8.1-lda_feature.next_user_utterance__topic_12',0.0000,141,0.0121,68
62,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,31,0.0119,69
6,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,49,0.0116,70
53,8.1,b'8.1-lda_feature.next_system_utterance__topic_11',0.0000,2,0.0115,71
91,8.1,b'8.1-lda_feature.next_system_utterance__topic_46',0.0000,116,0.0114,72
77,8.1,b'8.1-lda_feature.next_system_utterance__topic_33',0.0000,130,0.0109,73
8,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,47,0.0108,74
89,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,118,0.0107,75
69,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,24,0.0105,76
