id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
900,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,226,1.0000,0
345,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=139',0.0000,190,0.3522,1
145,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=229',0.0000,446,0.2844,2
821,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=298',0.0000,673,0.2798,3
59,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=151',0.0000,250,0.2694,4
897,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=97',0.0000,598,0.2456,5
800,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=279',0.0000,638,0.2430,6
581,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=82',0.0000,857,0.2245,7
159,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=241',0.0000,432,0.2057,8
605,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=102',0.0000,888,0.1923,9
182,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=262',0.0000,353,0.1903,10
201,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=28',0.0000,391,0.1896,11
409,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=197',0.0000,126,0.1883,12
757,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=24',0.0000,455,0.1880,13
728,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=213',0.0000,540,0.1801,14
234,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=4',0.0000,75,0.1771,15
117,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=203',0.0000,418,0.1728,16
474,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=255',0.0000,739,0.1726,17
694,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=183',0.0000,518,0.1716,18
438,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=222',0.0000,154,0.1710,19
200,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=279',0.0000,392,0.1674,20
23,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=119',0.0000,286,0.1642,21
658,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=150',0.0000,836,0.1577,22
296,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=96',0.0000,13,0.1496,23
434,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=219',0.0000,158,0.1477,24
811,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=289',0.0000,627,0.1475,25
260,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=63',0.0000,105,0.1430,26
856,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=6',0.0000,582,0.1361,27
753,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=236',0.0000,459,0.1359,28
237,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=42',0.0000,72,0.1358,29
143,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=227',0.0000,448,0.1339,30
886,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=87',0.0000,609,0.1328,31
465,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=247',0.0000,736,0.1320,32
195,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=274',0.0000,366,0.1298,33
537,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=42',0.0000,721,0.1293,34
22,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=118',0.0000,287,0.1283,35
19,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=115',0.0000,290,0.1283,36
231,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=37',0.0000,78,0.1270,37
439,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=223',0.0000,153,0.1269,38
891,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=91',0.0000,604,0.1255,39
357,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=15',0.0000,178,0.1240,40
324,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=12',0.0000,30,0.1228,41
1,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=1',0.0000,308,0.1228,42
627,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=122',0.0000,811,0.1196,43
840,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=45',0.0000,654,0.1191,44
323,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=119',0.0000,42,0.1119,45
424,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=21',0.0000,156,0.1116,46
682,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=172',0.0000,530,0.1077,47
232,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=38',0.0000,77,0.1071,48
121,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=207',0.0000,414,0.1063,49
307,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=104',0.0000,2,0.1056,50
11,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=108',0.0000,298,0.1026,51
384,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=174',0.0000,207,0.1023,52
864,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=67',0.0000,574,0.1019,53
640,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=134',0.0000,798,0.1014,54
549,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=53',0.0000,720,0.1011,55
277,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=79',0.0000,88,0.1003,56
724,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=21',0.0000,544,0.1001,57
559,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=62',0.0000,711,0.1000,58
219,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=296',0.0000,373,0.0999,59
826,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=32',0.0000,668,0.0998,60
877,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=79',0.0000,618,0.0995,61
663,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=155',0.0000,831,0.0991,62
165,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=247',0.0000,426,0.0985,63
747,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=230',0.0000,465,0.0979,64
327,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=122',0.0000,39,0.0971,65
825,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=31',0.0000,669,0.0964,66
562,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=65',0.0000,789,0.0958,67
316,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=112',0.0000,50,0.0947,68
52,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=145',0.0000,313,0.0943,69
172,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=253',0.0000,363,0.0932,70
223,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=3',0.0000,339,0.0932,71
868,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=70',0.0000,570,0.0932,72
155,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=238',0.0000,436,0.0927,73
842,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=47',0.0000,652,0.0922,74
125,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=210',0.0000,409,0.0920,75
546,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=50',0.0000,724,0.0917,76
118,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=204',0.0000,417,0.0905,77
40,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=134',0.0000,324,0.0893,78
36,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=130',0.0000,329,0.0890,79
252,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=56',0.0000,71,0.0890,80
197,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=276',0.0000,368,0.0884,81
312,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=109',0.0000,54,0.0884,82
28,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=123',0.0000,325,0.0874,83
846,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=50',0.0000,620,0.0872,84
374,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=165',0.0000,217,0.0867,85
871,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=73',0.0000,567,0.0865,86
854,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=58',0.0000,584,0.0860,87
