id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
456,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=239',0.0000,755,1.0000,0
635,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=13',0.0000,801,0.7240,1
81,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=171',0.0000,228,0.6288,2
110,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=198',0.0000,337,0.5756,3
498,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=277',0.0000,769,0.5548,4
589,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=9',0.0000,872,0.5360,5
68,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=16',0.0000,241,0.5092,6
593,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=93',0.0000,899,0.4891,7
150,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=233',0.0000,440,0.4848,8
582,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=83',0.0000,854,0.4844,9
376,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=167',0.0000,214,0.4815,10
367,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=159',0.0000,223,0.4746,11
794,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=273',0.0000,642,0.4635,12
646,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=14',0.0000,804,0.4448,13
469,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=250',0.0000,742,0.4373,14
444,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=228',0.0000,147,0.4261,15
560,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=63',0.0000,708,0.4223,16
815,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=292',0.0000,635,0.4064,17
677,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=168',0.0000,533,0.4032,18
890,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=90',0.0000,603,0.4017,19
439,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=223',0.0000,152,0.3934,20
263,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=66',0.0000,101,0.3878,21
60,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=152',0.0000,249,0.3859,22
