id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
312,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=109',0.0000,53,1.0000,0
371,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=162',0.0000,219,0.9668,1
301,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=1',0.0000,7,0.8740,2
383,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=173',0.0000,207,0.3909,3
145,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=229',0.0000,445,0.3188,4
318,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=114',0.0000,47,0.3172,5
295,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=95',0.0000,13,0.3164,6
544,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=49',0.0000,724,0.2820,7
900,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.2467,8
348,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=141',0.0000,186,0.2437,9
317,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=113',0.0000,48,0.2379,10
543,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=48',0.0000,725,0.2261,11
306,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=103',0.0000,2,0.2239,12
339,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=133',0.0000,195,0.2232,13
403,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=191',0.0000,131,0.2160,14
591,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=91',0.0000,873,0.2124,15
401,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=19',0.0000,133,0.2061,16
397,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=186',0.0000,137,0.2014,17
458,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=240',0.0000,753,0.1972,18
84,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=174',0.0000,255,0.1869,19
31,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=126',0.0000,334,0.1839,20
194,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=273',0.0000,365,0.1838,21
393,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=182',0.0000,169,0.1799,22
597,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=97',0.0000,895,0.1780,23
408,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=196',0.0000,126,0.1776,24
546,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=50',0.0000,722,0.1722,25
427,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=212',0.0000,164,0.1717,26
729,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=214',0.0000,536,0.1714,27
528,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=34',0.0000,683,0.1623,28
343,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=137',0.0000,191,0.1617,29
588,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=89',0.0000,848,0.1588,30
467,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=249',0.0000,744,0.1527,31
898,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=98',0.0000,595,0.1520,32
417,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=203',0.0000,117,0.1517,33
617,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=113',0.0000,874,0.1503,34
11,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=108',0.0000,298,0.1496,35
334,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=129',0.0000,31,0.1488,36
774,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=255',0.0000,481,0.1484,37
322,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=118',0.0000,42,0.1468,38
154,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=237',0.0000,424,0.1455,39
478,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=259',0.0000,761,0.1430,40
445,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=229',0.0000,146,0.1384,41
117,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=203',0.0000,417,0.1364,42
180,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=260',0.0000,354,0.1329,43
767,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=249',0.0000,500,0.1319,44
192,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=271',0.0000,342,0.1285,45
778,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=259',0.0000,489,0.1266,46
592,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=92',0.0000,888,0.1244,47
416,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=202',0.0000,118,0.1223,48
46,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=14',0.0000,319,0.1215,49
634,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=129',0.0000,802,0.1194,50
538,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=43',0.0000,730,0.1165,51
57,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=15',0.0000,252,0.1157,52
784,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=264',0.0000,483,0.1152,53
557,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=60',0.0000,711,0.1148,54
841,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=46',0.0000,651,0.1146,55
353,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=146',0.0000,181,0.1145,56
743,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=227',0.0000,467,0.1125,57
77,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=168',0.0000,232,0.1114,58
811,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=289',0.0000,625,0.1111,59
449,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=232',0.0000,113,0.1111,60
825,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=31',0.0000,667,0.1108,61
142,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=226',0.0000,448,0.1106,62
254,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=58',0.0000,110,0.1095,63
457,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=24',0.0000,754,0.1094,64
325,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=120',0.0000,40,0.1086,65
331,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=126',0.0000,34,0.1083,66
834,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=4',0.0000,658,0.1081,67
618,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=114',0.0000,845,0.1071,68
377,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=168',0.0000,213,0.1049,69
136,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=220',0.0000,398,0.1031,70
481,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=261',0.0000,786,0.1010,71
657,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=15',0.0000,835,0.1009,72
364,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=156',0.0000,184,0.1003,73
389,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=179',0.0000,201,0.1000,74
555,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=59',0.0000,713,0.0957,75
819,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=296',0.0000,673,0.0957,76
450,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=233',0.0000,450,0.0949,77
410,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=198',0.0000,124,0.0947,78
256,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=6',0.0000,108,0.0931,79
297,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=97',0.0000,11,0.0930,80
507,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=285',0.0000,732,0.0909,81
125,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=210',0.0000,408,0.0908,82
165,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=247',0.0000,425,0.0907,83
430,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=215',0.0000,161,0.0905,84
483,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=263',0.0000,784,0.0899,85
636,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=130',0.0000,800,0.0896,86
249,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=53',0.0000,59,0.0894,87
257,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=60',0.0000,107,0.0876,88
184,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=264',0.0000,350,0.0870,89
152,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=235',0.0000,438,0.0862,90
472,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=253',0.0000,739,0.0861,91
374,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=165',0.0000,216,0.0857,92
842,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=47',0.0000,649,0.0857,93
559,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=62',0.0000,709,0.0847,94
363,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=155',0.0000,196,0.0845,95
45,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=139',0.0000,320,0.0843,96
382,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=172',0.0000,208,0.0830,97
602,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=10',0.0000,890,0.0815,98
466,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=248',0.0000,745,0.0807,99
114,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=200',0.0000,420,0.0806,100
160,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=242',0.0000,430,0.0801,101
205,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=283',0.0000,385,0.0799,102
414,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=200',0.0000,120,0.0798,103
476,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=257',0.0000,760,0.0786,104
15,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=111',0.0000,294,0.0781,105
112,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=2',0.0000,339,0.0773,106
686,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=176',0.0000,524,0.0768,107
87,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=177',0.0000,279,0.0767,108
547,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=51',0.0000,721,0.0754,109
228,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=34',0.0000,80,0.0753,110
131,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=216',0.0000,403,0.0749,111
791,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=270',0.0000,645,0.0747,112
12,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=109',0.0000,296,0.0737,113
759,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=241',0.0000,479,0.0729,114
477,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=258',0.0000,748,0.0725,115
373,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=164',0.0000,217,0.0721,116
73,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=164',0.0000,236,0.0719,117
246,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=50',0.0000,62,0.0715,118
741,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=225',0.0000,469,0.0709,119
268,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=70',0.0000,96,0.0704,120
779,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=26',0.0000,488,0.0689,121
542,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=47',0.0000,726,0.0674,122
633,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=128',0.0000,791,0.0669,123
370,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=161',0.0000,220,0.0653,124
630,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=125',0.0000,806,0.0651,125
288,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=89',0.0000,20,0.0649,126
