id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7200,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,0,1.0000,0
3549,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2031',0.0000,1216,0.4702,1
4074,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=345',0.0000,5567,0.3870,2
3914,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2360',0.0000,6251,0.3772,3
3008,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1545',0.0000,1772,0.3535,4
5911,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1999',0.0000,3803,0.3467,5
2916,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1462',0.0000,1427,0.3209,6
5034,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1208',0.0000,6485,0.3055,7
3089,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1618',0.0000,1600,0.2663,8
243,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1216',0.0000,2636,0.2655,9
5755,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1858',0.0000,4324,0.2585,10
4387,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=627',0.0000,5739,0.2467,11
570,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1510',0.0000,1839,0.2383,12
4094,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=363',0.0000,5531,0.2350,13
1211,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2088',0.0000,3548,0.2319,14
1359,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2220',0.0000,2852,0.2302,15
1166,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2047',0.0000,3502,0.2236,16
2782,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1562,0.2218,17
2881,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1430',0.0000,1448,0.2138,18
5252,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1404',0.0000,6745,0.2133,19
5350,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1493',0.0000,6618,0.2129,20
3876,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2326',0.0000,6213,0.2124,21
415,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1371',0.0000,2583,0.2067,22
3862,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2313',0.0000,6199,0.1997,23
