id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
5118,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1284',0.0000,6358,1.0000,0
2818,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1374',0.0000,1386,0.9682,1
2678,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1248',0.0000,289,0.8842,2
2871,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1421',0.0000,1438,0.6486,3
2949,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1492',0.0000,1741,0.6259,4
3348,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1851',0.0000,984,0.6055,5
4144,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5581,0.5631,6
3726,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2191',0.0000,5894,0.4966,7
3904,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2351',0.0000,6297,0.4792,8
3638,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2111',0.0000,5975,0.4297,9
3903,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2350',0.0000,6296,0.3759,10
3769,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=223',0.0000,5909,0.3719,11
2987,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1526',0.0000,1779,0.3548,12
3942,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2386',0.0000,6111,0.3491,13
3482,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1972',0.0000,1318,0.3412,14
7200,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.3198,15
892,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1800',0.0000,2104,0.3127,16
2743,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1306',0.0000,1479,0.3117,17
4150,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=413',0.0000,5587,0.2917,18
2575,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1155',0.0000,411,0.2916,19
2449,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1041',0.0000,59,0.2748,20
3861,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2312',0.0000,6198,0.2733,21
5896,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1985',0.0000,3732,0.2679,22
2668,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1239',0.0000,335,0.2641,23
3592,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2070',0.0000,1203,0.2559,24
3927,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2372',0.0000,6264,0.2542,25
