id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7200,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,0,1.0000,0
5537,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1661',0.0000,4106,0.1540,1
314,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,2651,0.1283,2
3716,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2182',0.0000,5885,0.1243,3
799,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,2056,0.1217,4
3193,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,1029,0.1127,5
3926,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6263,0.1111,6
2977,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1517',0.0000,1713,0.1095,7
242,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,2635,0.1066,8
3757,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2219',0.0000,5869,0.1015,9
2884,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1433',0.0000,1451,0.1009,10
3659,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,6052,0.1007,11
3365,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,976,0.0951,12
2782,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1562,0.0945,13
3723,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2189',0.0000,5892,0.0875,14
3079,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1609',0.0000,1590,0.0830,15
4621,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=838',0.0000,6790,0.0829,16
3954,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2397',0.0000,6123,0.0808,17
1305,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2172',0.0000,3473,0.0788,18
3458,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1950',0.0000,1322,0.0787,19
2823,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1391,0.0770,20
3906,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2353',0.0000,6299,0.0768,21
6005,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2082',0.0000,3615,0.0737,22
4476,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=707',0.0000,5688,0.0731,23
810,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1727',0.0000,2079,0.0723,24
3883,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2332',0.0000,6276,0.0719,25
3545,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2028',0.0000,1211,0.0692,26
3259,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1771',0.0000,1095,0.0688,27
974,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1875',0.0000,3367,0.0659,28
2960,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1501',0.0000,1696,0.0659,29
1167,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2048',0.0000,3504,0.0655,30
5210,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,6647,0.0646,31
3298,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1806',0.0000,909,0.0641,32
3588,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2067',0.0000,1199,0.0634,33
3989,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=269',0.0000,6101,0.0627,34
4144,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5581,0.0603,35
3354,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1857',0.0000,965,0.0601,36
543,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,1980,0.0598,37
6001,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2079',0.0000,3611,0.0584,38
3910,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2357',0.0000,6272,0.0579,39
1341,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2204',0.0000,3453,0.0559,40
6325,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2370',0.0000,5117,0.0558,41
5527,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1652',0.0000,4096,0.0550,42
6336,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2380',0.0000,5072,0.0540,43
2790,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1349',0.0000,1526,0.0537,44
877,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1788',0.0000,2089,0.0528,45
1103,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1991',0.0000,3215,0.0527,46
3626,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2100',0.0000,6007,0.0526,47
3850,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2302',0.0000,6243,0.0523,48
3697,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2165',0.0000,6022,0.0517,49
1753,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=416',0.0000,3021,0.0503,50
614,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1550',0.0000,1826,0.0501,51
2784,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1343',0.0000,1534,0.0490,52
3164,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1686',0.0000,1055,0.0488,53
706,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1633',0.0000,2143,0.0482,54
1530,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,2798,0.0471,55
3777,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2237',0.0000,5945,0.0464,56
2979,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1519',0.0000,1743,0.0452,57
2825,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1380',0.0000,1381,0.0450,58
6068,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2139',0.0000,3678,0.0450,59
