id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
19,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=115',0.0000,13,1.0000,0
0,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,65,0.7582,1
64,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,17,0.5439,2
22,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=118',0.0000,10,0.3498,3
5,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=102',0.0000,27,0.2806,4
1,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=1',0.0000,31,0.2601,5
23,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=119',0.0000,9,0.2392,6
17,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=113',0.0000,15,0.2018,7
24,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=12',0.0000,8,0.1948,8
12,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=109',0.0000,20,0.1729,9
21,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=117',0.0000,11,0.1650,10
26,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=121',0.0000,6,0.1595,11
3,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=100',0.0000,29,0.1161,12
20,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,12,0.1155,13
2,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=10',0.0000,30,0.1155,14
56,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=149',0.0000,43,0.1092,15
31,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=126',0.0000,32,0.1082,16
27,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=122',0.0000,5,0.0946,17
16,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=112',0.0000,1,0.0882,18
4,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=101',0.0000,28,0.0869,19
15,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=111',0.0000,16,0.0760,20
7,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=104',0.0000,25,0.0647,21
48,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=141',0.0000,51,0.0644,22
37,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=131',0.0000,62,0.0627,23
35,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=13',0.0000,64,0.0613,24
45,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=139',0.0000,54,0.0553,25
10,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=107',0.0000,22,0.0538,26
28,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=123',0.0000,4,0.0490,27
41,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=135',0.0000,58,0.0464,28
8,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=105',0.0000,24,0.0445,29
58,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=150',0.0000,41,0.0431,30
