id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
900,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,226,1.0000,0
568,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=70',0.0000,870,0.7777,1
529,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=35',0.0000,684,0.4677,2
509,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=287',0.0000,704,0.4182,3
302,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=10',0.0000,7,0.3927,4
390,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=18',0.0000,201,0.3905,5
404,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=192',0.0000,131,0.3622,6
470,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=251',0.0000,743,0.3515,7
599,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=99',0.0000,895,0.3502,8
586,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=87',0.0000,852,0.3454,9
526,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=32',0.0000,687,0.3333,10
255,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=59',0.0000,110,0.3267,11
488,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=268',0.0000,781,0.3219,12
449,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=232',0.0000,450,0.2925,13
362,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=154',0.0000,173,0.2918,14
582,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=83',0.0000,856,0.2887,15
381,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=171',0.0000,210,0.2795,16
442,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,150,0.2790,17
484,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=264',0.0000,785,0.2765,18
230,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=36',0.0000,79,0.2691,19
451,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=234',0.0000,452,0.2671,20
354,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=147',0.0000,181,0.2661,21
299,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=99',0.0000,10,0.2584,22
473,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=254',0.0000,740,0.2515,23
294,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=94',0.0000,15,0.2444,24
349,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=142',0.0000,186,0.2372,25
659,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=151',0.0000,835,0.2366,26
583,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=84',0.0000,855,0.2315,27
533,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=39',0.0000,680,0.2243,28
339,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=133',0.0000,114,0.2185,29
392,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=181',0.0000,198,0.2180,30
388,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=178',0.0000,203,0.2153,31
