id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8556,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
35033,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,3254,0.8189,1
35718,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=101',0.0000,2506,0.4181,2
35778,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=156',0.0000,2567,0.2477,3
36839,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=31',0.0000,3662,0.2306,4
36310,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=96',0.0000,4280,0.2301,5
39737,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,8145,0.2119,6
43,3,b'3-time_feature__end_of_session',110.1752,60,0.2104,7
35603,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=269',0.0000,2739,0.2064,8
37457,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,910,0.1944,9
33329,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.1829,10
37228,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,961,0.1820,11
36653,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,3789,0.1778,12
35585,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=252',0.0000,2651,0.1751,13
35134,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,3080,0.1651,14
35440,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=121',0.0000,3340,0.1636,15
35492,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=169',0.0000,3385,0.1624,16
5021,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.1613,17
40107,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,7332,0.1551,18
37180,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1237',0.0000,3969,0.1502,19
32983,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.1497,20
35531,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,2658,0.1475,21
43122,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2265',0.0000,6469,0.1466,22
42124,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,5757,0.1464,23
40573,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,7456,0.1460,24
