dstc2100,dstc2,100,14,86,14.0000,86.0000
dstc2200,dstc2,200,17,183,8.5000,91.5000
dstc2300,dstc2,300,17,283,5.6667,94.3333
dstc2500,dstc2,500,28,472,5.6000,94.4000
dstc2600,dstc2,600,29,571,4.8333,95.1667
dstc2700,dstc2,700,32,668,4.5714,95.4286
dstc2800,dstc2,800,33,767,4.1250,95.8750
dstc2900,dstc2,900,36,864,4.0000,96.0000
dstc21000,dstc2,1000,38,962,3.8000,96.2000
dstc21500,dstc2,1500,53,1447,3.5333,96.4667
dstc22000,dstc2,2000,67,1933,3.3500,96.6500
dstc23000,dstc2,3000,90,2910,3.0000,97.0000
dstc24000,dstc2,4000,110,3890,2.7500,97.2500
dstc25000,dstc2,5000,134,4866,2.6800,97.3200
dstc3100,dstc3,100,10,90,10.0000,90.0000
dstc3200,dstc3,200,15,185,7.5000,92.5000
dstc3300,dstc3,300,16,284,5.3333,94.6667
dstc3500,dstc3,500,26,474,5.2000,94.8000
dstc3600,dstc3,600,30,570,5.0000,95.0000
dstc3700,dstc3,700,36,664,5.1429,94.8571
dstc3800,dstc3,800,42,758,5.2500,94.7500
dstc3900,dstc3,900,45,855,5.0000,95.0000
dstc31000,dstc3,1000,48,952,4.8000,95.2000
dstc31500,dstc3,1500,61,1439,4.0667,95.9333
dstc32000,dstc3,2000,75,1925,3.7500,96.2500
dstc33000,dstc3,3000,106,2894,3.5333,96.4667
dstc34000,dstc3,4000,131,3869,3.2750,96.7250
dstc35000,dstc3,5000,153,4847,3.0600,96.9400
family100,family,100,27,73,27.0000,73.0000
family200,family,200,40,160,20.0000,80.0000
family300,family,300,49,251,16.3333,83.6667
family500,family,500,64,436,12.8000,87.2000
family600,family,600,68,532,11.3333,88.6667
family700,family,700,74,626,10.5714,89.4286
family800,family,800,81,719,10.1250,89.8750
family900,family,900,82,818,9.1111,90.8889
family1000,family,1000,91,909,9.1000,90.9000
family1500,family,1500,106,1394,7.0667,92.9333
family2000,family,2000,128,1872,6.4000,93.6000
family3000,family,3000,166,2834,5.5333,94.4667
family4000,family,4000,187,3813,4.6750,95.3250
family5000,family,5000,216,4784,4.3200,95.6800
ghome100,ghome,100,10,90,10.0000,90.0000
ghome200,ghome,200,19,181,9.5000,90.5000
ghome300,ghome,300,23,277,7.6667,92.3333
ghome500,ghome,500,40,460,8.0000,92.0000
ghome600,ghome,600,50,550,8.3333,91.6667
ghome700,ghome,700,56,644,8.0000,92.0000
ghome800,ghome,800,58,742,7.2500,92.7500
ghome900,ghome,900,64,836,7.1111,92.8889
ghome1000,ghome,1000,68,932,6.8000,93.2000
ghome1500,ghome,1500,84,1416,5.6000,94.4000
ghome2000,ghome,2000,99,1901,4.9500,95.0500
ghome3000,ghome,3000,136,2864,4.5333,95.4667
ghome4000,ghome,4000,179,3821,4.4750,95.5250
ghome5000,ghome,5000,198,4802,3.9600,96.0400
