id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
12065,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
27,3,b'3-time_feature__time_ratio',170.5127,93,0.7586,1
9451,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,79,0.4585,2
14825,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1254',0.0000,1722,0.3945,3
15689,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2031',0.0000,6282,0.3736,4
15396,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1769',0.0000,1355,0.3553,5
11563,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,102,0.3533,6
29,3,b'3-time_feature__turns_to_end',10060.3908,0,0.3452,7
16054,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2360',0.0000,6356,0.2492,8
15848,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2175',0.0000,6441,0.2489,9
11778,7,b'7-syntactic_feature__root_word__next_user_utterance__number',78.1672,192,0.2410,10
16214,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=345',0.0000,5643,0.2236,11
16018,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2328',0.0000,6349,0.2113,12
13195,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1948',0.0000,3378,0.2020,13
12383,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1216',0.0000,2778,0.1997,14
15021,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1430',0.0000,1971,0.1877,15
11569,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,10,0.1826,16
13551,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2268',0.0000,2891,0.1764,17
13354,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2090',0.0000,3562,0.1735,18
9166,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.1586,19
13004,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1776',0.0000,2289,0.1528,20
16059,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2365',0.0000,6361,0.1494,21
18227,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2156',0.0000,4102,0.1460,22
14922,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1655,0.1453,23
15933,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2251',0.0000,6494,0.1389,24
17174,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1208',0.0000,6544,0.1353,25
15507,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1869',0.0000,1373,0.1350,26
15749,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2086',0.0000,6110,0.1350,27
13382,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2115',0.0000,3535,0.1344,28
15642,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1990',0.0000,6203,0.1336,29
15647,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1995',0.0000,6182,0.1327,30
15026,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1435',0.0000,1976,0.1312,31
