id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
29085,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.2485,1
33343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,92,0.2252,2
31428,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.2127,3
47394,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=18',0.0000,864,0.1910,4
44765,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.1849,5
45181,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.1514,6
47385,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=171',0.0000,253,0.1071,7
47431,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=212',0.0000,891,0.0841,8
47453,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=232',0.0000,837,0.0840,9
33106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.0839,10
47358,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=147',0.0000,231,0.0822,11
47298,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=94',0.0000,291,0.0818,12
7330,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.0797,13
47488,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=264',0.0000,821,0.0789,14
43398,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.0771,15
36141,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.0708,16
47572,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=70',0.0000,1007,0.0687,17
47552,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=52',0.0000,1013,0.0686,18
16918,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,44,0.0681,19
47446,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,876,0.0653,20
16919,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,45,0.0651,21
47492,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=268',0.0000,831,0.0640,22
47513,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=287',0.0000,810,0.0612,23
30948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.0611,24
43694,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.0585,25
47065,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=153',0.0000,330,0.0572,26
32024,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.0564,27
47102,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=187',0.0000,487,0.0553,28
44619,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.0526,29
47018,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=110',0.0000,377,0.0525,30
47901,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=97',0.0000,678,0.0511,31
47533,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=35',0.0000,982,0.0493,32
47663,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=151',0.0000,581,0.0479,33
33092,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n9',99.1617,127,0.0477,34
47753,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=232',0.0000,570,0.0471,35
47329,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=120',0.0000,298,0.0468,36
47236,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=38',0.0000,207,0.0462,37
32460,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,86,0.0459,38
45459,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.0455,39
47267,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=66',0.0000,148,0.0442,40
47469,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=247',0.0000,789,0.0439,41
47717,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=20',0.0000,541,0.0436,42
47580,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=78',0.0000,999,0.0436,43
47579,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=77',0.0000,1000,0.0426,44
47327,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=119',0.0000,310,0.0426,45
47504,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=279',0.0000,819,0.0426,46
47259,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=59',0.0000,128,0.0419,47
46353,7,b'7-syntactic_feature__subj_word__next_system_utterance__-lsb-',217.1369,57,0.0419,48
47454,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=233',0.0000,836,0.0404,49
34124,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,116,0.0403,50
47128,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=21',0.0000,509,0.0391,51
43607,7,b'7-syntactic_feature__obj_word__next_system_utterance__remind',297.2295,29,0.0384,52
47602,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=98',0.0000,913,0.0382,53
47396,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=181',0.0000,862,0.0381,54
47234,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=36',0.0000,209,0.0376,55
47097,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=182',0.0000,416,0.0376,56
47386,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=172',0.0000,252,0.0366,57
47439,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=22',0.0000,883,0.0365,58
47405,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=19',0.0000,852,0.0364,59
45115,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0363,60
45054,7,b'7-syntactic_feature__root_word__next_system_utterance__did',297.2825,28,0.0361,61
47109,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=193',0.0000,480,0.0356,62
44406,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.0348,63
47490,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=266',0.0000,833,0.0343,64
47863,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=62',0.0000,652,0.0340,65
47309,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=102',0.0000,280,0.0339,66
47366,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=154',0.0000,249,0.0327,67
33083,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n5',185.8872,80,0.0327,68
7828,4.1,b'4.1-ngram.next_system_utterance__example title lunch',100.5301,125,0.0322,69
47438,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=219',0.0000,870,0.0314,70
47350,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=14',0.0000,239,0.0312,71
47306,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=10',0.0000,283,0.0312,72
33038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.0307,73
47502,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=277',0.0000,820,0.0306,74
39119,5,b'5-phrase_feature__noun_phrases__next_user_utterance__title',115.6314,110,0.0305,75
27829,5,b'5-phrase_feature__noun_phrases__current_user_utterance__reminder',139.6321,101,0.0305,76
47756,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=235',0.0000,567,0.0302,77
47424,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=206',0.0000,898,0.0297,78
47461,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=24',0.0000,797,0.0297,79
47550,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=50',0.0000,981,0.0293,80
47786,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=262',0.0000,729,0.0292,81
47075,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=162',0.0000,346,0.0289,82
47436,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=217',0.0000,886,0.0287,83
32325,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,70,0.0286,84
