id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
12065,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
11845,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',774.3776,7,0.3121,1
9851,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,12,0.1224,2
28,3,b'3-time_feature__turns_from_start',2854.4766,1,0.0535,3
29,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0514,4
11390,7,b'7-syntactic_feature__root_word__current_user_utterance__what',696.0335,8,0.0451,5
11588,7,b'7-syntactic_feature__root_word__next_system_utterance__rang',541.9996,15,0.0401,6
11875,7,b'7-syntactic_feature__root_word__next_user_utterance__what',562.5987,11,0.0322,7
9166,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.0288,8
11087,7,b'7-syntactic_feature__obj_word__next_user_utterance__bye',466.5424,23,0.0227,9
9408,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',511.3760,20,0.0191,10
9309,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kind',495.5897,22,0.0184,11
9442,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',511.3760,21,0.0179,12
9441,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',511.3760,19,0.0164,13
1,2.1,b'2.1-user_action_words.current_user_utterance__address',518.1937,17,0.0150,14
10235,5,b'5-phrase_feature__noun_phrases__next_user_utterance__number',449.7773,24,0.0136,15
6972,2.1,b'2.1-user_action_words.next_user_utterance__number',449.7773,25,0.0122,16
8478,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',432.7138,31,0.0109,17
9345,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',1159.8529,4,0.0105,18
6974,2.1,b'2.1-user_action_words.next_user_utterance__phone',443.1393,26,0.0094,19
6957,1,b'1-utterance_length.next_user_utterance__utterance_length',665.9143,9,0.0093,20
9431,5,b'5-phrase_feature__noun_phrases__next_system_utterance__particular_venue',533.6286,16,0.0093,21
10281,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',443.1393,27,0.0090,22
10069,5,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',554.4238,13,0.0085,23
11571,7,b'7-syntactic_feature__root_word__next_system_utterance__look',1120.8550,5,0.0081,24
24,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',543.3024,14,0.0079,25
11569,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,10,0.0076,26
7929,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,18,0.0024,27
11542,7,b'7-syntactic_feature__root_word__next_system_utterance__exampl',834.1992,6,0.0009,28
11080,7,b'7-syntactic_feature__obj_word__next_system_utterance__type',442.7794,29,0.0007,29
9697,5,b'5-phrase_feature__noun_phrases__next_system_utterance__type',442.7794,28,0.0006,30
10284,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',438.1765,30,0.0004,31
