id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
6337,4.1,b'4.1-ngram.next_system_utterance__know help',217.5272,26,1.0000,0
4919,4.1,b'4.1-ngram.next_system_utterance__device',95.2261,74,0.1937,1
34420,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.1062,2
20545,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,70,0.1050,3
37746,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1502,0.0648,4
38890,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6202,0.0633,5
32983,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.0593,6
35278,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,2727,0.0589,7
37787,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1543,0.0560,8
40919,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,3709,0.0556,9
38241,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,1113,0.0525,10
35841,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1788',0.0000,2196,0.0476,11
35763,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,2145,0.0473,12
38157,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,1195,0.0470,13
23343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,20,0.0470,14
33023,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0463,15
43,3,b'3-time_feature__end_of_session',110.1752,60,0.0452,16
33329,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0389,17
38043,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1609',0.0000,1732,0.0370,18
38223,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1771',0.0000,1067,0.0364,19
40872,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1996',0.0000,3891,0.0363,20
38848,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2333',0.0000,6218,0.0353,21
36131,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2048',0.0000,3646,0.0352,22
41092,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2193',0.0000,4111,0.0338,23
32813,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0331,24
41300,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2380',0.0000,5178,0.0317,25
38623,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,5993,0.0312,26
35206,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,2722,0.0311,27
39108,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5504,0.0306,28
37872,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1455',0.0000,1794,0.0301,29
38851,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2336',0.0000,6221,0.0299,30
35822,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1770',0.0000,2177,0.0291,31
33295,7,b'7-syntactic_feature__root_word__next_system_utterance__tri',150.5583,39,0.0289,32
40203,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1393',0.0000,6829,0.0286,33
40965,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2079',0.0000,3755,0.0285,34
36465,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2349',0.0000,2875,0.0278,35
35578,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1550',0.0000,1987,0.0278,36
38007,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1577',0.0000,1763,0.0276,37
35230,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1237',0.0000,2691,0.0271,38
35250,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1255',0.0000,2766,0.0268,39
22172,5,b'5-phrase_feature__noun_phrases__next_system_utterance__saying',230.8416,24,0.0265,40
33261,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.0264,41
38458,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1983',0.0000,1330,0.0254,42
36494,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,2849,0.0254,43
35534,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1510',0.0000,1943,0.0252,44
39069,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=373',0.0000,5695,0.0252,45
36037,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,3331,0.0249,46
35507,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,2083,0.0245,47
37864,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1448',0.0000,1813,0.0238,48
39779,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1010',0.0000,7149,0.0237,49
39289,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=571',0.0000,5915,0.0236,50
36269,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2172',0.0000,3508,0.0233,51
40303,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1483',0.0000,6728,0.0229,52
38918,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2397',0.0000,6288,0.0222,53
9926,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,63,0.0220,54
35358,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1352',0.0000,2653,0.0216,55
38870,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2353',0.0000,6214,0.0212,56
31368,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,13,0.0212,57
37861,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1445',0.0000,1838,0.0208,58
8562,4.1,b'4.1-ngram.next_system_utterance__sorry don know',240.0449,22,0.0206,59
36278,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2180',0.0000,3517,0.0203,60
