dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,2-lexical,LinearSVC.pen=l1.C=0.062500,0.844967514031,0.803679488109,0.696951631925,0.722389968885
dstc2,next,2-lexical,LR.pen=l1.C=0.062500,0.851582159316,0.843136537113,0.669378451491,0.687656894625
dstc2,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.83816877163,0.774034202603,0.694871517996,0.716835698754
dstc2,next,2-lexical,LR.pen=l1.C=0.125000,0.849839811599,0.836061584577,0.681909401215,0.704421550382
dstc2,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.83063364076,0.759118709664,0.686959578047,0.706711951794
dstc2,next,2-lexical,LR.pen=l1.C=0.250000,0.846525764631,0.80993125174,0.683842777414,0.706524620042
dstc2,next,2-lexical,LinearSVC.pen=l1.C=0.500000,0.824535423752,0.757626519495,0.680000085805,0.700964262031
dstc2,next,2-lexical,LR.pen=l1.C=0.500000,0.841994763991,0.817388968006,0.684394831234,0.709217907275
dstc2,next,2-lexical,LinearSVC.pen=l1.C=1.000000,0.821553707943,0.73067623025,0.673144859422,0.689154368881
dstc2,next,2-lexical,LR.pen=l1.C=1.000000,0.839722539345,0.820673767728,0.685242156987,0.711422876526
dstc2,next,2-lexical,LinearSVC.pen=l1.C=2.000000,0.820170588692,0.732542954907,0.673964400248,0.690371881092
dstc2,next,2-lexical,LR.pen=l1.C=2.000000,0.834818861586,0.799857451368,0.678218908064,0.701244891524
dstc2,next,2-lexical,LinearSVC.pen=l1.C=4.000000,0.819973042922,0.731221354003,0.670809909725,0.687329538771
dstc2,next,2-lexical,LR.pen=l1.C=4.000000,0.832730734057,0.772706276747,0.673287370896,0.693866158429
dstc2,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.814207157074,0.71651107311,0.663190732701,0.678339372095
dstc2,next,2-lexical,LR.pen=l1.C=8.000000,0.829416687089,0.764967011891,0.668831050645,0.688003657252
dstc3,next,2-lexical,LinearSVC.pen=l1.C=0.062500,0.81920658282,0.789764415687,0.676253112129,0.704949883147
dstc3,next,2-lexical,LR.pen=l1.C=0.062500,0.829141579699,0.807501602826,0.667079082105,0.696513695467
dstc3,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.815651480689,0.785744842325,0.674131666596,0.702665157665
dstc3,next,2-lexical,LR.pen=l1.C=0.125000,0.825279859067,0.795741851213,0.666767031949,0.695254450685
dstc3,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.812768151815,0.770426592207,0.672306462025,0.699151890511
dstc3,next,2-lexical,LR.pen=l1.C=0.250000,0.821390821515,0.795338081349,0.668021110392,0.697035810141
