data_id,session_id,user_id,time,direction,msg_text,ground-truth,prediction,annotion,note
0, 1, , , , , R, "['C', 'C', 'C', 'C', 'C']", , 
0, 1, 694, 0, bot_to_sb, "Thank you for calling the Cambridge Information system. Your call will be recorded for research purposes. You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe. How may I help you?", , , , 
0, 1, 694, 0, user_to_sb, "im looking for a moderately priced restaurant and it should be in the chesterton area", R, "['C', 'C', 'C', 'C', 'C']", , 
0, 1, 694, 1, bot_to_sb, "There is no restaurant in the Chesterton area in the cheap price range.", , , , 
0, 1, 694, 1, user_to_sb, "what about moderately priced", , , , 
0, 1, 694, 2, bot_to_sb, "Twenty-four is an outstanding restaurant and it's in the Chesterton part of town. It's in the moderate price range.", , , , 
0, 1, 694, 2, user_to_sb, "is this in the new chesterton", , , , 
0, 1, 694, 3, bot_to_sb, "Twenty-four is in the Chesterton part of town. The price for main courses ranges from 6 pounds to 15 pounds.", , , , 
0, 1, 694, 3, user_to_sb, "alright uh what about a moderately priced restaurant in new chesterton area", , , , 
0, 1, 694, 4, bot_to_sb, "Twenty-four is a great restaurant.", , , , 
0, 1, 694, 4, user_to_sb, "giv can you please give me the address and the postcode", , , , 
0, 1, 694, 5, bot_to_sb, "Twenty-four, which is in the area with the postcode CB4 0FN, is on 24 Cambridge Science Park, Milton Road.", , , , 
0, 1, 694, 5, user_to_sb, "thank you goodbye", , , , 

9, 2, , , , , R, "['F', 'F', 'F', 'F', 'F']", , 
9, 2, 2087, 0, bot_to_sb, "Thank you for calling the Cambridge Information system. Your call will be recorded for research purposes. You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe. How may I help you?", , , , 
9, 2, 2087, 0, user_to_sb, "im looking for a turkish restaurant", , , , 
9, 2, 2087, 1, bot_to_sb, "What kind of price range are you looking for? For example, cheap, or moderate.", , , , 
9, 2, 2087, 1, user_to_sb, "uh moderate", , , , 
9, 2, 2087, 2, bot_to_sb, "Are you looking for somewhere near a particular venue? For example, the Museum Of Technology, Churchill College, or Clare Hall.", , , , 
9, 2, 2087, 2, user_to_sb, "no", , , , 
9, 2, 2087, 3, bot_to_sb, "196 Meze Bar is an outstanding restaurant and it serves turkish food. It's in the moderate price range.", , , , 
9, 2, 2087, 3, user_to_sb, "ah whats the address phone number and area", , , , 
9, 2, 2087, 4, bot_to_sb, "196 Meze Bar is located on 196 Mill Road.", , , , 
9, 2, 2087, 4, user_to_sb, "and whats the phone number and area", R, "['F', 'F', 'F', 'F', 'F']", , 
9, 2, 2087, 5, bot_to_sb, "The phone number of 196 Meze Bar is 01223410519.", , , , 
9, 2, 2087, 5, user_to_sb, "and whats the area", , , , 
9, 2, 2087, 6, bot_to_sb, "196 Meze Bar is in the Romsey part of town.", , , , 
9, 2, 2087, 6, user_to_sb, "thank you good bye", , , , 

13, 3, , , , , A, "['F', 'F', 'F', 'F', 'F']", , 
13, 3, 59, 0, bot_to_sb, "Thank you for calling the Cambridge Information system. Your call will be recorded for research purposes. You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe. How may I help you?", , , , 
13, 3, 59, 0, user_to_sb, "noise sil", , , , 
13, 3, 59, 1, bot_to_sb, "What kind of venue are you looking for? For example, a cafe, or a restaurant.", , , , 
13, 3, 59, 1, user_to_sb, "cheap pub", , , , 
13, 3, 59, 2, bot_to_sb, "Are you looking for a venue that allows children?", , , , 
13, 3, 59, 2, user_to_sb, "knocking sil", , , , 
13, 3, 59, 3, bot_to_sb, "What part of town do you have in mind? For example, Castle Hill, or central.", , , , 
13, 3, 59, 3, user_to_sb, "with internet", , , , 
13, 3, 59, 4, bot_to_sb, "The Bakers, which has an internet connection, is in the cheap price range. It's an outstanding pub.", , , , 
13, 3, 59, 4, user_to_sb, "central", A, "['F', 'F', 'F', 'F', 'F']", , 
13, 3, 59, 5, bot_to_sb, "The Bakers has an internet connection, it's in the cheap price range and it's an outstanding pub.", , , , 
13, 3, 59, 5, user_to_sb, "are children allowed", , , , 
13, 3, 59, 6, bot_to_sb, "The Bakers, which allows children, is in the cheap price range. This place, which has an internet connection, is a great pub.", , , , 
13, 3, 59, 6, user_to_sb, "address", , , , 
13, 3, 59, 7, bot_to_sb, "The Bakers is on 176 East Road and its phone number is 01223304121.", , , , 
13, 3, 59, 7, user_to_sb, "thank you good bye", , , , 

18, 4, , , , , R, "['C', 'C', 'C', 'C', 'C']", , 
18, 4, 1105, 0, bot_to_sb, "Thank you for calling the Cambridge Information system. Your call will be recorded for research purposes. You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe. How may I help you?", , , , 
18, 4, 1105, 0, user_to_sb, "yes im trying to find a restaurant in the chesterton area", , , , 
18, 4, 1105, 1, bot_to_sb, "Are you looking for a venue in the Chesterton or New Chesterton area?", , , , 
18, 4, 1105, 1, user_to_sb, "yes", , , , 
18, 4, 1105, 2, bot_to_sb, "What part of town do you have in mind? For example, central, or Fen Ditton.", , , , 
18, 4, 1105, 2, user_to_sb, "any part", R, "['C', 'C', 'C', 'C', 'C']", , 
18, 4, 1105, 3, bot_to_sb, "What part of town do you have in mind? For example, something in the Addenbrooke's, Arbury, or central area.", , , , 
18, 4, 1105, 3, user_to_sb, "central area", , , , 
18, 4, 1105, 4, bot_to_sb, "Are you looking for a venue in the Chesterton or New Chesterton area?", , , , 
18, 4, 1105, 4, user_to_sb, "in the chesterton area", , , , 
18, 4, 1105, 5, bot_to_sb, "What type of food would you like? For example, Continental, Greek, or Thai.", , , , 
18, 4, 1105, 5, user_to_sb, "any kind", , , , 
18, 4, 1105, 6, bot_to_sb, "What type of food would you like? For example, pub, Chinese, or Thai.", , , , 
18, 4, 1105, 6, user_to_sb, "sorry", , , , 
18, 4, 1105, 7, bot_to_sb, "Twenty-four, which is in the Chesterton part of town, is a great restaurant.", , , , 
18, 4, 1105, 7, user_to_sb, "noise sil", , , , 
18, 4, 1105, 8, bot_to_sb, "What kind of price range are you looking for? For example, cheap, or moderate.", , , , 
18, 4, 1105, 8, user_to_sb, "moderate", , , , 
18, 4, 1105, 9, bot_to_sb, "Twenty-four, which is in the Chesterton part of town, is an outstanding restaurant. It's in the moderate price range.", , , , 
18, 4, 1105, 9, user_to_sb, "whats the address", , , , 
18, 4, 1105, 10, bot_to_sb, "Twenty-four is on 24 Cambridge Science Park, Milton Road. The price for main courses ranges from 6 pounds to 15 pounds.", , , , 
18, 4, 1105, 10, user_to_sb, "whats the post code", , , , 
18, 4, 1105, 11, bot_to_sb, "Twenty-four is in the area with the postcode CB4 0FN.", , , , 
18, 4, 1105, 11, user_to_sb, "thank you", , , , 
18, 4, 1105, 12, bot_to_sb, "Twenty-four, which is in the Chesterton part of town, is an outstanding restaurant. It's in the moderate price range.", , , , 
18, 4, 1105, 12, user_to_sb, "thank you good bye", , , , 

