id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
961,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3229,0.8738,1
5237,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3228,0.6486,2
8726,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,3101,0.5696,3
5239,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3226,0.4580,4
960,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3230,0.3008,5
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3231,0.2852,6
7667,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3221,0.1882,7
10529,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,4068,0.1756,8
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1642,9
17730,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,4711,0.1612,10
7427,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.1475,11
8665,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,3286,0.1424,12
13656,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1651',0.0000,7223,0.1402,13
31,3,b'3-time_feature__turns_from_start',2873.4959,1,0.1342,14
9627,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,2888,0.1336,15
11061,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1476',0.0000,910,0.1000,16
8593,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,3247,0.0939,17
9198,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=252',0.0000,2738,0.0937,18
11459,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1834',0.0000,473,0.0898,19
8374,7,b'7-syntactic_feature__root_word__next_user_utterance__what',380.8588,42,0.0894,20
12049,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2365',0.0000,1974,0.0888,21
13033,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1090',0.0000,7846,0.0865,22
13875,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1849',0.0000,7151,0.0862,23
11548,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1914',0.0000,284,0.0826,24
8600,8.1,b'8.1-lda_feature.current_user_utterance__topic_30',0.0000,3195,0.0798,25
14026,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1985',0.0000,7589,0.0771,26
11902,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2232',0.0000,636,0.0759,27
14241,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2178',0.0000,8994,0.0752,28
14230,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2168',0.0000,9042,0.0752,29
12035,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2352',0.0000,2163,0.0742,30
16085,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1678',0.0000,4941,0.0732,31
