dstc2100,dstc2,100,6,94,6.0000,94.0000
dstc2200,dstc2,200,15,185,7.5000,92.5000
dstc2300,dstc2,300,20,280,6.6667,93.3333
dstc2500,dstc2,500,26,474,5.2000,94.8000
dstc2600,dstc2,600,29,571,4.8333,95.1667
dstc2700,dstc2,700,31,669,4.4286,95.5714
dstc2800,dstc2,800,33,767,4.1250,95.8750
dstc2900,dstc2,900,37,863,4.1111,95.8889
dstc21000,dstc2,1000,39,961,3.9000,96.1000
dstc21500,dstc2,1500,48,1452,3.2000,96.8000
dstc22000,dstc2,2000,62,1938,3.1000,96.9000
dstc23000,dstc2,3000,85,2915,2.8333,97.1667
dstc24000,dstc2,4000,103,3897,2.5750,97.4250
dstc25000,dstc2,5000,138,4862,2.7600,97.2400
dstc3100,dstc3,100,9,91,9.0000,91.0000
dstc3200,dstc3,200,16,184,8.0000,92.0000
dstc3300,dstc3,300,22,278,7.3333,92.6667
dstc3500,dstc3,500,30,470,6.0000,94.0000
dstc3600,dstc3,600,36,564,6.0000,94.0000
dstc3700,dstc3,700,41,659,5.8571,94.1429
dstc3800,dstc3,800,49,751,6.1250,93.8750
dstc3900,dstc3,900,51,849,5.6667,94.3333
dstc31000,dstc3,1000,53,947,5.3000,94.7000
dstc31500,dstc3,1500,72,1428,4.8000,95.2000
dstc32000,dstc3,2000,83,1917,4.1500,95.8500
dstc33000,dstc3,3000,108,2892,3.6000,96.4000
dstc34000,dstc3,4000,136,3864,3.4000,96.6000
dstc35000,dstc3,5000,158,4842,3.1600,96.8400
family100,family,100,21,79,21.0000,79.0000
family200,family,200,35,165,17.5000,82.5000
family300,family,300,50,250,16.6667,83.3333
family500,family,500,59,441,11.8000,88.2000
family600,family,600,71,529,11.8333,88.1667
family700,family,700,78,622,11.1429,88.8571
family800,family,800,84,716,10.5000,89.5000
family900,family,900,88,812,9.7778,90.2222
family1000,family,1000,90,910,9.0000,91.0000
family1500,family,1500,110,1390,7.3333,92.6667
family2000,family,2000,138,1862,6.9000,93.1000
family3000,family,3000,171,2829,5.7000,94.3000
family4000,family,4000,187,3813,4.6750,95.3250
family5000,family,5000,219,4781,4.3800,95.6200
ghome100,ghome,100,15,85,15.0000,85.0000
ghome200,ghome,200,25,175,12.5000,87.5000
ghome300,ghome,300,31,269,10.3333,89.6667
ghome500,ghome,500,39,461,7.8000,92.2000
ghome600,ghome,600,45,555,7.5000,92.5000
ghome700,ghome,700,47,653,6.7143,93.2857
ghome800,ghome,800,51,749,6.3750,93.6250
ghome900,ghome,900,56,844,6.2222,93.7778
ghome1000,ghome,1000,60,940,6.0000,94.0000
ghome1500,ghome,1500,81,1419,5.4000,94.6000
ghome2000,ghome,2000,99,1901,4.9500,95.0500
ghome3000,ghome,3000,132,2868,4.4000,95.6000
ghome4000,ghome,4000,172,3828,4.3000,95.7000
ghome5000,ghome,5000,199,4801,3.9800,96.0200
