dstc2100,dstc2,100,27,73,27.0000,73.0000
dstc2200,dstc2,200,44,156,22.0000,78.0000
dstc2300,dstc2,300,63,237,21.0000,79.0000
dstc2500,dstc2,500,92,408,18.4000,81.6000
dstc2600,dstc2,600,110,490,18.3333,81.6667
dstc2700,dstc2,700,128,572,18.2857,81.7143
dstc2800,dstc2,800,144,656,18.0000,82.0000
dstc2900,dstc2,900,158,742,17.5556,82.4444
dstc21000,dstc2,1000,181,819,18.1000,81.9000
dstc3100,dstc3,100,16,84,16.0000,84.0000
dstc3200,dstc3,200,32,168,16.0000,84.0000
dstc3300,dstc3,300,44,256,14.6667,85.3333
dstc3500,dstc3,500,76,424,15.2000,84.8000
dstc3600,dstc3,600,99,501,16.5000,83.5000
dstc3700,dstc3,700,115,585,16.4286,83.5714
dstc3800,dstc3,800,133,667,16.6250,83.3750
dstc3900,dstc3,900,154,746,17.1111,82.8889
dstc31000,dstc3,1000,181,819,18.1000,81.9000
family100,family,100,33,67,33.0000,67.0000
family200,family,200,71,129,35.5000,64.5000
family300,family,300,90,210,30.0000,70.0000
family500,family,500,117,383,23.4000,76.6000
family600,family,600,133,467,22.1667,77.8333
family700,family,700,146,554,20.8571,79.1429
family800,family,800,160,640,20.0000,80.0000
family900,family,900,168,732,18.6667,81.3333
family1000,family,1000,190,810,19.0000,81.0000
ghome100,ghome,100,16,84,16.0000,84.0000
ghome200,ghome,200,27,173,13.5000,86.5000
ghome300,ghome,300,38,262,12.6667,87.3333
ghome500,ghome,500,59,441,11.8000,88.2000
ghome600,ghome,600,67,533,11.1667,88.8333
ghome700,ghome,700,78,622,11.1429,88.8571
ghome800,ghome,800,94,706,11.7500,88.2500
ghome900,ghome,900,110,790,12.2222,87.7778
ghome1000,ghome,1000,126,874,12.6000,87.4000
