id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,52,1.0000,0
63,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,477,0.8258,1
4300,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,486,0.6030,2
2573,7,b'7-syntactic_feature__root_word__current_user_utterance__address',139.3320,84,0.5410,3
3686,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=87',0.0000,349,0.5372,4
2950,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.4878,5
1424,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,55,0.3931,6
65,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.3817,7
2965,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.3467,8
3827,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=212',0.0000,913,0.3426,9
3911,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=289',0.0000,1161,0.3100,10
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.3093,11
3646,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=50',0.0000,389,0.3004,12
1288,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,132,0.2941,13
4231,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=37',0.0000,752,0.2941,14
3068,7,b'7-syntactic_feature__root_word__next_user_utterance__how',88.3515,131,0.2865,15
3674,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=76',0.0000,402,0.2803,16
3767,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=159',0.0000,1017,0.2763,17
61,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,479,0.2529,18
3696,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=96',0.0000,357,0.2502,19
1584,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,59,0.2501,20
3427,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=122',0.0000,463,0.2324,21
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,480,0.2313,22
3436,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=130',0.0000,433,0.2288,23
3784,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=174',0.0000,998,0.2250,24
3960,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=63',0.0000,1028,0.2237,25
1068,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,49,0.2171,26
3113,7,b'7-syntactic_feature__root_word__next_user_utterance__number',165.5871,71,0.2113,27
3615,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=292',0.0000,276,0.2101,28
4109,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=197',0.0000,593,0.2091,29
