id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
23805,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,585,1.0000,0
10787,5,b'5-phrase_feature__noun_phrases__next_system_utterance__summer_counting_crows',41.9590,250,0.9909,1
44,3,b'3-time_feature__end_of_session',110.1752,41,0.8665,2
2338,5,b'5-phrase_feature__noun_phrases__current_user_utterance__netflix',59.2185,122,0.6254,3
10648,5,b'5-phrase_feature__noun_phrases__next_system_utterance__starting',64.9395,113,0.6031,4
20985,7,b'7-syntactic_feature__root_word__next_system_utterance__open',109.3916,45,0.5229,5
95,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,477,0.4256,6
23310,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=193',0.0000,912,0.2931,7
19381,7,b'7-syntactic_feature__obj_word__next_system_utterance__question',57.4095,126,0.2631,8
9656,5,b'5-phrase_feature__noun_phrases__next_system_utterance__provider',41.9590,193,0.2531,9
7958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,21,0.2497,10
23509,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=101',0.0000,1074,0.2366,11
23280,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=166',0.0000,991,0.2249,12
23441,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=41',0.0000,1025,0.2229,13
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_library',105.0964,48,0.2009,14
23428,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=3',0.0000,1139,0.1854,15
23394,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=269',0.0000,1105,0.1814,16
23231,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=121',0.0000,978,0.1738,17
23492,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=88',0.0000,1093,0.1712,18
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.1635,19
18570,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,472,0.1597,20
23420,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=292',0.0000,1167,0.1592,21
23382,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=258',0.0000,1130,0.1573,22
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,478,0.1560,23
7892,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,124,0.1555,24
23410,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=283',0.0000,1157,0.1503,25
23488,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=84',0.0000,1089,0.1471,26
9097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange_juice',41.9590,207,0.1431,27
22925,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,490,0.1427,28
23322,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,887,0.1424,29
18307,6,b'6-entity_feature__entity__next_user_utterance__katy perry roar_PERSON',41.9590,238,0.1399,30
