id,prefix,name,f-test,pval
24486,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,153.8062,0.0000
24484,5-phrase_feature__next_noun_phrases__#overlap,5,139.2722,0.0000
2791,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,119.7960,0.0000
24485,5-phrase_feature__next_noun_phrases__have_overlap,5,106.1363,0.0000
47174,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,66.0827,0.0000
42366,7-syntactic_feature__next_root_words_overlap,7,63.9942,0.0000
42364,6-entity_feature__next_entity__jaccard_similarity,6,61.4157,0.0000
42363,6-entity_feature__next_entity__have_overlap,6,52.6357,0.0000
42362,6-entity_feature__next_entity__#overlap,6,50.3072,0.0000
48075,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,49.9855,0.0000
56178,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,45.1305,0.0000
48977,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,41.7558,0.0000
2790,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,33.1655,0.0000
42365,7-syntactic_feature__next_obj_words_overlap,7,31.1190,0.0000
29,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,17.0600,0.0000
42367,7-syntactic_feature__next_subj_words_overlap,7,3.3876,0.0173
48076,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,1.9282,0.1228
30726,5-phrase_feature__noun_phrases__next_system_utterance__distance_glasses,5,1.0994,0.3480
30725,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,1.0994,0.3480
18417,4.1-ngram.next_system_utterance__reading n3 distance,4.1,0.8939,0.4434
14280,4.1-ngram.next_system_utterance__n3 distance glasses,4.1,0.8939,0.4434
14279,4.1-ngram.next_system_utterance__n3 distance,4.1,0.8939,0.4434
7376,4.1-ngram.next_system_utterance__distance glasses tree,4.1,0.8939,0.4434
7375,4.1-ngram.next_system_utterance__distance glasses,4.1,0.8939,0.4434
7374,4.1-ngram.next_system_utterance__distance,4.1,0.8939,0.4434
