id,name,prefix,f-test,pval
8726,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,1521.0785,0.0000
961,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,954.4640,0.0000
9628,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,894.9468,0.0000
9627,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,835.3572,0.0000
5239,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,809.9025,0.0000
27,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,689.2072,0.0000
5238,5-phrase_feature__next_noun_phrases__have_overlap,5,650.3812,0.0000
5237,5-phrase_feature__next_noun_phrases__#overlap,5,592.0974,0.0000
17730,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,546.1813,0.0000
7667,7-syntactic_feature__next_root_words_overlap,7,256.9395,0.0000
960,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,60.5470,0.0000
10529,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,53.3388,0.0000
7668,7-syntactic_feature__next_subj_words_overlap,7,18.0465,0.0000
7666,7-syntactic_feature__next_obj_words_overlap,7,9.7981,0.0000
7664,6-entity_feature__next_entity__have_overlap,6,1.1874,0.3129
7663,6-entity_feature__next_entity__#overlap,6,1.1874,0.3129
7665,6-entity_feature__next_entity__jaccard_similarity,6,1.1874,0.3129
