id,name,prefix,f-test,pval
13204,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,710.6159,0.0000
12302,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,555.8159,0.0000
7913,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,345.3073,0.0000
7912,5-phrase_feature__next_noun_phrases__have_overlap,5,338.3694,0.0000
7911,5-phrase_feature__next_noun_phrases__#overlap,5,255.4359,0.0000
14105,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,250.8889,0.0000
1324,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,150.1895,0.0000
25,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,117.9526,0.0000
1323,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,78.1979,0.0000
21306,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,30.6183,0.0000
13203,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,15.8218,0.0001
11022,7-syntactic_feature__next_obj_words_overlap,7,6.0417,0.0140
11023,7-syntactic_feature__next_root_words_overlap,7,5.7814,0.0162
11024,7-syntactic_feature__next_subj_words_overlap,7,0.3458,0.5565
11019,6-entity_feature__next_entity__#overlap,6,0.0055,0.9410
11020,6-entity_feature__next_entity__have_overlap,6,0.0055,0.9410
11021,6-entity_feature__next_entity__jaccard_similarity,6,0.0055,0.9410
