id,name,prefix,f-test,pval
47174,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,60.4506,0.0000
42366,7-syntactic_feature__next_root_words_overlap,7,43.4231,0.0000
2791,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,32.6283,0.0000
29,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,25.0078,0.0000
2790,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,24.4616,0.0000
42363,6-entity_feature__next_entity__have_overlap,6,8.6919,0.0032
42364,6-entity_feature__next_entity__jaccard_similarity,6,7.7656,0.0054
42362,6-entity_feature__next_entity__#overlap,6,5.1313,0.0236
24486,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,4.7031,0.0302
56178,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,4.0776,0.0435
42365,7-syntactic_feature__next_obj_words_overlap,7,3.3691,0.0665
24485,5-phrase_feature__next_noun_phrases__have_overlap,5,3.1428,0.0763
48075,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,2.6270,0.1051
48076,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,1.0197,0.3127
30726,5-phrase_feature__noun_phrases__next_system_utterance__distance_glasses,5,0.6638,0.4153
30725,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,0.6638,0.4153
42367,7-syntactic_feature__next_subj_words_overlap,7,0.5807,0.4461
18417,4.1-ngram.next_system_utterance__reading n3 distance,4.1,0.5398,0.4626
14280,4.1-ngram.next_system_utterance__n3 distance glasses,4.1,0.5398,0.4626
14279,4.1-ngram.next_system_utterance__n3 distance,4.1,0.5398,0.4626
7376,4.1-ngram.next_system_utterance__distance glasses tree,4.1,0.5398,0.4626
7375,4.1-ngram.next_system_utterance__distance glasses,4.1,0.5398,0.4626
7374,4.1-ngram.next_system_utterance__distance,4.1,0.5398,0.4626
24484,5-phrase_feature__next_noun_phrases__#overlap,5,0.5329,0.4655
48977,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,0.0476,0.8272
