id,name,prefix,f-test,pval
24484,5-phrase_feature__next_noun_phrases__#overlap,5,169.7857,0.0000
24486,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,165.7139,0.0000
42364,6-entity_feature__next_entity__jaccard_similarity,6,106.9889,0.0000
24485,5-phrase_feature__next_noun_phrases__have_overlap,5,105.2011,0.0000
42363,6-entity_feature__next_entity__have_overlap,6,93.3417,0.0000
42362,6-entity_feature__next_entity__#overlap,6,87.8185,0.0000
56178,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,59.4699,0.0000
2791,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,41.2213,0.0000
29,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,37.9576,0.0000
48977,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,30.4787,0.0000
48075,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,20.9113,0.0000
42365,7-syntactic_feature__next_obj_words_overlap,7,13.4808,0.0002
2790,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,10.5181,0.0012
30726,5-phrase_feature__noun_phrases__next_system_utterance__distance_glasses,5,3.3002,0.0694
30725,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,3.3002,0.0694
18417,4.1-ngram.next_system_utterance__reading n3 distance,4.1,2.6833,0.1015
14280,4.1-ngram.next_system_utterance__n3 distance glasses,4.1,2.6833,0.1015
14279,4.1-ngram.next_system_utterance__n3 distance,4.1,2.6833,0.1015
7376,4.1-ngram.next_system_utterance__distance glasses tree,4.1,2.6833,0.1015
7375,4.1-ngram.next_system_utterance__distance glasses,4.1,2.6833,0.1015
7374,4.1-ngram.next_system_utterance__distance,4.1,2.6833,0.1015
42367,7-syntactic_feature__next_subj_words_overlap,7,2.6617,0.1029
47174,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,1.4606,0.2269
42366,7-syntactic_feature__next_root_words_overlap,7,0.2611,0.6094
48076,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,0.1810,0.6706
