id,name,prefix,f-test,pval
2947,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,83.5864,0.0000
36930,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,71.7158,0.0000
12167,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,58.1269,0.0000
2948,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,52.7638,0.0000
36028,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,43.2025,0.0000
12166,5-phrase_feature__next_noun_phrases__have_overlap,5,42.3531,0.0000
43,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,35.3445,0.0000
12165,5-phrase_feature__next_noun_phrases__#overlap,5,35.2956,0.0000
35127,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,35.1994,0.0000
30643,7-syntactic_feature__next_root_words_overlap,7,29.7481,0.0000
44131,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,28.6277,0.0000
30642,7-syntactic_feature__next_obj_words_overlap,7,18.5685,0.0000
30641,6-entity_feature__next_entity__jaccard_similarity,6,12.2610,0.0005
30639,6-entity_feature__next_entity__#overlap,6,9.1869,0.0024
30640,6-entity_feature__next_entity__have_overlap,6,9.1073,0.0026
30644,7-syntactic_feature__next_subj_words_overlap,7,7.2718,0.0070
36029,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,3.3371,0.0678
17987,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,0.1280,0.7205
