id,name,prefix,f-test,pval
2948,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,273.5774,0.0000
12165,5-phrase_feature__next_noun_phrases__#overlap,5,245.4379,0.0000
12166,5-phrase_feature__next_noun_phrases__have_overlap,5,232.2246,0.0000
35127,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,225.2450,0.0000
36028,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,204.2078,0.0000
30639,6-entity_feature__next_entity__#overlap,6,191.5258,0.0000
30640,6-entity_feature__next_entity__have_overlap,6,178.6523,0.0000
30641,6-entity_feature__next_entity__jaccard_similarity,6,163.1802,0.0000
12167,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,138.7545,0.0000
44131,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,98.9910,0.0000
30643,7-syntactic_feature__next_root_words_overlap,7,52.1801,0.0000
36029,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,44.8518,0.0000
43,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,44.7947,0.0000
36930,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,24.8979,0.0000
30642,7-syntactic_feature__next_obj_words_overlap,7,9.1341,0.0025
2947,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,3.8758,0.0490
30644,7-syntactic_feature__next_subj_words_overlap,7,3.4470,0.0634
17987,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,0.3214,0.5708
