id,name,prefix,f-test,pval
2948,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,1059.3350,0.0000
12166,5-phrase_feature__next_noun_phrases__have_overlap,5,850.7469,0.0000
12165,5-phrase_feature__next_noun_phrases__#overlap,5,841.9055,0.0000
35127,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,775.4631,0.0000
36028,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,721.2576,0.0000
12167,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,674.3983,0.0000
30639,6-entity_feature__next_entity__#overlap,6,495.5741,0.0000
30641,6-entity_feature__next_entity__jaccard_similarity,6,462.7235,0.0000
30640,6-entity_feature__next_entity__have_overlap,6,453.4006,0.0000
44131,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,384.0555,0.0000
30643,7-syntactic_feature__next_root_words_overlap,7,212.0915,0.0000
43,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,210.8380,0.0000
36930,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,197.4243,0.0000
36029,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,156.3692,0.0000
2947,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,151.2661,0.0000
30642,7-syntactic_feature__next_obj_words_overlap,7,85.8130,0.0000
30644,7-syntactic_feature__next_subj_words_overlap,7,41.4515,0.0000
17987,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,0.1191,0.7300
