id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
8726,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,8605,0.8969,1
961,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,8764,0.8929,2
5237,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,8763,0.6588,3
5239,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,8761,0.4110,4
9627,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,15387,0.3412,5
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,8766,0.3290,6
10529,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,14131,0.2343,7
17730,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,8865,0.2223,8
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.2213,9
36,4.1,b'4.1-ngram.current_user_utterance__address phone number',29.4059,492,0.1218,10
960,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,8765,0.1113,11
5238,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,8762,0.1010,12
31,3,b'3-time_feature__turns_from_start',2873.4959,1,0.0983,13
9324,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=97',0.0000,14676,0.0855,14
7667,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,8756,0.0800,15
926,4.1,b'4.1-ngram.current_user_utterance__west town',9.5511,1384,0.0717,16
9169,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,14488,0.0697,17
35,4.1,b'4.1-ngram.current_user_utterance__address phone',29.4522,489,0.0646,18
13301,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1331',0.0000,10353,0.0643,19
