id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,1.0000,0
2791,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3104,0.6720,1
24486,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3095,0.5195,2
42366,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3111,0.4788,3
45479,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.3560,4
47047,8.1,b'8.1-lda_feature.current_user_utterance__topic_3',0.0000,3062,0.3530,5
43714,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.3157,6
33,3,b'3-time_feature__turns_from_start',229.2487,51,0.2370,7
2790,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3105,0.2320,8
47095,8.1,b'8.1-lda_feature.next_system_utterance__topic_28',0.0000,3184,0.2290,9
47556,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=171',0.0000,3300,0.2130,10
47027,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,3116,0.2125,11
47136,8.1,b'8.1-lda_feature.next_user_utterance__topic_2',0.0000,3151,0.2115,12
47110,8.1,b'8.1-lda_feature.next_system_utterance__topic_41',0.0000,3141,0.1971,13
47147,8.1,b'8.1-lda_feature.next_user_utterance__topic_3',0.0000,2962,0.1962,14
47088,8.1,b'8.1-lda_feature.next_system_utterance__topic_21',0.0000,3164,0.1947,15
7333,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.1919,16
47604,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=214',0.0000,2530,0.1896,17
47565,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=18',0.0000,3291,0.1541,18
47561,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=176',0.0000,3294,0.1517,19
47704,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=35',0.0000,2575,0.1330,20
24485,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,3096,0.1285,21
47491,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=112',0.0000,3216,0.1219,22
47948,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=254',0.0000,2898,0.1161,23
48277,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=279',0.0000,4288,0.1136,24
47592,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,2542,0.1115,25
48932,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=59',0.0000,3597,0.1108,26
47129,8.1,b'8.1-lda_feature.next_user_utterance__topic_13',0.0000,3158,0.1107,27
24484,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3097,0.1101,28
47145,8.1,b'8.1-lda_feature.next_user_utterance__topic_28',0.0000,3053,0.1086,29
47296,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=207',0.0000,3376,0.1074,30
50025,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1940',0.0000,119,0.1059,31
47086,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,3166,0.1038,32
48977,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,3570,0.1037,33
47077,8.1,b'8.1-lda_feature.next_system_utterance__topic_11',0.0000,3175,0.1029,34
47045,8.1,b'8.1-lda_feature.current_user_utterance__topic_28',0.0000,3063,0.1021,35
47071,8.1,b'8.1-lda_feature.current_user_utterance__topic_7',0.0000,3124,0.1019,36
47039,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,3070,0.1009,37
48453,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=167',0.0000,4541,0.0917,38
48251,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=255',0.0000,4278,0.0898,39
47669,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=273',0.0000,2619,0.0897,40
47635,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=242',0.0000,2509,0.0895,41
47034,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,3123,0.0878,42
48676,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=99',0.0000,4422,0.0862,43
48596,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=296',0.0000,4400,0.0860,44
51870,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1440',0.0000,8008,0.0860,45
47585,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=198',0.0000,2524,0.0796,46
47580,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=193',0.0000,2522,0.0765,47
48158,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=171',0.0000,4247,0.0761,48
47132,8.1,b'8.1-lda_feature.next_user_utterance__topic_16',0.0000,3155,0.0753,49
47670,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=274',0.0000,2620,0.0726,50
47745,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=72',0.0000,2399,0.0723,51
47723,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=52',0.0000,2385,0.0715,52
47422,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=51',0.0000,3434,0.0715,53
47028,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,3117,0.0704,54
