dstc2100,dstc2,100,9,91,9.0000,91.0000
dstc2200,dstc2,200,13,187,6.5000,93.5000
dstc2300,dstc2,300,16,284,5.3333,94.6667
dstc2500,dstc2,500,22,478,4.4000,95.6000
dstc2600,dstc2,600,23,577,3.8333,96.1667
dstc2700,dstc2,700,25,675,3.5714,96.4286
dstc2800,dstc2,800,28,772,3.5000,96.5000
dstc2900,dstc2,900,31,869,3.4444,96.5556
dstc21000,dstc2,1000,32,968,3.2000,96.8000
dstc21500,dstc2,1500,47,1453,3.1333,96.8667
dstc22000,dstc2,2000,62,1938,3.1000,96.9000
dstc23000,dstc2,3000,83,2917,2.7667,97.2333
dstc24000,dstc2,4000,108,3892,2.7000,97.3000
dstc25000,dstc2,5000,140,4860,2.8000,97.2000
dstc3100,dstc3,100,10,90,10.0000,90.0000
dstc3200,dstc3,200,15,185,7.5000,92.5000
dstc3300,dstc3,300,20,280,6.6667,93.3333
dstc3500,dstc3,500,26,474,5.2000,94.8000
dstc3600,dstc3,600,33,567,5.5000,94.5000
dstc3700,dstc3,700,39,661,5.5714,94.4286
dstc3800,dstc3,800,42,758,5.2500,94.7500
dstc3900,dstc3,900,47,853,5.2222,94.7778
dstc31000,dstc3,1000,50,950,5.0000,95.0000
dstc31500,dstc3,1500,71,1429,4.7333,95.2667
dstc32000,dstc3,2000,81,1919,4.0500,95.9500
dstc33000,dstc3,3000,105,2895,3.5000,96.5000
dstc34000,dstc3,4000,130,3870,3.2500,96.7500
dstc35000,dstc3,5000,150,4850,3.0000,97.0000
family100,family,100,23,77,23.0000,77.0000
family200,family,200,37,163,18.5000,81.5000
family300,family,300,46,254,15.3333,84.6667
family500,family,500,60,440,12.0000,88.0000
family600,family,600,68,532,11.3333,88.6667
family700,family,700,76,624,10.8571,89.1429
family800,family,800,82,718,10.2500,89.7500
family900,family,900,88,812,9.7778,90.2222
family1000,family,1000,90,910,9.0000,91.0000
family1500,family,1500,112,1388,7.4667,92.5333
family2000,family,2000,138,1862,6.9000,93.1000
family3000,family,3000,173,2827,5.7667,94.2333
family4000,family,4000,189,3811,4.7250,95.2750
family5000,family,5000,227,4773,4.5400,95.4600
