id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8726,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,2976,1.0000,0
961,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3101,0.9269,1
5237,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3100,0.5814,2
5239,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3098,0.4258,3
9627,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,2694,0.2987,4
960,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3102,0.2657,5
7667,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3093,0.2585,6
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.2551,7
31,3,b'3-time_feature__turns_from_start',2873.4959,1,0.2540,8
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3103,0.2252,9
17730,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,4615,0.2250,10
7427,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.1708,11
8665,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,3191,0.1614,12
10529,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,3556,0.1583,13
13656,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1651',0.0000,7880,0.1558,14
5241,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.1537,15
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.1500,16
9075,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=141',0.0000,3303,0.1414,17
9169,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,2497,0.1354,18
10013,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=174',0.0000,4538,0.1270,19
14026,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1985',0.0000,7358,0.1174,20
16085,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1678',0.0000,4873,0.1129,21
13033,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1090',0.0000,1515,0.1093,22
8593,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,3119,0.1086,23
14418,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2337',0.0000,8704,0.1058,24
8374,7,b'7-syntactic_feature__root_word__next_user_utterance__what',380.8588,42,0.1054,25
9196,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=250',0.0000,2506,0.0965,26
14241,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2178',0.0000,7293,0.0957,27
9142,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=201',0.0000,2525,0.0907,28
8600,8.1,b'8.1-lda_feature.current_user_utterance__topic_30',0.0000,3066,0.0895,29
13895,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,6956,0.0874,30
12034,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2351',0.0000,1945,0.0873,31
13941,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1908',0.0000,7054,0.0861,32
12035,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2352',0.0000,1944,0.0860,33
10272,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=137',0.0000,3671,0.0853,34
12049,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2365',0.0000,2003,0.0843,35
11902,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2232',0.0000,369,0.0838,36
13875,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1849',0.0000,6939,0.0833,37
14358,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2283',0.0000,8917,0.0816,38
13242,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1279',0.0000,7745,0.0794,39
9580,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=57',0.0000,2683,0.0734,40
11762,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2106',0.0000,509,0.0725,41
9047,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=116',0.0000,3224,0.0718,42
13802,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1783',0.0000,7156,0.0708,43
11459,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1834',0.0000,215,0.0701,44
9439,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=2',0.0000,2826,0.0701,45
14472,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2386',0.0000,8687,0.0699,46
16535,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2082',0.0000,5036,0.0691,47
15809,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1429',0.0000,5762,0.0682,48
11084,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1497',0.0000,773,0.0672,49
9622,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=95',0.0000,2649,0.0666,50
8579,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,3105,0.0664,51
11061,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1476',0.0000,742,0.0650,52
9530,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=281',0.0000,2846,0.0649,53
14179,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2121',0.0000,7230,0.0630,54
10032,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=191',0.0000,4479,0.0630,55
17186,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=509',0.0000,5972,0.0628,56
11231,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1629',0.0000,1146,0.0616,57
12807,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=889',0.0000,1279,0.0612,58
13398,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1419',0.0000,7597,0.0609,59
9217,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=27',0.0000,2592,0.0608,60
8624,8.1,b'8.1-lda_feature.current_user_utterance__topic_8',0.0000,3071,0.0604,61
11994,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2315',0.0000,1967,0.0597,62
8676,8.1,b'8.1-lda_feature.next_user_utterance__topic_0',0.0000,3131,0.0593,63
8597,8.1,b'8.1-lda_feature.current_user_utterance__topic_28',0.0000,3087,0.0593,64
11427,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1805',0.0000,262,0.0592,65
