id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
58,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,4849,1.0000,0
4643,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=139',0.0000,5153,0.5273,1
4223,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,0.3860,2
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4847,0.2437,3
5198,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,5159,0.2332,4
3721,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,80,0.1679,5
117,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area',35.9772,390,0.1646,6
28,3,b'3-time_feature__time_ratio',170.5127,76,0.1398,7
4883,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=86',0.0000,4376,0.1058,8
1308,5,b'5-phrase_feature__noun_phrases__next_system_utterance__english',7.8304,1543,0.1039,9
1603,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,68,0.1034,10
3,2.1,b'2.1-user_action_words.current_user_utterance__area',35.5846,396,0.1029,11
4805,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=285',0.0000,4665,0.0962,12
880,5,b'5-phrase_feature__noun_phrases__current_user_utterance__television',145.6289,81,0.0908,13
1828,5,b'5-phrase_feature__noun_phrases__next_system_utterance__thai_food',10.5483,1348,0.0886,14
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0886,15
4894,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=96',0.0000,4418,0.0870,16
4626,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=123',0.0000,5170,0.0809,17
4346,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=141',0.0000,4840,0.0761,18
4944,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=14',0.0000,4425,0.0760,19
59,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,4850,0.0757,20
900,5,b'5-phrase_feature__noun_phrases__current_user_utterance__town',6.1547,1808,0.0743,21
2964,6,b'6-entity_feature__entity__next_system_utterance__english_MISC',56.9069,216,0.0741,22
3751,7,b'7-syntactic_feature__root_word__next_system_utterance__serv',137.5642,83,0.0716,23
1382,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_venue',86.1426,124,0.0704,24
3958,7,b'7-syntactic_feature__root_word__next_user_utterance__rang',23.1040,770,0.0676,25
1668,5,b'5-phrase_feature__noun_phrases__next_system_utterance__price',62.3074,198,0.0650,26
4879,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=82',0.0000,4393,0.0626,27
4772,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=255',0.0000,5039,0.0625,28
3930,7,b'7-syntactic_feature__root_word__next_user_utterance__no',192.4609,71,0.0624,29
1057,5,b'5-phrase_feature__noun_phrases__next_system_utterance__anchor',35.6510,395,0.0623,30
4754,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=239',0.0000,5054,0.0619,31
2013,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',419.7978,38,0.0617,32
152,5,b'5-phrase_feature__noun_phrases__current_user_utterance__barnwell',5.2266,1929,0.0608,33
1067,5,b'5-phrase_feature__noun_phrases__next_system_utterance__area',130.4845,90,0.0606,34
1545,5,b'5-phrase_feature__noun_phrases__next_system_utterance__new',63.3533,190,0.0594,35
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.0591,36
4630,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=127',0.0000,5188,0.0583,37
590,5,b'5-phrase_feature__noun_phrases__current_user_utterance__newnham_area',2.6951,2758,0.0563,38
4137,7,b'7-syntactic_feature__subj_word__next_system_utterance__baker',44.5004,301,0.0557,39
4387,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=179',0.0000,4881,0.0552,40
259,5,b'5-phrase_feature__noun_phrases__current_user_utterance__chesterton_area',7.4988,1651,0.0548,41
922,5,b'5-phrase_feature__noun_phrases__current_user_utterance__type',38.1462,358,0.0543,42
4532,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=4',0.0000,4766,0.0541,43
4625,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=122',0.0000,5183,0.0529,44
3849,7,b'7-syntactic_feature__root_word__next_user_utterance__fenditton',57.4457,211,0.0518,45
