dstc2100,dstc2,100,35,65,35.0000,65.0000
dstc2200,dstc2,200,66,134,33.0000,67.0000
dstc2300,dstc2,300,94,206,31.3333,68.6667
dstc2500,dstc2,500,179,321,35.8000,64.2000
dstc2600,dstc2,600,224,376,37.3333,62.6667
dstc2700,dstc2,700,280,420,40.0000,60.0000
dstc2800,dstc2,800,330,470,41.2500,58.7500
dstc2900,dstc2,900,376,524,41.7778,58.2222
dstc21000,dstc2,1000,429,571,42.9000,57.1000
dstc21500,dstc2,1500,722,778,48.1333,51.8667
dstc3100,dstc3,100,25,75,25.0000,75.0000
dstc3200,dstc3,200,53,147,26.5000,73.5000
dstc3300,dstc3,300,85,215,28.3333,71.6667
dstc3500,dstc3,500,175,325,35.0000,65.0000
dstc3600,dstc3,600,219,381,36.5000,63.5000
dstc3700,dstc3,700,260,440,37.1429,62.8571
dstc3800,dstc3,800,303,497,37.8750,62.1250
dstc3900,dstc3,900,346,554,38.4444,61.5556
dstc31000,dstc3,1000,388,612,38.8000,61.2000
dstc31500,dstc3,1500,667,833,44.4667,55.5333
family100,family,100,69,31,69.0000,31.0000
family200,family,200,114,86,57.0000,43.0000
family300,family,300,153,147,51.0000,49.0000
family500,family,500,235,265,47.0000,53.0000
family600,family,600,277,323,46.1667,53.8333
family700,family,700,322,378,46.0000,54.0000
family800,family,800,370,430,46.2500,53.7500
family900,family,900,418,482,46.4444,53.5556
family1000,family,1000,457,543,45.7000,54.3000
family1500,family,1500,737,763,49.1333,50.8667
