id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__end_of_session',272.2220,35,1.0000,0
19293,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,31,0.2647,1
20714,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.2388,2
22970,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=159',0.0000,188,0.1691,3
21058,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,44,0.1527,4
22684,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=171',0.0000,314,0.1501,5
17945,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,344,0.1487,6
10129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.1263,7
20347,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,37,0.1240,8
22880,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=79',0.0000,88,0.1175,9
65,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,351,0.1145,10
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,29,0.1142,11
8888,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.1066,12
23072,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=250',0.0000,829,0.1065,13
22919,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=112',0.0000,239,0.0994,14
23185,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=83',0.0000,960,0.0920,15
22753,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=233',0.0000,405,0.0908,16
22918,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=111',0.0000,240,0.0900,17
23104,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=28',0.0000,736,0.0893,18
23086,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=263',0.0000,754,0.0863,19
23197,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=94',0.0000,916,0.0822,20
23254,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=144',0.0000,891,0.0780,21
22971,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=16',0.0000,187,0.0776,22
22965,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=154',0.0000,193,0.0750,23
8699,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,42,0.0686,24
11734,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.0680,25
22826,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=3',0.0000,119,0.0678,26
23118,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=292',0.0000,783,0.0677,27
21829,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',315.2330,23,0.0653,28
22814,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=289',0.0000,131,0.0640,29
22848,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=5',0.0000,150,0.0630,30
23042,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=223',0.0000,798,0.0609,31
23175,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=74',0.0000,970,0.0606,32
22643,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=134',0.0000,328,0.0606,33
22671,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=16',0.0000,327,0.0597,34
23100,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=276',0.0000,740,0.0585,35
17944,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,345,0.0584,36
22959,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=149',0.0000,252,0.0575,37
22926,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=119',0.0000,232,0.0559,38
22858,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=59',0.0000,86,0.0550,39
22935,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=127',0.0000,249,0.0537,40
22451,7,b'7-syntactic_feature__subj_word__next_system_utterance__titl',506.3669,11,0.0532,41
23238,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=13',0.0000,907,0.0529,42
22617,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=110',0.0000,370,0.0512,43
23023,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=206',0.0000,817,0.0508,44
22863,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=63',0.0000,81,0.0494,45
23003,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=189',0.0000,208,0.0492,46
22979,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=167',0.0000,179,0.0490,47
23234,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=126',0.0000,911,0.0489,48
23141,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=43',0.0000,943,0.0486,49
22952,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=142',0.0000,259,0.0485,50
6541,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.0484,51
23096,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=272',0.0000,744,0.0479,52
23033,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=215',0.0000,807,0.0475,53
22908,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=102',0.0000,122,0.0450,54
23290,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=177',0.0000,582,0.0448,55
23172,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=71',0.0000,973,0.0447,56
22923,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=116',0.0000,235,0.0434,57
22628,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=120',0.0000,369,0.0424,58
23391,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=268',0.0000,694,0.0420,59
23325,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=208',0.0000,514,0.0418,60
23116,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=290',0.0000,785,0.0418,61
63,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,353,0.0415,62
22618,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=111',0.0000,380,0.0413,63
